procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 177920 63571492   6528 175424    0    0   300   901    2    1  1  1 97  1  0
 6  1 177920 63568572   6660 175472    0    0   140     0  741 1025  0  0 100  0  0
 3 30 177920 62017412   7472 1741168    0    0 1156616     0 9091 12036  2  4 79 15  0
 3 30 177920 58802936   7476 4956356    0    0 3214084   196 17387 26007  0  7 49 44  0
 5 27 177920 55580948   7476 8177968    0    0 3217152     0 17271 26044  0  6 48 45  0
 2 32 177920 52359644   7480 11401188    0    0 3216128    32 17280 25734  0  6 45 49  0
 5 27 177920 49115480   7484 14648476    0    0 3238912     4 17421 26010  0  6 46 48  0
27  5 177920 56426584   7496 7355556    0    0 3198212    20 18637 25975  0 15 41 44  0
 2 30 177920 59569108   7496 4281708    0    0 3228928     0 18443 27205  0 13 29 58  0
 2 30 177920 56341908   7496 7503132    0    0 3219456    52 17684 27395  0  4 27 68  0
 6 32 177920 52952148  16652 10732100    0    0 3233324   104 46525 57571 23 15 23 39  0
 1 31 177920 49843644  19312 13988740    0    0 3244600     0 24501 34534  6  6 30 58  0
 2 30 177920 51883796  19312 11966028    0    0 3220224     0 17686 26618  0  7 30 63  0
 3 29 177920 60224748  19312 3635672    0    0 3214848     0 18911 27419  0 13 26 61  0
 2 30 177920 57006720  19312 6856068    0    0 3221248     0 16978 26740  0  4 24 71  0
 2 31 177920 53786608  19320 10078932    0    0 3219712   528 17039 26858  0  5 28 67  0
 1 31 177920 50561092  19320 13305728    0    0 3218176     0 16922 26436  0  4 28 67  0
 2 30 177920 52590348  19320 11279652    0    0 3218176     0 17419 26521  0  6 27 67  0
 2 30 177920 60900088  19320 2954820    0    0 3218432     0 18441 27466  0 10 27 63  0
 3 30 177920 57679656  19320 6173256    0    0 3219712     0 17582 27327  0  5 34 62  0
 0 33 177920 54458988  19328 9395344    0    0 3218944    16 16864 26879  0  5 31 65  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 29 177920 51236720  19328 12618692    0    0 3218220    96 17836 27269  0  5 33 62  0
 1 31 177920 53251752  19328 10597380    0    0 3218176     0 17615 26546  0  6 37 57  0
 3 29 177920 54412656  19328 9442548    0    0 3219968     0 17262 26032  0  6 37 57  0
 2 30 177920 58356548  19328 5491964    0    0 3217920     0 17560 26616  0  8 38 54  0
 3 29 177920 55148384  19336 8710316    0    0 3218432    24 16746 26258  0  4 39 56  0
 4 29 177920 51922004  19336 11939132    0    0 3221760     0 16641 25974  0  4 45 50  0
 2 30 177920 52899000  19336 10964496    0    0 3219200    40 17410 26489  0  5 39 55  0
 4 28 177920 53835836  19336 10022284    0    0 3216896     0 17146 26187  0  6 41 53  0
 1 32 177920 59052860  19336 4811008    0    0 3220736     0 18718 27622  0  9 30 61  0
 0 32 177920 55832324  19348 8031664    0    0 3217920    40 16974 26562  0  5 31 64  0
 4 29 177920 52613876  19348 11252692    0    0 3218944     0 16813 26550  0  4 33 62  0
 4 28 177920 53594472  19348 10275560    0    0 3217152    36 17320 26403  0  6 33 61  0
 3 29 177920 53307944  19348 10556148    0    0 3221248    12 17255 26320  0  5 31 64  0
