Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

05:11:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:11:10 AM  all    0.08    0.00    0.13    0.03    0.00    0.00    0.00    0.00    0.00   99.77
05:11:10 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM    8    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:11:10 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   10    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:11:10 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:11:10 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   20    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:11:10 AM   21    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:11:10 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   34    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:11:10 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:11:10 AM   38    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:11:10 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:11:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:11:11 AM  all    2.85    0.00   28.12    0.50    0.00    0.00    0.00    0.00    0.00   68.53
05:11:11 AM    0    2.02    0.00   34.34    0.00    0.00    0.00    0.00    0.00    0.00   63.64
05:11:11 AM    1    3.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
05:11:11 AM    2    2.02    0.00   15.15    0.00    0.00    0.00    0.00    0.00    0.00   82.83
05:11:11 AM    3    2.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:11:11 AM    4    2.02    0.00   28.28    0.00    0.00    0.00    0.00    0.00    0.00   69.70
05:11:11 AM    5    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:11:11 AM    6    2.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
05:11:11 AM    7    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:11:11 AM    8    2.00    0.00   30.00    0.00    0.00    0.00    0.00    0.00    0.00   68.00
05:11:11 AM    9    1.98    0.00   26.73    0.00    0.00    0.00    0.00    0.00    0.00   71.29
05:11:11 AM   10    2.94    0.00   35.29    0.98    0.00    0.00    0.00    0.00    0.00   60.78
05:11:11 AM   11    3.00    0.00   36.00    2.00    0.00    0.00    0.00    0.00    0.00   59.00
05:11:11 AM   12    3.00    0.00   36.00    1.00    0.00    0.00    0.00    0.00    0.00   60.00
05:11:11 AM   13    3.00    0.00   35.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
05:11:11 AM   14    2.97    0.00   33.66    0.99    0.00    0.00    0.00    0.00    0.00   62.38
05:11:11 AM   15    2.00    0.00   35.00    1.00    0.00    0.00    0.00    0.00    0.00   62.00
05:11:11 AM   16    3.06    0.00   35.71    0.00    0.00    0.00    0.00    0.00    0.00   61.22
05:11:11 AM   17    2.97    0.00   34.65    0.99    0.00    0.00    0.00    0.00    0.00   61.39
05:11:11 AM   18    2.02    0.00   34.34    1.01    0.00    0.00    0.00    0.00    0.00   62.63
05:11:11 AM   19    2.00    0.00   39.00    1.00    0.00    0.00    0.00    0.00    0.00   58.00
05:11:11 AM   20    3.00    0.00   34.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
05:11:11 AM   21    3.03    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   63.64
05:11:11 AM   22    2.02    0.00   25.25    0.00    0.00    0.00    0.00    0.00    0.00   72.73
05:11:11 AM   23    1.98    0.00   27.72    0.00    0.00    0.00    0.00    0.00    0.00   70.30
05:11:11 AM   24    2.97    0.00    8.91    0.00    0.00    0.00    0.00    0.00    0.00   88.12
05:11:11 AM   25    2.02    0.00   30.30    0.00    0.00    0.00    0.00    0.00    0.00   67.68
05:11:11 AM   26    2.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   78.00
05:11:11 AM   27    2.00    0.00   31.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00
05:11:11 AM   28    2.97    0.00   22.77    0.00    0.00    0.00    0.00    0.00    0.00   74.26
05:11:11 AM   29    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:11:11 AM   30    2.00    0.00   12.00    1.00    0.00    0.00    0.00    0.00    0.00   85.00
05:11:11 AM   31    1.98    0.00   34.65    0.99    0.00    0.00    0.00    0.00    0.00   62.38
05:11:11 AM   32    2.97    0.00   33.66    0.99    0.00    0.00    0.00    0.00    0.00   62.38
05:11:11 AM   33    2.00    0.00   34.00    1.00    0.00    0.00    0.00    0.00    0.00   63.00
05:11:11 AM   34    3.00    0.00   35.00    1.00    0.00    0.00    0.00    0.00    0.00   61.00
05:11:11 AM   35    3.00    0.00   34.00    1.00    0.00    0.00    0.00    0.00    0.00   62.00
05:11:11 AM   36    3.00    0.00   34.00    1.00    0.00    0.00    0.00    0.00    0.00   62.00
05:11:11 AM   37    2.02    0.00   34.34    1.01    0.00    0.00    0.00    0.00    0.00   62.63
05:11:11 AM   38    2.00    0.00   36.00    1.00    0.00    0.00    0.00    0.00    0.00   61.00
05:11:11 AM   39   19.80    0.00   61.39    1.98    0.00    0.00    0.00    0.00    0.00   16.83

05:11:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:11:12 AM  all    0.43    0.00   51.48   27.63    0.00    0.00    0.00    0.00    0.00   20.46
05:11:12 AM    0    0.00    0.00   41.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
05:11:12 AM    1    0.00    0.00   63.27   36.73    0.00    0.00    0.00    0.00    0.00    0.00
05:11:12 AM    2    0.00    0.00   38.14   37.11    0.00    0.00    0.00    0.00    0.00   24.74
05:11:12 AM    3    0.00    0.00   44.33   30.93    0.00    0.00    0.00    0.00    0.00   24.74
05:11:12 AM    4    0.00    0.00   63.64   36.36    0.00    0.00    0.00    0.00    0.00    0.00
05:11:12 AM    5    0.00    0.00   40.21   36.08    0.00    0.00    0.00    0.00    0.00   23.71
05:11:12 AM    6    1.00    0.00   28.00   26.00    0.00    0.00    0.00    0.00    0.00   45.00
