procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 177920 63690524   6368 171848    0    0   315   900    2    1  1  1 97  1  0
 6  0 177920 63687276   6516 174260    0    0   388     0  816 1114  0  0 100  0  0
32  0 177920 59741820   7444 4109260    0    0 15996   324 7138 5629  3 28 69  0  0
 2 33 177920 51720076   7444 12139032    0    0     0 1517264 10722 6244  0 52 20 28  0
 1 33 177920 49123772   7444 14734832    0    0     0 2236984 6315 3604  0  1 37 62  0
 2 33 177920 46789092   7444 17069944    0    0     0 1969280 6183 3404  0  1 47 52  0
 0 33 177920 46446448   7444 17412836    0    0     0 2418672 9372 11197  0  1 43 55  0
 1 32 177920 48527224   7464 15319708    0    0     4 1899104 11280 15164  0  5 33 62  0
 2 31 177920 48084360   7468 15770656    0    0     4 2223200 11833 16887  0  4 35 61  0
 4 29 177920 47289864   7468 16564072    0    0     0 2214404 11572 16202  0  3 33 64  0
 0 33 177920 46481196   7468 17369656    0    0     0 2094788 12309 16531  0  5 33 62  0
 3 30 177920 46018828   7468 17834976    0    0     0 2278724 11282 16041  0  2 36 62  0
 5 31 177920 47089068   7480 16758012    0    0    44 1758016 12764 16196  0  8 34 57  0
 1 32 177920 47415868   7484 16433612    0    0     0 2119020 12890 18456  0  6 35 59  0
 1 32 177920 46287364   7484 17564404    0    0     0 2181296 12215 17760  0  3 36 62  0
 4 29 177920 46018392   7484 17834848    0    0     0 2141280 12160 17418  0  3 37 61  0
 3 30 177920 47020360   7484 16830476    0    0     0 1944616 11537 16110  0  3 36 61  0
 4 31 177920 46601256   7500 17248884    0    0     0 2021388 12370 17026  0  6 37 57  0
 3 30 177920 46205996   7500 17649184    0    0     0 2292032 13250 18986  0  6 38 56  0
 0 33 177920 46022420   7500 17835464    0    0     0 2092988 11866 17129  0  3 36 61  0
 1 32 177920 46297668   7500 17545216    0    0     0 2086208 12900 17318  0  6 37 57  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 32 177920 46144600   7500 17700732    0    0     0 2130164 12249 17585  0  3 39 58  0
 3 31 177920 46163372   7516 17691928    0    0     0 2062892 12971 18235  0  7 35 57  0
 1 32 177920 46118944   7516 17737564    0    0     0 2150364 12265 17777  0  3 37 61  0
 4 29 177920 46578304   7516 17281652    0    0     0 1958308 12648 17342  0  6 37 57  0
 2 31 177920 46771888   7516 17081072    0    0     0 2118080 12692 17989  0  5 38 56  0
 1 32 177920 46516276   7524 17351272    0    0     4 2282216 13102 19095  0  5 37 58  0
 0 34 177920 46029384   7540 17837148    0    0     0 2045108 11640 16444  0  2 35 63  0
 0 33 177920 46034288   7548 17836280    0    0     0 2089340 12095 16571  0  7 37 57  0
 2 31 177920 46711856   7548 17159568    0    0     0 2072980 12092 17505  0  2 38 59  0
 0 33 177920 46024524   7548 17836088    0    0     0 2096152 13399 18498  0  6 38 55  0
 1 32 177920 46028764   7548 17836548    0    0     0 2119664 11776 16593  0  4 37 59  0
 3 30 177920 46886220   7560 16977632    0    0     0 2113492 11849 16485  0  4 37 59  0
 2 31 177920 46521640   7568 17346504    0    0     0 2024240 12537 17421  0  6 37 57  0
 2 31 177920 46692380   7568 17176028    0    0     0 2215732 12893 18736  0  5 37 57  0
 0 33 177920 46033560   7568 17835784    0    0     0 2242468 11962 17298  0  2 37 61  0
 0 33 177920 46018600   7568 17836832    0    0     0 1929828 12123 15970  0  8 35 57  0
 1 32 177920 46510084   7580 17340280    0    0     0 2080620 11547 16405  0  3 38 59  0
 4 29 177920 46019436   7588 17835560    0    0     0 2201104 13087 18593  0  7 35 58  0
 0 33 177920 46022880   7588 17836492    0    0     0 2052112 11977 16775  0  3 35 62  0
 2 31 177920 46362480   7588 17492892    0    0     0 2054624 13212 18280  0  5 38 57  0
 1 32 177920 46106268   7588 17755268    0    0     0 2102860 12868 18006  0  6 36 59  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 30 177920 46025344   7600 17834040    0    0     0 2327920 13076 18916  0  5 36 60  0
 1 33 177920 46447496   7608 17410520    0    0     0 1976460 11509 16450  0  1 36 63  0
 0 33 177920 46040060   7608 17835784    0    0     0 2027728 12831 17679  0  7 38 55  0
 4 29 177920 47644900   7608 16227108    0    0     0 2150304 12662 18331  0  3 38 58  0
 2 31 177920 46541104   7608 17329188    0    0     0 2192000 13125 18766  0  6 36 57  0
 0 33 177920 46034524   7620 17836748    0    0     0 2037852 11919 17130  0  2 37 61  0
 2 31 177920 46369736   7620 17497048    0    0     0 2090244 12773 18097  0  5 38 57  0
 3 30 177920 47909844   7628 15953580    0    0     0 2109412 13442 18924  0  8 37 56  0
 0 33 177920 46017524   7628 17835984    0    0     0 2223860 13397 18619  0  4 34 62  0
 2 31 177920 47056564   7628 16796508    0    0     0 2022696 11949 16780  0  3 35 62  0
 1 32 177920 46404100   7640 17455868    0    0     0 2040132 12261 17473  0  4 37 59  0
 4 29 177920 46927280   7760 16934216    0    0   120 2117004 12450 17809  0  5 37 59  0
 1 32 177920 46156164   7768 17706960    0    0     0 2117116 12405 17722  0  4 38 58  0
 1 32 177920 46147412   7768 17718700    0    0     0 2112216 12108 17318  0  3 36 61  0
 1 32 177920 46499280   7768 17363484    0    0     0 2095632 12721 17821  0  6 37 57  0
 4 29 177920 46885988   7780 16973288    0    0     0 2126156 13028 18451  0  5 37 57  0
 0 33 177920 46032240   7784 17836648    0    0     4 2211480 12780 18437  0  5 37 58  0
 6 27 177920 47233804   7792 16628920    0    0     0 1944848 11778 16282  0  4 34 62  0
 2 31 177920 46634072   7792 17209864    0    0     0 2333464 13323 18426  0  5 36 59  0
 4 29 177920 46665556   7792 17188576    0    0     0 1929304 12693 17613  0  5 36 59  0
