procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 177920 63565540   7916 177252    0    0   298   891    1    0  1  1 97  1  0
 7  1 177920 63561168   8184 177476    0    0   272     0 1389 1585  0  0 99  0  0
 4 28 177920 62644760   9104 1120892    0    0 511404   384 137614 248317  3  4 79 14  0
 4 28 177920 61208540   9104 2567156    0    0 1440688     0 387386 716409  1  7 47 45  0
 3 27 177920 59785604   9104 4006144    0    0 1439024     0 383214 716875  1  7 43 49  0
 4 28 177920 58354872   9104 5445012    0    0 1438812     0 380126 718210  1  7 39 53  0
 2 29 177920 56926096   9104 6877184    0    0 1432996     0 379630 715506  1  8 38 53  0
 3 30 177920 55507572   9108 8306804    0    0 1429196    32 375203 715108  1  8 34 57  0
 3 28 177920 54088448   9124 9733212    0    0 1426540    80 372890 714819  1  8 31 59  0
 2 29 177920 52680784   9124 11141068    0    0 1407672     0 368819 705769  1  9 31 59  0
 4 29 177920 51292012   9124 12535140    0    0 1394196     0 361847 700356  2 10 27 62  0
 6 26 177920 49931968   9124 13910628    0    0 1376224     0 350761 693244  2 11 21 67  0
 8 26 177920 48604728   9132 15239148    0    0 1328136    32 338954 669419  2 13 21 64  0
13 20 177920 47416328   9132 16429360    0    0 1189764     0 306638 600846  4 20 20 55  0
26  6 177920 46731404   9136 17113848    0    0 685344    48 181644 348705  7 44 20 29  0
30  2 177920 46526288   9136 17318744    0    0 204324     0 63456 110062  8 65 20  8  0
33  0 177920 46465556   9136 17380312    0    0 60648     0 27880 38732  8 70 20  2  0
32  0 177920 46445168   9144 17400764    0    0 20396    28 17811 18633  8 71 20  1  0
32  0 177920 46437872   9144 17406660    0    0  5912     0 14163 11253  9 71 20  0  0
33  0 177920 46436612   9144 17408152    0    0  1552     0 12873 8811  9 71 20  0  0
32  0 177920 46436864   9144 17408676    0    0   444    52 12719 8310  9 71 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0 177920 46436864   9144 17408828    0    0   120     0 12533 8058 10 71 20  0  0
32  0 177920 46436876   9152 17408864    0    0    48    20 12482 8006  9 71 20  0  0
32  0 177920 46427084   9152 17408940    0    0    16     0 13107 8651  9 72 19  0  0
32  0 177920 46427336   9152 17408944    0    0     0     0 12577 8089  9 71 20  0  0
32  0 177920 46427084   9284 17408816    0    0   132     0 12502 7987  9 71 20  0  0
32  0 177920 46427336   9292 17408960    0    0     4    40 12689 8168 10 71 19  0  0
33  0 177920 46427336   9304 17408952    0    0     0    40 12596 8074  9 71 20  0  0
32  0 177920 46427096   9304 17408968    0    0     0     0 12544 7984 10 71 20  0  0
32  0 177920 46426856   9304 17408972    0    0     0     0 12582 8098  9 71 20  0  0
34  0 177920 46426856   9304 17408976    0    0     0     0 12595 8005 10 71 20  0  0
32  0 177920 46426616   9304 17408980    0    0     0    40 12484 7966  9 71 20  0  0
32  0 177920 46426376   9316 17408972    0    0     0    32 12538 8009  9 71 20  0  0
33  0 177920 46418316   9316 17408988    0    0     0     0 13096 8541 10 71 19  0  0
32  0 177920 46418316   9316 17409000    0    0     0     0 12567 8051 10 71 20  0  0
32  0 177920 46418316   9316 17409000    0    0     0     0 12534 7987 10 71 20  0  0
32  0 177920 46418316   9316 17409004    0    0     0    36 12483 7890  9 71 20  0  0
32  0 177920 46418316   9324 17409000    0    0     0    40 12580 8033 10 71 19  0  0
32  0 177920 46418316   9324 17409012    0    0     0     0 12533 7976  9 71 20  0  0
32  0 177920 46418316   9324 17409020    0    0     0     0 12411 7833  9 71 20  0  0
32  0 177920 46418316   9324 17409020    0    0     0     0 12655 8056  9 71 19  0  0
32  0 177920 46418316   9324 17409028    0    0     0     0 12572 8045 10 71 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
33  0 177920 46418316   9332 17409020    0    0     0    76 12460 7921  9 71 20  0  0
32  0 177920 46411520   9332 17409036    0    0     0     0 13228 8579 10 72 19  0  0
33  0 177920 46404980   9332 17409084    0    0    44     0 13341 8763 10 72 18  0  0
32  0 177920 46404728   9332 17409104    0    0     0     0 12587 8154 10 71 20  0  0
32  0 177920 46404728   9332 17409104    0    0     0     0 12617 8133 10 71 20  0  0
32  0 177920 46404728   9340 17409100    0    0     0    12 12510 7949  9 72 20  0  0
32  0 177920 46404728   9344 17409112    0    0     0    44 12650 8078 10 71 20  0  0
32  0 177920 46404728   9344 17409116    0    0     0     0 12504 8029  9 71 20  0  0
32  0 177920 46404728   9344 17409120    0    0     0     0 12411 7858 10 71 20  0  0
33  0 177920 46404728   9344 17409124    0    0     0     0 12492 7875  9 72 20  0  0
32  0 177920 46404728   9352 17409120    0    0     0    40 12570 7994  9 71 19  0  0
32  0 177920 46399216   9352 17409164    0    0     0    52 13057 8511  9 72 19  0  0
32  0 177920 46399216   9352 17409168    0    0     0     0 12464 7884 10 71 20  0  0
32  0 177920 46399216   9352 17409176    0    0     0     0 12535 8024  9 71 20  0  0
33  0 177920 46399216   9352 17409180    0    0     0     0 12469 7818  9 72 20  0  0
33  0 177920 46399216   9360 17409176    0    0     0    24 12487 7980 10 71 20  0  0
33  0 177920 46399216   9360 17409188    0    0     0     0 12553 7931 10 71 20  0  0
32  0 177920 46399216   9364 17409192    0    0     4    36 12594 8024  9 71 20  0  0
32  0 177920 46399216   9364 17409196    0    0     0     0 12624 8040  9 71 20  0  0
33  0 177920 46399216   9364 17409204    0    0     0     0 12545 7972  9 71 20  0  0
