Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

04:43:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:43:26 AM  all    0.05    0.00    0.05    0.03    0.00    0.00    0.00    0.00    0.00   99.87
04:43:26 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:43:26 AM    7    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:43:26 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   13    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:43:26 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:43:26 AM   39    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00

04:43:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:43:27 AM  all    2.66    0.00    9.10   10.55    0.00    0.00    0.00    0.00    0.00   77.69
04:43:27 AM    0    2.02    0.00    5.05    6.06    0.00    0.00    0.00    0.00    0.00   86.87
04:43:27 AM    1    3.00    0.00   12.00   15.00    0.00    0.00    0.00    0.00    0.00   70.00
04:43:27 AM    2    3.00    0.00    9.00   15.00    0.00    0.00    0.00    0.00    0.00   73.00
04:43:27 AM    3    3.00    0.00    7.00   11.00    0.00    0.00    0.00    0.00    0.00   79.00
04:43:27 AM    4    3.00    0.00    6.00   12.00    0.00    0.00    0.00    0.00    0.00   79.00
04:43:27 AM    5    1.98    0.00    9.90   13.86    0.00    0.00    0.00    0.00    0.00   74.26
04:43:27 AM    6    3.09    0.00    6.19   14.43    0.00    0.00    0.00    0.00    0.00   76.29
04:43:27 AM    7    3.92    0.00    9.80   11.76    0.00    0.00    0.00    0.00    0.00   74.51
04:43:27 AM    8    3.00    0.00    8.00   12.00    0.00    0.00    0.00    0.00    0.00   77.00
04:43:27 AM    9    3.00    0.00    7.00   12.00    0.00    0.00    0.00    0.00    0.00   78.00
04:43:27 AM   10    2.04    0.00   10.20   12.24    0.00    0.00    0.00    0.00    0.00   75.51
04:43:27 AM   11    2.00    0.00    8.00    9.00    0.00    0.00    0.00    0.00    0.00   81.00
04:43:27 AM   12    1.94    0.00   14.56   12.62    0.00    0.00    0.00    0.00    0.00   70.87
04:43:27 AM   13    2.02    0.00    6.06   10.10    0.00    0.00    0.00    0.00    0.00   81.82
04:43:27 AM   14    1.01    0.00   14.14   12.12    0.00    0.00    0.00    0.00    0.00   72.73
04:43:27 AM   15    1.01    0.00   10.10    7.07    0.00    0.00    0.00    0.00    0.00   81.82
04:43:27 AM   16    1.98    0.00   13.86   11.88    0.00    0.00    0.00    0.00    0.00   72.28
04:43:27 AM   17    1.94    0.00   10.68   11.65    0.00    0.00    0.00    0.00    0.00   75.73
04:43:27 AM   18    1.03    0.00   10.31   12.37    0.00    0.00    0.00    0.00    0.00   76.29
04:43:27 AM   19    1.98    0.00    8.91   11.88    0.00    0.00    0.00    0.00    0.00   77.23
04:43:27 AM   20    2.04    0.00    9.18   12.24    0.00    0.00    0.00    0.00    0.00   76.53
04:43:27 AM   21    1.03    0.00    5.15   12.37    0.00    0.00    0.00    0.00    0.00   81.44
04:43:27 AM   22    3.03    0.00    7.07   11.11    0.00    0.00    0.00    0.00    0.00   78.79
04:43:27 AM   23    3.06    0.00    5.10   12.24    0.00    0.00    0.00    0.00    0.00   79.59
04:43:27 AM   24    2.02    0.00    4.04    9.09    0.00    0.00    0.00    0.00    0.00   84.85
04:43:27 AM   25    2.04    0.00    4.08   11.22    0.00    0.00    0.00    0.00    0.00   82.65
04:43:27 AM   26    2.02    0.00    1.01    6.06    0.00    0.00    0.00    0.00    0.00   90.91
04:43:27 AM   27    2.00    0.00    3.00    7.00    0.00    0.00    0.00    0.00    0.00   88.00
04:43:27 AM   28    2.00    0.00    1.00    2.00    0.00    0.00    0.00    0.00    0.00   95.00
04:43:27 AM   29    2.97    0.00    1.98    1.98    0.00    0.00    0.00    0.00    0.00   93.07
04:43:27 AM   30    1.98    0.00   12.87   10.89    0.00    0.00    0.00    0.00    0.00   74.26
04:43:27 AM   31    1.98    0.00   11.88   11.88    0.00    0.00    0.00    0.00    0.00   74.26
04:43:27 AM   32    1.98    0.00   10.89    9.90    0.00    0.00    0.00    0.00    0.00   77.23
04:43:27 AM   33    2.04    0.00   10.20    9.18    0.00    0.00    0.00    0.00    0.00   78.57
04:43:27 AM   34    2.08    0.00   10.42   13.54    0.00    0.00    0.00    0.00    0.00   73.96
04:43:27 AM   35    1.98    0.00    8.91    6.93    0.00    0.00    0.00    0.00    0.00   82.18
04:43:27 AM   36    1.98    0.00   10.89    9.90    0.00    0.00    0.00    0.00    0.00   77.23
04:43:27 AM   37    2.02    0.00    7.07    9.09    0.00    0.00    0.00    0.00    0.00   81.82
04:43:27 AM   38    1.96    0.00    7.84    7.84    0.00    0.00    0.00    0.00    0.00   82.35
04:43:27 AM   39   19.61    0.00   43.14   13.73    0.00    0.00    0.00    0.00    0.00   23.53

