procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 128512 63626580   3608 169084    0    0   276   832    2    3  1  1 97  0  0
 2  0 128512 63621552   4608 169788    0    0  2384     0  876 1195  0  0 100  0  0
22  0 128512 59847396   7596 3937564    0    0 21600     0 25425 36580  3 21 75  0  0
22  0 128512 48904056   7596 14874072    0    0     0 197724 67295 103961  1 60 38  0  0
31  5 128512 39873148   7600 23905412    0    0     4 2163208 62666 92229  1 49 41  9  0
 0 36 128512 35425528   7604 28348936    0    0     0 2103240 45220 70126  0 12 44 44  0
 1 32 128512 31337872   7608 32433036    0    0     0 2279144 40717 68109  0  7 40 53  0
12 22 128512 27007772   7616 36763020    0    0     0 1905296 40990 67841  0 10 43 47  0
10 23 128512 22397276   7616 41374020    0    0     0 2318384 43787 75678  0  7 44 48  0
 4 29 128512 17863316   7616 45906932    0    0     0 2026412 42292 74319  0  5 45 49  0
 6 28 128512 13369136   7624 50397204    0    0     0 2144072 41833 73418  0  5 48 47  0
 3 30 128512 8978624   7624 54780704    0    0     0 2258848 40926 71384  0  5 48 47  0
 2 31 128512 4557380   7632 59193476    0    0     0 2082288 41412 71124  0  6 45 49  0
 1 32 128512 422832   7556 63310148    0    0     0 2039940 42358 74332  0  6 43 52  0
 1 33 128512 465124   7556 63286992    0    0     4 2271688 43315 74672  0 10 43 47  0
 3 31 128512 425016   7564 63330600    0    0     0 1919068 42101 73380  0  8 42 50  0
 0 33 128512 434340   7564 63324832    0    0   640 2274236 43197 73985  0  8 43 49  0
 4 31 128512 464196   7572 63295948    0    0     0 2245316 42499 71634  0 12 41 47  0
 4 30 128512 461216   7572 63299824    0    0     0 1854088 41017 70813  0  7 45 47  0
10 26 128512 542764   8368 63216372    0    0  2656 2231476 43167 74425  0  8 40 52  0
 7 27 128512 429864   8376 63330872    0    0     0 2275308 41892 72071  0  8 39 54  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5 28 128512 415720   8376 63344688    0    0     0 1825032 40414 69712  0  7 48 45  0
 6 29 128512 438992   8384 63323736    0    0     0 2265912 40416 66520  0 13 44 43  0
 2 32 128512 434548   8384 63333868    0    0     0 2283832 43560 75078  0  7 44 49  0
 4 31 128512 452880   8384 63313804    0    0     0 1930712 41107 71088  0  6 47 47  0
 1 33 128512 518764   8392 63247648    0    0     0 2203104 41484 71652  0  6 45 49  0
 1 32 128512 418536   8392 63344888    0    0     0 2247704 42478 72659  0  7 47 46  0
12 28 128512 434052   8400 63332828    0    0     0 1910036 40466 67846  0 11 46 43  0
 7 27 128512 398636   8400 63364100    0    0     0 2280252 42969 74206  0  9 43 48  0
 7 27 128512 421920   8400 63342452    0    0     4 2071548 42361 72926  0  7 43 50  0
 7 26 128512 447164   8408 63315228    0    0     0 2150804 41768 72063  0  7 47 45  0
 4 29 128512 433580   8408 63331772    0    0     0 2082748 41065 70848  0  7 46 47  0
 5 31 128512 394160   8416 63371944    0    0     0 2243008 41933 68676  0 17 41 42  0
 8 25 128512 424120   8416 63340976    0    0     0 1919544 41490 71216  0  7 43 50  0
 0 33 128512 432096   8424 63338260    0    0     4 2269044 41567 71476  0  7 41 52  0
 3 31 128512 429740   8436 63341244    0    0     0 2235852 42399 72855  0  7 48 45  0
 3 31 128512 387604   8436 63377636    0    0   620 1939452 41904 71291  0  7 45 48  0
 5 29 128512 429400   8444 63335348    0    0    60 2175072 42619 71266  0  9 43 48  0
 1 32 128512 470640   8444 63293452    0    0     0 2247936 42599 73089  0  7 42 51  0
 9 24 128512 441948   8444 63326500    0    0     0 1946684 41911 71928  0  7 42 51  0
 4 30 128512 412108   8452 63355856    0    0     0 2170316 40981 70564  0  7 40 53  0
 2 31 128512 482136   8452 63286524    0    0     0 2086668 42131 72693  0  7 42 51  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9 26 128512 388800   8460 63365164    0    0     0 2158740 41552 68920  0 11 42 47  0
 2 32 128512 461704   8460 63294328    0    0     0 2216444 41440 71315  0  7 41 52  0
 2 32 128512 479448   8460 63277888    0    0     0 1932584 42336 72965  0  7 43 51  0
 4 30 128512 400092   8472 63358224    0    0     4 2221020 40875 69996  0  6 45 48  0
 1 32 128512 466940   8472 63285892    0    0     0 2227596 42387 71662  0  7 44 48  0
 8 27 128512 391052   8480 63372132    0    0     0 1957612 42721 71671  0 10 44 46  0
 7 27 128512 391304   8480 63370276    0    0     0 2222468 41478 70962  0  7 43 50  0
 0 33 128512 463680   8480 63298604    0    0     0 2215380 41129 70867  0  7 44 49  0
 4 29 128512 466416   8488 63293528    0    0     0 1911564 41262 71126  0  7 50 43  0
 6 28 128512 405888   8488 63349268    0    0     0 2242004 41916 71826  0  7 47 46  0
 5 29 128512 459416   8496 63300040    0    0     0 1940136 40476 68938  0  7 44 49  0
 1 33 128512 493724   8496 63261012    0    0     0 2201856 40990 70395  0  7 43 51  0
 3 30 128512 409864   8496 63346416    0    0     0 2172708 40519 69474  0  6 46 48  0
 0 33 128512 452504   8504 63302972    0    0     0 1995644 41347 71354  0  7 45 49  0
 6 28 128512 390892   8504 63362024    0    0   580 2212480 42368 72051  0  7 47 46  0
 3 30 128512 454808   8512 63304908    0    0     0 1983524 40365 66670  0 13 41 46  0
 9 26 128512 437652   8512 63319444    0    0     0 2252800 42008 72413  0  7 42 51  0
 5 29 128512 517500   8512 63238360    0    0     0 1908876 41249 70872  0  6 49 44  0
 2 32 128512 442532   8520 63305696    0    0     0 2197996 40998 70085  0  7 48 45  0
 7 28 128512 3225384   8520 60517392    0    0     0 2185816 41418 70060  0  9 47 44  0
