procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 123904 63549160   5700 176308    0    0   260   825    2    3  1  1 98  0  0
 2  2 123904 63546904   5836 176884    0    0   136     0  645  890  0  0 100  0  0
 3 23 123904 62751684   9456 1012896    0    0 204768     0 177741 347362  3  5 80 12  0
11 17 123904 61553360   9456 2208192    0    0 533920     0 514539 1015699  1 13 49 37  0
16 17 123904 60390948   9456 3374676    0    0 534940     0 514490 1016453  1 12 50 37  0
 5 25 123904 59246088   9460 4517808    0    0 534884    20 513262 1016692  1 12 50 37  0
 7 21 123904 58115992   9464 5649100    0    0 536336    68 515076 1019790  1 12 50 37  0
 0 25 123904 57000144   9464 6765212    0    0 534900     0 514497 1016148  1 12 50 37  0
 7 21 123904 55892116   9464 7870560    0    0 536128     0 514222 1018502  2 12 50 37  0
 1 23 123904 54796484   9464 8966944    0    0 535672     0 513673 1017316  1 13 49 37  0
 2 24 123904 53705852   9472 10057520    0    0 534996    20 515535 1015545  2 12 49 37  0
 3 22 123904 52619552   9472 11144088    0    0 535292     0 513164 1014809  1 13 49 37  0
 5 22 123904 51535064   9472 12229508    0    0 537176    48 514424 1018571  1 13 49 36  0
 8 23 123904 50451644   9472 13306004    0    0 535304     0 513406 1013441  1 13 49 37  0
14 12 123904 49376240   9472 14388588    0    0 537916     0 515235 1017750  1 12 49 37  0
 3 23 123904 48297704   9480 15467096    0    0 538168    20 513900 1017976  1 13 49 37  0
 7 19 123904 47222396   9480 16540996    0    0 537548     0 512333 1014599  1 12 50 37  0
 2 23 123904 46148312   9480 17614396    0    0 536160     0 513194 1011473  1 12 50 37  0
12 18 123904 45075128   9480 18687440    0    0 538392    40 512406 1013979  1 13 49 37  0
 9 19 123904 43998728   9480 19763512    0    0 539788     0 512970 1016242  1 12 50 37  0
 3 23 123904 42923252   9488 20839448    0    0 539528    20 513486 1015801  1 12 50 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9 17 123904 41850248   9488 21914288    0    0 540036     0 512601 1013926  1 12 50 37  0
 8 19 123904 40773816   9488 22989352    0    0 540624     0 513046 1015051  1 12 50 37  0
18 15 123904 39694524   9488 24061416    0    0 540188     0 515983 1013827  1 12 49 37  0
