Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

04:41:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:41:55 AM  all    0.07    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.78
04:41:55 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM    1    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
04:41:55 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM    3    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:41:55 AM    4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:41:55 AM    5    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:41:55 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM    9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:41:55 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:41:55 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   26    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:41:55 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:41:55 AM   39    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00

04:41:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:41:56 AM  all    4.28    0.00   15.86    0.43    0.00    0.00    0.00    0.00    0.00   79.43
04:41:56 AM    0    2.00    0.00   11.00    1.00    0.00    0.00    0.00    0.00    0.00   86.00
04:41:56 AM    1    3.09    0.00    7.22    1.03    0.00    0.00    0.00    0.00    0.00   88.66
04:41:56 AM    2    4.08    0.00    7.14    2.04    0.00    0.00    0.00    0.00    0.00   86.73
04:41:56 AM    3    6.25    0.00    4.17    1.04    0.00    0.00    0.00    0.00    0.00   88.54
04:41:56 AM    4    4.04    0.00    9.09    1.01    0.00    0.00    0.00    0.00    0.00   85.86
04:41:56 AM    5    4.08    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   86.73
04:41:56 AM    6    2.97    0.00   10.89    0.99    0.00    0.00    0.00    0.00    0.00   85.15
04:41:56 AM    7    5.21    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   88.54
04:41:56 AM    8    3.09    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:41:56 AM    9    3.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
04:41:56 AM   10    4.08    0.00   19.39    1.02    0.00    0.00    0.00    0.00    0.00   75.51
04:41:56 AM   11    3.85    0.00   24.04    0.00    0.00    0.00    0.00    0.00    0.00   72.12
04:41:56 AM   12    4.95    0.00   20.79    0.99    0.00    0.00    0.00    0.00    0.00   73.27
04:41:56 AM   13    2.00    0.00   23.00    1.00    0.00    0.00    0.00    0.00    0.00   74.00
04:41:56 AM   14    3.03    0.00   21.21    0.00    0.00    0.00    0.00    0.00    0.00   75.76
04:41:56 AM   15    3.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
04:41:56 AM   16    4.04    0.00   20.20    0.00    0.00    0.00    0.00    0.00    0.00   75.76
04:41:56 AM   17    5.00    0.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
04:41:56 AM   18    2.97    0.00   21.78    0.00    0.00    0.00    0.00    0.00    0.00   75.25
04:41:56 AM   19    5.00    0.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
