procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 127744 63608640   3536 179236    0    0   262   825    1    0  1  1 98  0  0
 0  2 127744 63605020   4360 180356    0    0  2092     0  763 1060  0  0 100  0  0
16  3 127744 61584164   7372 2199180    0    0 21716    48 204776 393561  4 16 80  0  0
 7  0 127744 56843512   7376 6937276    0    0     0   228 619539 1211622  5 44 51  0  0
26  0 127744 52399428   7376 11375072    0    0     0     0 616242 1204528  6 42 53  0  0
27  0 127744 48160956   7376 15609964    0    0     0 417136 671843 1191825  5 45 50  0  0
20  0 127744 43903564   7376 19864420    0    0     0 1326904 844636 1201783  5 46 49  0  0
17  1 127744 39746292   7396 24022528    0    0     4 1350892 840954 1198095  6 46 48  0  0
33  0 127744 35728888   7528 28037928    0    0   132 1332684 824429 1181738  5 45 50  0  0
28  0 127744 31700996   7532 32062300    0    0     4 1393552 836982 1198090  5 45 49  0  0
30  2 127744 27715360   7532 36046756    0    0     0 1367364 829184 1203911  5 46 48  0  0
27  0 127744 23779456   7532 39977572    0    0     0 1420044 829514 1208402  5 46 48  0  0
28  0 127744 19935852   7556 43819872    0    0     8 1404612 823580 1204181  5 45 49  1  0
 5 12 127744 16332600   7556 47420340    0    0     0 1511616 844110 1197795  5 42 48  5  0
14 19 127744 13488444   7556 50259720    0    0     0 1571152 832111 1136832  3 33 45 19  0
15 20 127744 10785284   7556 52955724    0    0     0 1582928 828940 1112971  3 31 45 21  0
16 21 127744 8174592   7556 55561492    0    0     0 1496864 795646 1043093  3 31 45 22  0
16 21 127744 5454876   7572 58267148    0    0     0 1594912 834328 1097850  3 34 44 18  0
10 25 127744 2828912   7572 60881356    0    0     0 1560020 816645 1080896  3 33 45 18  0
11  9 128256 405132   7540 63306556    0  372     0 1597824 810358 1061871  3 33 45 19  0
 5 29 128512 428048   7552 63312144    0  176     8 1647828 676623 787270  1 13 42 43  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  9 128512 393708   7552 63357740    0    0     0 1615268 772728 994393  3 30 45 22  0
20  9 128512 392828   7572 63358276    0    0     4 1449392 804286 1135249  5 42 46  8  0
22  8 128512 394456   7572 63357600    0    0     4 1516548 841418 1194251  5 42 43 10  0
20 18 128512 420000   7572 63335040    0    0     0 1516760 836108 1195053  4 42 44 10  0
20  6 128512 489240   7572 63269052    0    0   700 1504900 769604 1061722  3 36 44 17  0
 3 30 128512 482316   7572 63273168    0    0     0 1540568 769341 1041029  3 34 44 20  0
22 12 128512 450364   7588 63305736    0    0     0 1504496 773905 1059601  3 35 43 19  0
18  8 128512 406204   7588 63350244    0    0     0 1570120 772347 999033  3 31 43 23  0
 6 29 128512 474300   7588 63283544    0    0     0 1529108 736521 952239  3 27 47 24  0
22  5 128512 431368   7588 63322864    0    0     0 1528368 785720 1063471  4 36 43 18  0
 5 15 128512 393436   7588 63356968    0    0     0 1455916 814606 1161675  5 42 44  9  0
 8 27 128512 459184   7604 63296704    0    0     0 1570944 751649 999094  3 29 43 26  0
16 10 128512 418760   7604 63334700    0    0     0 1530184 740169 971668  3 28 44 25  0
26  8 128512 416512   7608 63334308    0    0     4 1474480 818201 1157700  5 42 44  9  0
 7 12 128512 441572   7608 63314168    0    0     0 1501884 769182 1054494  4 35 45 17  0
25 15 128512 415308   7608 63337928    0    0     0 1541092 763630 1036808  4 34 43 19  0
20  5 128512 464768   7624 63287676    0    0     0 1542304 704609 915058  2 26 42 30  0
 7  9 128512 397788   7624 63356040    0    0     0 1485080 808025 1145825  4 41 45 10  0
20 12 128512 424408   7624 63327308    0    0     0 1471936 773099 1067937  3 34 44 18  0
 8 15 128512 396808   7624 63360228    0    0     0 1528448 777449 1051438  3 34 44 18  0
 5 11 128512 401528   7624 63351536    0    0     0 1505816 768149 1034469  3 33 43 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5 28 128512 480848   7640 63273588    0    0     0 1565000 735188 936697  3 26 44 28  0
23 13 128512 370332   7640 63380724    0    0     0 1602776 679871 806654  2 17 43 38  0
16 12 128512 467476   7640 63295232    0    0     0 1474676 772375 1065895  4 41 46  9  0
 8  3 128512 448316   7640 63314384    0    0     0 1427892 808838 1162447  5 44 43  9  0
13 12 128512 426928   7640 63336280    0    0     0 1472432 834686 1202751  5 43 43 10  0
20  9 128512 508532   7656 63253144    0    0     0 1533448 798260 1096029  4 36 44 16  0
 5 28 128512 454504   7656 63305272    0    0     0 1634980 628791 710901  1 12 47 40  0
21 12 128512 414420   7656 63346592    0    0     0 1522776 783931 1069744  4 38 43 15  0
19 11 128512 409216   7656 63350152    0    0     0 1421844 812157 1165115  4 43 45  8  0
14 18 128512 517812   7656 63245596    0    0     0 1511256 841779 1196036  4 41 44 11  0
23 10 128512 415296   7672 63345860    0    0     0 1506504 710104 930454  2 28 43 26  0
19 17 128512 399444   7672 63359112    0    0     0 1485900 809255 1140785  4 40 45 11  0
 2 30 128512 478724   7672 63279884    0    0     0 1486132 754728 1017917  4 34 43 19  0
15 12 128512 476192   7672 63282156    0    0   580 1527496 780920 1052516  3 33 43 20  0
11 15 128512 456504   7672 63300796    0    0     0 1464684 776129 1062895  3 35 44 17  0
11 25 128512 404568   7688 63353316    0    0     0 1709444 637817 700688  1 11 44 44  0
17  9 128512 383744   7688 63374560    0    0     0 1430536 791615 1116245  4 43 45  8  0
22 12 128512 417292   7688 63341616    0    0     0 1484384 818877 1160836  4 42 44 10  0
22  9 128512 399832   7688 63359528    0    0     0 1442400 808133 1150519  4 39 45 13  0
21  9 128512 398900   7688 63357036    0    0     0 1528124 803123 1099594  3 35 43 18  0
