procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 128512 63468004   7292 181816    0    0   277   850    0    2  1  1 97  1  0
 5  1 128512 63467272   7428 182052    0    0   144   192  717 1003  0  0 100  0  0
12 17 128512 61306648   8252 2356496    0    0 891536    56 23008 32473  3 10 78 10  0
11 18 128512 55654444   8256 8008168    0    0 2822656     4 62642 94172  0 21 47 31  0
 7 19 128512 49828244   8256 13831300    0    0 2904704     0 65223 97512  1 19 48 32  0
 3 23 128512 43915688   8256 19744408    0    0 2950400     0 64778 98259  0 17 49 33  0
10 18 128512 38015264  10004 25644576    0    0 2945816     0 66674 99217  1 16 49 34  0
 5 22 128512 32040524  10008 31620668    0    0 2980556   120 65331 99449  0 15 51 34  0
24 12 128512 45213496  10024 18585308    0    0 1314708    24 44935 64998  0 56 28 16  0
24 12 128512 40423556  10032 23373032    0    0     8     0 66564 118938  1 61 25 13  0
27 12 128512 35710772  10036 28077664    0    0     4     0 68492 122216  1 62 24 13  0
28 11 128512 31713616  12788 32034980    0    0 10432     0 69499 122678  2 67 19 12  0
28 14 128512 43413332  15856 20360824    0    0 30660    44 48580 79276  1 78 14  6  0
36  7 128512 39285348  16232 24476956    0    0  3320    92 72888 122221  2 68 18 12  0
34 13 128512 34175568  16484 29595740    0    0  1752   260 72380 126289  3 69 17 12  0
36  0 128512 37445636  16484 26247240    0    0  1792     0 64029 104579  1 74 16  9  0
30 11 128512 40982904  16484 22795256    0    0   512     0 58881 97312  2 75 15  8  0
27 12 128512 37381960  16488 26355984    0    0   508     0 72530 118710  4 69 16 12  0
26 11 128512 32686344  16488 31041248    0    0    12     8 73113 126033  3 68 17 12  0
27 12 128512 42505384  16496 21259564    0    0   256   140 50331 76547  1 81 13  6  0
29 10 128512 39336228  16496 24422400    0    0     0     0 76731 122134  2 68 18 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  9 128512 36264252  16496 27479352    0    0   256     4 73254 122588  1 70 17 12  0
42  0 128512 36144664  16496 27547128    0    0     0     0 68826 112880  2 71 17 10  0
34 12 128512 40726860  16496 23034252    0    0   512     0 59996 93213  1 75 15  8  0
34  9 128512 37821056  16520 25934100    0    0    60   248 72852 119429  2 71 15 12  0
26 13 128512 33759860  16520 30009404    0    0     0   104 74589 124940  2 69 17 12  0
20 12 128512 42380776  16520 21388828    0    0   768     8 54879 80204  1 79 13  7  0
35 10 128512 37650852  16520 26105480    0    0    44     0 72290 125219  2 69 17 12  0
28 12 128512 35435740  16520 28333360    0    0     0     0 73820 118362  2 70 17 12  0
35  0 128512 40576536  16540 23124624    0    0    32    76 61648 96103  2 75 15  9  0
30 10 128512 38851032  16540 24897816    0    0     0    80 63963 107711  3 74 13 10  0
31 13 128512 37204260  16540 26543036    0    0     0     0 74927 117695  1 70 17 12  0
34  0 128512 34485548  16540 29231496    0    0     0     0 76715 122998  2 69 17 12  0
32 12 128512 40328376  16540 23426212    0    0     0     0 54830 87433  1 77 14  7  0
31 12 128512 38033500  16552 25706944    0    0     0    32 76105 120302  2 69 18 12  0
34  3 128512 34029472  16556 29711068    0    0     4    36 76355 126002  2 68 18 12  0
31 12 128512 41913684  16556 21832852    0    0     0     0 54333 81227  2 79 13  7  0
38 11 128512 38469456  16556 25264004    0    0   256     0 72652 121854  2 69 17 12  0
36  3 128512 34940240  16556 28803176    0    0     0     0 73861 123032  3 69 17 12  0
36  0 128512 41166424  16568 22520484    0    0     0    40 62473 92810  1 75 15  8  0
31 13 128512 38482220  16568 25261456    0    0     0    40 66802 114361  2 71 16 11  0
27 14 128512 36676428  16580 27095340    0    0     0   264 74560 117220  2 70 17 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  7 128512 35107252  16580 28640424    0    0     0     0 76721 120163  1 69 17 12  0
31 12 128512 39763112  16580 24020200    0    0     0     0 55791 93098  1 76 15  8  0
31 12 128512 38161676  16580 25615224    0    0     0     0 78726 119420  2 69 17 12  0
25 11 128512 34689816  16580 29078156    0    0     0    84 76933 124771  1 68 18 12  0
29 12 128512 41209492  16592 22565780    0    0     0    44 55287 84495  2 79 13  7  0
33 11 128512 38557412  16592 25214688    0    0     0     0 74119 120213  1 70 17 12  0
38 11 128512 35135364  16592 28621564    0    0     0     0 75919 124769  1 69 17 12  0
32  0 128512 41729596  16592 22018632    0    0     0     0 62754 90750  1 76 15  8  0
26 10 128512 39412228  16592 24352364    0    0     0    44 71080 116549  1 71 16 12  0
35 10 128512 35856936  16604 27914208    0    0     0    32 75188 124016  2 69 18 12  0
34  0 128512 36276364  16604 27472364    0    0     0     0 75582 112081  1 72 16 11  0
28 12 128512 39022016  16604 24755096    0    0     0     0 60018 98166  1 74 16  9  0
27 11 128512 37090260  16604 26689436    0    0     0     0 77299 119701  1 70 17 12  0
21 11 128512 34731236  16604 29019792    0    0     0    32 79870 121569  2 68 18 13  0
