procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 128512 63579320   4840 176144    0    0   278   850    0    2  1  1 97  1  0
 8  0 128512 63574292   5400 176660    0    0  1756     0  762 1047  0  0 100  0  0
24  0 128512 59844668   8632 3916844    0    0 22024     0 25282 36692  3 21 75  0  0
29  0 128512 48833364   8632 14920396    0    0     0 221224 68088 104331  1 61 38  0  0
11 23 128512 38824024   8632 24929672    0    0     0 2254028 68169 105955  1 51 40  8  0
 1 32 128512 33669112   8640 30079340    0    0     0 2138600 47676 84195  0  7 46 46  0
13 20 128512 36227240   8640 27521296    0    0     0 2164872 56840 99639  0 13 41 45  0
18 15 128512 40802764   8652 22974124    0    0     4 2203796 87976 155708  1 46 34 19  0
13 19 128512 38706744   8652 25063268    0    0     0 2104704 97254 176595  1 31 38 30  0
12 22 128512 37505928   8652 26266564    0    0     0 2202584 95643 174969  1 22 40 37  0
13 19 128512 37345980   8664 26431860    0    0     4 1957628 90713 166010  1 20 40 40  0
10 24 128512 36867604   8664 26904300    0    0     0 2216704 88889 161378  1 20 39 40  0
15 15 128512 37562888   8672 26213100    0    0     0 2238108 89359 161127  1 23 38 38  0
16 19 128512 35914344   8672 27852136    0    0     0 2197504 95453 174639  1 25 40 35  0
 8 25 128512 38921420   8672 24847048    0    0     0 2120424 93008 168881  1 27 39 34  0
 7 26 128512 37881996   8680 25904516    0    0     0 2289996 93976 171780  0 21 40 38  0
 8 26 128512 38312364   8680 25463836    0    0     0 1907724 95279 172666  1 25 39 35  0
17 18 128512 37044604   8688 26729488    0    0    44 2133660 87308 155457  1 27 39 33  0
 9 24 128512 38436288   8688 25333424    0    0     0 2182000 95925 174771  0 26 39 34  0
 7 26 128512 36288080   8688 27490644    0    0     0 2165412 94710 173133  1 24 39 37  0
12 22 128512 35869392   8696 27894616    0    0     0 2178068 93688 170452  1 22 39 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10 22 128512 38028736   8696 25745356    0    0     0 2121624 96117 173834  1 28 38 33  0
19 14 128512 36981408   8704 26797288    0    0     0 2102752 98543 179603  1 25 40 34  0
13 20 128512 37552072   8704 26234360    0    0     0 2053188 94592 170668  1 28 39 32  0
10 23 128512 37397024   8704 26388636    0    0     0 2319236 97633 177507  1 26 37 36  0
 5 27 128512 38647460   8716 25142768    0    0     0 1918836 95746 174376  1 24 40 36  0
11 22 128512 36538672   8716 27233668    0    0     0 2146812 92955 169130  1 22 39 39  0
11 23 128512 34761940   8724 29010552    0    0     0 2322040 87254 157481  0 21 40 38  0
12 21 128512 36858300   8724 26911664    0    0     0 1920552 93792 169761  1 24 39 36  0
13 20 128512 38207284   8724 25567756    0    0     0 2190392 93759 171558  0 23 39 37  0
10 23 128512 38925568   8736 24841036    0    0     0 2132516 92216 166764  1 26 38 35  0
13 20 128512 38904724   8736 24875292    0    0     0 2249392 94135 171715  1 25 38 36  0
12 20 128512 37158128   8744 26614640    0    0     0 2110352 86145 155421  1 20 41 38  0
11 22 128512 36470652   8744 27306636    0    0     0 2134272 95659 174544  0 24 38 38  0
10 23 128512 35806472   8744 27975840    0    0     0 2109004 95166 174505  1 21 40 38  0
15 18 128512 37107572   8760 26677848    0    0     0 2127944 89333 162737  0 21 41 38  0
 8 25 128512 36571848   8760 27201988    0    0     0 1973836 95554 173869  1 24 39 37  0
12 21 128512 37041580   8768 26724360    0    0     0 2308828 89015 159236  1 26 39 34  0
 8 24 128512 38352536   8768 25412580    0    0     0 1904404 95288 173575  1 26 38 35  0
 9 24 128512 38856444   8768 24924440    0    0     0 2242416 96792 177009  0 25 39 35  0
 6 27 128512 38250128   8776 25524688    0    0     0 2194328 94295 171925  0 24 40 36  0
11 22 128512 36645488   8776 27120792    0    0     0 1979032 99682 180965  1 28 38 33  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16 17 128512 36650160   8784 27126876    0    0     0 1995804 93514 169685  0 25 39 36  0
18 16 128512 37050248   8784 26722264    0    0     0 2178676 95414 173912  1 25 38 36  0
16 17 128512 38532000   8784 25248500    0    0     0 2163224 92136 163880  1 30 38 32  0
 7 26 128512 37530488   8792 26248204    0    0     0 2175516 93078 169452  1 23 39 37  0
13 19 128512 37699936   8792 26078168    0    0     0 2170820 92831 167433  1 24 39 37  0
12 23 128512 38262256   8800 25518784    0    0     0 2016156 80280 143585  1 25 40 35  0
13 21 128512 37388928   8800 26395400    0    0     0 2293496 98072 179695  1 26 40 33  0
 5 28 128512 36925772   8800 26858676    0    0     0 2138752 91829 166357  0 23 39 38  0
 8 25 128512 36792420   8808 26986288    0    0     0 2084908 95250 174981  1 22 39 39  0
 8 25 128512 36861344   8808 26919248    0    0     0 1915596 91110 166243  0 24 39 37  0
 9 24 128512 36324444   8816 27446352    0    0     0 2149140 82812 149543  1 20 40 39  0
12 24 128512 37834412   8816 25948848    0    0     0 2190188 94570 172758  1 26 36 37  0
11 22 128512 38559340   8816 25226808    0    0     0 2015232 98233 178985  1 27 39 33  0
15 19 128512 40113344   8824 23664336    0    0     0 2166936 92828 167397  1 26 38 35  0
10 23 128512 39034216   8824 24742976    0    0     0 2097136 89550 163699  1 19 39 42  0
 6 27 128512 37727860   8832 26056144    0    0     0 2260132 93208 169336  1 24 39 36  0
11 22 128512 37444752   8832 26333980    0    0     0 2091780 87942 159253  1 20 38 41  0
13 20 128512 37086180   8832 26691000    0    0     0 2172964 92026 168707  0 20 41 39  0
10 23 128512 36680960   8840 27100928    0    0     0 2135248 93349 169514  1 24 40 36  0
10 23 128512 35963304   8840 27812428    0    0     0 2055548 93966 171752  1 23 38 38  0
