Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

04:49:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:49:38 AM  all    0.02    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.83
04:49:38 AM    0    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:49:38 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   21    0.00    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   98.02
04:49:38 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   23    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:49:38 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   30    0.00    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   98.02
04:49:38 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:49:38 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:49:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:49:39 AM  all    4.25    0.00   15.62    0.15    0.00    0.00    0.00    0.00    0.00   79.97
04:49:39 AM    0    3.03    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   85.86
04:49:39 AM    1    4.21    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   90.53
04:49:39 AM    2    4.12    0.00    9.28    1.03    0.00    0.00    0.00    0.00    0.00   85.57
04:49:39 AM    3    3.03    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   86.87
04:49:39 AM    4    2.97    0.00   11.88    0.00    0.00    0.00    0.00    0.00    0.00   85.15
04:49:39 AM    5    3.09    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:49:39 AM    6    3.03    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   87.88
04:49:39 AM    7    5.05    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   86.87
04:49:39 AM    8    5.15    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   87.63
04:49:39 AM    9    3.09    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:49:39 AM   10   20.41    0.00   55.10    2.04    0.00    0.00    0.00    0.00    0.00   22.45
04:49:39 AM   11    3.09    0.00   20.62    0.00    0.00    0.00    0.00    0.00    0.00   76.29
04:49:39 AM   12    3.96    0.00   21.78    0.00    0.00    0.00    0.00    0.00    0.00   74.26
04:49:39 AM   13    6.00    0.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00   73.00
04:49:39 AM   14    5.00    0.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
04:49:39 AM   15    4.04    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   73.74
04:49:39 AM   16    5.00    0.00   21.00    1.00    0.00    0.00    0.00    0.00    0.00   73.00
04:49:39 AM   17    4.04    0.00   21.21    0.00    0.00    0.00    0.00    0.00    0.00   74.75
04:49:39 AM   18    3.06    0.00   20.41    0.00    0.00    0.00    0.00    0.00    0.00   76.53
04:49:39 AM   19    5.10    0.00   19.39    0.00    0.00    0.00    0.00    0.00    0.00   75.51
04:49:39 AM   20    4.17    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   90.62
04:49:39 AM   21    2.13    0.00    6.38    0.00    0.00    0.00    0.00    0.00    0.00   91.49
04:49:39 AM   22    3.09    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:49:39 AM   23    3.09    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   89.69
04:49:39 AM   24    4.95    0.00   11.88    0.00    0.00    0.00    0.00    0.00    0.00   83.17
04:49:39 AM   25    5.15    0.00    7.22    1.03    0.00    0.00    0.00    0.00    0.00   86.60
04:49:39 AM   26    3.23    0.00    5.38    0.00    0.00    0.00    0.00    0.00    0.00   91.40
04:49:39 AM   27    3.03    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   86.87
04:49:39 AM   28    4.17    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   87.50
04:49:39 AM   29    4.17    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   89.58
04:49:39 AM   30    1.05    0.00   21.05    0.00    0.00    0.00    0.00    0.00    0.00   77.89
04:49:39 AM   31    4.04    0.00   21.21    0.00    0.00    0.00    0.00    0.00    0.00   74.75
04:49:39 AM   32    7.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   73.00
04:49:39 AM   33    4.08    0.00   20.41    0.00    0.00    0.00    0.00    0.00    0.00   75.51
04:49:39 AM   34    2.04    0.00   22.45    0.00    0.00    0.00    0.00    0.00    0.00   75.51
04:49:39 AM   35    3.03    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   73.74
04:49:39 AM   36    4.00    0.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
04:49:39 AM   37    2.97    0.00   23.76    0.00    0.00    0.00    0.00    0.00    0.00   73.27
