procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 128512 63500564   3704 174064    0    0   277   843    3    2  1  1 97  1  0
 6  1 128512 63501412   4188 175420    0    0  1824     0  720 1019  0  0 100  0  0
34  0 128512 61562128   7000 2128224    0    0 21948     0 212136 408634  4 16 80  0  0
23  0 128512 57628232   7008 6059244    0    0     0    84 606232 1178234  5 45 51  0  0
 9  0 128512 54191520   7008 9495024    0    0     0     0 603199 1169425  5 43 52  0  0
15  0 128512 51142692   7008 12543328    0    0     0     0 603179 1173398  5 43 52  0  0
25  0 128512 48459732   7008 15222256    0    0     0 1011028 699980 1182186  5 44 50  0  0
23  0 128512 46080684   7292 17601168    0    0   284 1377028 728596 1183712  5 44 51  0  0
28  0 128512 43985916   7304 19693404    0    0     4 1391012 717758 1189284  4 44 51  0  0
20  0 128512 42137364   7304 21540088    0    0     0 1407104 710266 1192714  5 42 53  0  0
22  0 128512 40511596   7304 23160524    0    0     0 1352060 699233 1194878  5 43 52  0  0
19  0 128512 39082244   7304 24586564    0    0     0 1771592 714787 1199611  5 45 50  0  0
13  0 128512 37845076   7312 25825200    0    0     0 1115976 668926 1195367  5 44 51  0  0
23  0 128512 36741988   7324 26924452    0    0     4 1436724 719300 1207918  5 44 52  0  0
22  0 128512 35755524   7324 27909784    0    0     0 1392872 719213 1225812  5 44 51  0  0
20  0 128512 34896860   7324 28764044    0    0     0 1488748 722163 1221825  5 44 51  0  0
 5  0 128512 34144996   7324 29514088    0    0     0 1679036 734220 1223549  5 43 52  0  0
13  0 128512 33486140   7332 30172656    0    0     0 2050960 766297 1227633  5 44 50  0  0
21  0 128512 32910900   7340 30744708    0    0     0 2024524 770597 1227045  5 44 51  0  0
22  0 128512 32404940   7340 31250984    0    0     0 296628 649513 1234858  5 42 54  0  0
 4  0 128512 31963000   7340 31691072    0    0     0 1417740 727533 1235630  5 43 52  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0 128512 31580100   7340 32072980    0    0     0 1606268 741114 1237662  4 45 51  0  0
27  0 128512 31252904   7348 32405072    0    0     0 2089120 774606 1227025  5 43 52  0  0
25  0 128512 30958064   7356 32697168    0    0     0 1998232 776680 1238661  5 44 51  0  0
24  0 128512 30703780   7360 32949148    0    0     0 1602956 749670 1241271  5 42 52  0  0
 3  0 128512 30482788   7364 33170096    0    0     4 401972 653085 1233174  5 41 54  0  0
25  0 128512 30284060   7364 33366344    0    0     0 1621472 750288 1247442  5 43 52  0  0
23  0 128512 30116108   7372 33535000    0    0     0 2014280 779780 1241758  5 44 52  0  0
29  0 128512 29970832   7384 33682040    0    0     0 2088408 790485 1243546  5 44 51  0  0
17  0 128512 29841892   7384 33809760    0    0     0 1690872 758686 1243768  5 44 51  0  0
15  0 128512 29730228   7384 33922620    0    0     0 334160 659522 1253149  5 42 53  0  0
24  0 128512 29632492   7384 34018300    0    0     0 1532448 734351 1244128  5 42 53  0  0
26  0 128512 29541348   7392 34103116    0    0     0 1424984 726201 1230817  5 43 52  0  0
24  0 128512 29473128   7404 34176776    0    0     0 1433840 734589 1244715  4 43 52  0  0
10  0 128512 29407916   7404 34240440    0    0     0 1556732 743466 1248433  5 44 51  0  0
26  0 128512 29349584   7404 34298896    0    0     0 1404620 725530 1245412  5 44 51  0  0
22  0 128512 29301500   7404 34346664    0    0     0 1530028 732576 1249248  5 43 52  0  0
24  0 128512 29257776   7412 34389816    0    0     0 2133784 772652 1244820  5 44 51  0  0
25  0 128512 29217624   7424 34428244    0    0     0 2038908 781588 1243351  5 44 51  0  0
26  0 128512 29188308   7424 34457224    0    0     0 1931004 778196 1240958  5 43 52  0  0
23  0 128512 29161904   7424 34486304    0    0     0 114776 635100 1232408  5 41 54  0  0
25  0 128512 29135780   7424 34510028    0    0     0 1454396 736466 1245839  5 43 52  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0 128512 29108464   7432 34531200    0    0     0 2025464 776561 1230514  5 44 51  0  0
24  1 128512 29088704   7444 34548984    0    0    44 2019944 775959 1230455  6 43 51  0  0
25  0 128512 29077184   7444 34564328    0    0     0 2017292 779740 1247184  5 43 52  0  0
20  0 128512 29063924   7444 34576016    0    0     0 261296 655126 1251136  5 42 54  0  0
28  0 128512 29053816   7444 34587720    0    0     0 1448728 733107 1247782  5 42 53  0  0
21  0 128512 29044164   7452 34596952    0    0     0 1935420 777407 1247069  5 44 51  0  0
23  0 128512 29035708   7464 34605608    0    0     0 1988684 788191 1248952  5 44 51  0  0
20  0 128512 29028516   7468 34611876    0    0     4 1983156 785821 1245064  5 44 51  0  0
20  0 128512 29019724   7468 34619104    0    0     0 611036 681554 1246535  5 42 53  0  0
