Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

03:43:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:43:36 AM  all    0.12    0.00    0.05    0.03    0.00    0.00    0.00    0.00    0.00   99.80
03:43:36 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM    3    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:43:36 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM    6    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:43:36 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   11    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:43:36 AM   12    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:43:36 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   35    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
03:43:36 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:43:36 AM   38    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:43:36 AM   39    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

03:43:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:43:37 AM  all    3.30    0.00   32.23    1.63    0.00    0.00    0.00    0.00    0.00   62.84
03:43:37 AM    0    3.03    0.00   31.31    2.02    0.00    0.00    0.00    0.00    0.00   63.64
03:43:37 AM    1    2.00    0.00   32.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
03:43:37 AM    2    4.00    0.00   29.00    1.00    0.00    0.00    0.00    0.00    0.00   66.00
03:43:37 AM    3    3.96    0.00   30.69    1.98    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM    4    2.97    0.00   31.68    1.98    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM    5    2.97    0.00   31.68    1.98    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM    6    2.97    0.00   33.66    1.98    0.00    0.00    0.00    0.00    0.00   61.39
03:43:37 AM    7    2.94    0.00   32.35    0.98    0.00    0.00    0.00    0.00    0.00   63.73
03:43:37 AM    8    1.98    0.00   30.69    0.99    0.00    0.00    0.00    0.00    0.00   66.34
03:43:37 AM    9    3.00    0.00   32.00    1.00    0.00    0.00    0.00    0.00    0.00   64.00
03:43:37 AM   10    3.00    0.00   32.00    1.00    0.00    0.00    0.00    0.00    0.00   64.00
03:43:37 AM   11    2.04    0.00   31.63    2.04    0.00    0.00    0.00    0.00    0.00   64.29
03:43:37 AM   12    1.98    0.00   32.67    1.98    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM   13    2.02    0.00   32.32    1.01    0.00    0.00    0.00    0.00    0.00   64.65
03:43:37 AM   14    2.00    0.00   32.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
03:43:37 AM   15    4.04    0.00   32.32    1.01    0.00    0.00    0.00    0.00    0.00   62.63
03:43:37 AM   16    3.00    0.00   34.00    1.00    0.00    0.00    0.00    0.00    0.00   62.00
03:43:37 AM   17    3.03    0.00   30.30    1.01    0.00    0.00    0.00    0.00    0.00   65.66
03:43:37 AM   18    1.01    0.00   30.30    2.02    0.00    0.00    0.00    0.00    0.00   66.67
03:43:37 AM   19    2.97    0.00   30.69    1.98    0.00    0.00    0.00    0.00    0.00   64.36
03:43:37 AM   20    3.00    0.00   31.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
03:43:37 AM   21    4.00    0.00   29.00    2.00    0.00    0.00    0.00    0.00    0.00   65.00
03:43:37 AM   22    2.97    0.00   30.69    2.97    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM   23    3.03    0.00   30.30    1.01    0.00    0.00    0.00    0.00    0.00   65.66
03:43:37 AM   24    2.04    0.00   30.61    1.02    0.00    0.00    0.00    0.00    0.00   66.33
03:43:37 AM   25    2.02    0.00   31.31    1.01    0.00    0.00    0.00    0.00    0.00   65.66
03:43:37 AM   26    3.96    0.00   30.69    1.98    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM   27    4.04    0.00   29.29    2.02    0.00    0.00    0.00    0.00    0.00   64.65
03:43:37 AM   28    2.02    0.00   31.31    1.01    0.00    0.00    0.00    0.00    0.00   65.66
03:43:37 AM   29    3.00    0.00   30.00    2.00    0.00    0.00    0.00    0.00    0.00   65.00
03:43:37 AM   30    2.97    0.00   32.67    0.99    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM   31    3.00    0.00   31.00    1.00    0.00    0.00    0.00    0.00    0.00   65.00
03:43:37 AM   32    2.04    0.00   30.61    1.02    0.00    0.00    0.00    0.00    0.00   66.33
03:43:37 AM   33    2.97    0.00   33.66    1.98    0.00    0.00    0.00    0.00    0.00   61.39
03:43:37 AM   34    4.00    0.00   32.00    2.00    0.00    0.00    0.00    0.00    0.00   62.00
03:43:37 AM   35    2.97    0.00   31.68    1.98    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM   36    2.97    0.00   31.68    1.98    0.00    0.00    0.00    0.00    0.00   63.37
03:43:37 AM   37    3.00    0.00   34.00    2.00    0.00    0.00    0.00    0.00    0.00   61.00
03:43:37 AM   38   21.00    0.00   63.00    2.00    0.00    0.00    0.00    0.00    0.00   14.00
03:43:37 AM   39    2.02    0.00   31.31    2.02    0.00    0.00    0.00    0.00    0.00   64.65

03:43:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:43:38 AM  all    3.15    0.00   91.37    2.17    0.00    0.03    0.00    0.00    0.00    3.28
03:43:38 AM    0    2.97    0.00   89.11    3.96    0.00    0.00    0.00    0.00    0.00    3.96
03:43:38 AM    1    3.06    0.00   91.84    2.04    0.00    0.00    0.00    0.00    0.00    3.06
03:43:38 AM    2    3.09    0.00   91.75    2.06    0.00    0.00    0.00    0.00    0.00    3.09
03:43:38 AM    3    5.00    0.00   89.00    3.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:38 AM    4    6.12    0.00   87.76    3.06    0.00    0.00    0.00    0.00    0.00    3.06
03:43:38 AM    5    6.19    0.00   88.66    2.06    0.00    0.00    0.00    0.00    0.00    3.09
03:43:38 AM    6    5.15    0.00   89.69    2.06    0.00    0.00    0.00    0.00    0.00    3.09
03:43:38 AM    7    4.08    0.00   88.78    3.06    0.00    1.02    0.00    0.00    0.00    3.06
03:43:38 AM    8    5.26    0.00   88.42    3.16    0.00    0.00    0.00    0.00    0.00    3.16
03:43:38 AM    9    8.16    0.00   84.69    3.06    0.00    0.00    0.00    0.00    0.00    4.08
03:43:38 AM   10    2.00    0.00   91.00    2.00    0.00    0.00    0.00    0.00    0.00    5.00
03:43:38 AM   11    1.98    0.00   94.06    0.99    0.00    0.00    0.00    0.00    0.00    2.97
03:43:38 AM   12    1.01    0.00   95.96    1.01    0.00    0.00    0.00    0.00    0.00    2.02
03:43:38 AM   13    1.00    0.00   93.00    2.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:38 AM   14    3.00    0.00   93.00    1.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:38 AM   15    2.06    0.00   92.78    2.06    0.00    0.00    0.00    0.00    0.00    3.09
03:43:38 AM   16    1.98    0.00   93.07    0.99    0.00    0.00    0.00    0.00    0.00    3.96
03:43:38 AM   17    2.04    0.00   90.82    2.04    0.00    0.00    0.00    0.00    0.00    5.10
03:43:38 AM   18    2.04    0.00   92.86    1.02    0.00    0.00    0.00    0.00    0.00    4.08
03:43:38 AM   19    2.00    0.00   95.00    1.00    0.00    0.00    0.00    0.00    0.00    2.00
03:43:38 AM   20    5.00    0.00   87.00    4.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:38 AM   21    4.95    0.00   89.11    3.96    0.00    0.00    0.00    0.00    0.00    1.98
03:43:38 AM   22    5.10    0.00   88.78    3.06    0.00    0.00    0.00    0.00    0.00    3.06
03:43:38 AM   23    2.04    0.00   91.84    3.06    0.00    0.00    0.00    0.00    0.00    3.06
03:43:38 AM   24    3.92    0.00   89.22    2.94    0.00    0.00    0.00    0.00    0.00    3.92
03:43:38 AM   25    2.97    0.00   91.09    2.97    0.00    0.00    0.00    0.00    0.00    2.97
03:43:38 AM   26    4.12    0.00   90.72    3.09    0.00    0.00    0.00    0.00    0.00    2.06
03:43:38 AM   27    3.96    0.00   89.11    2.97    0.00    0.00    0.00    0.00    0.00    3.96
03:43:38 AM   28    4.00    0.00   89.00    3.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:38 AM   29    7.07    0.00   84.85    4.04    0.00    0.00    0.00    0.00    0.00    4.04
03:43:38 AM   30    1.00    0.00   95.00    1.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:38 AM   31    2.00    0.00   95.00    1.00    0.00    0.00    0.00    0.00    0.00    2.00
03:43:38 AM   32    1.98    0.00   93.07    1.98    0.00    0.00    0.00    0.00    0.00    2.97
03:43:38 AM   33    2.02    0.00   95.96    1.01    0.00    0.00    0.00    0.00    0.00    1.01
03:43:38 AM   34    2.04    0.00   93.88    1.02    0.00    0.00    0.00    0.00    0.00    3.06
03:43:38 AM   35    1.01    0.00   95.96    1.01    0.00    0.00    0.00    0.00    0.00    2.02
03:43:38 AM   36    1.98    0.00   94.06    0.99    0.00    0.00    0.00    0.00    0.00    2.97
03:43:38 AM   37    0.00    0.00   94.00    2.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:38 AM   38    1.02    0.00   92.86    1.02    0.00    0.00    0.00    0.00    0.00    5.10
03:43:38 AM   39    2.08    0.00   92.71    1.04    0.00    0.00    0.00    0.00    0.00    4.17

03:43:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:43:39 AM  all    2.18    0.00   90.35    3.57    0.00    0.00    0.00    0.00    0.00    3.90
03:43:39 AM    0    3.06    0.00   89.80    4.08    0.00    0.00    0.00    0.00    0.00    3.06
03:43:39 AM    1    2.00    0.00   90.00    5.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:39 AM    2    0.00    0.00   93.00    4.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:39 AM    3    3.06    0.00   89.80    4.08    0.00    0.00    0.00    0.00    0.00    3.06
03:43:39 AM    4    3.96    0.00   87.13    4.95    0.00    0.00    0.00    0.00    0.00    3.96
03:43:39 AM    5    3.06    0.00   88.78    4.08    0.00    0.00    0.00    0.00    0.00    4.08
03:43:39 AM    6    3.16    0.00   88.42    5.26    0.00    0.00    0.00    0.00    0.00    3.16
03:43:39 AM    7    3.00    0.00   89.00    4.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:39 AM    8    4.21    0.00   87.37    5.26    0.00    0.00    0.00    0.00    0.00    3.16
03:43:39 AM    9    1.98    0.00   90.10    4.95    0.00    0.00    0.00    0.00    0.00    2.97
03:43:39 AM   10    1.01    0.00   93.94    2.02    0.00    0.00    0.00    0.00    0.00    3.03
03:43:39 AM   11    1.03    0.00   90.72    3.09    0.00    0.00    0.00    0.00    0.00    5.15
03:43:39 AM   12    1.04    0.00   93.75    3.12    0.00    0.00    0.00    0.00    0.00    2.08
03:43:39 AM   13    2.02    0.00   91.92    2.02    0.00    0.00    0.00    0.00    0.00    4.04
03:43:39 AM   14    0.00    0.00   93.00    3.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:39 AM   15    3.00    0.00   89.00    3.00    0.00    0.00    0.00    0.00    0.00    5.00
03:43:39 AM   16    1.02    0.00   89.80    3.06    0.00    0.00    0.00    0.00    0.00    6.12
03:43:39 AM   17    1.96    0.00   91.18    2.94    0.00    0.00    0.00    0.00    0.00    3.92
03:43:39 AM   18    1.04    0.00   92.71    2.08    0.00    0.00    0.00    0.00    0.00    4.17
03:43:39 AM   19    2.02    0.00   91.92    2.02    0.00    0.00    0.00    0.00    0.00    4.04
03:43:39 AM   20    4.00    0.00   86.00    5.00    0.00    0.00    0.00    0.00    0.00    5.00
03:43:39 AM   21    3.12    0.00   89.58    3.12    0.00    0.00    0.00    0.00    0.00    4.17
03:43:39 AM   22    1.98    0.00   91.09    3.96    0.00    0.00    0.00    0.00    0.00    2.97
03:43:39 AM   23    2.11    0.00   90.53    4.21    0.00    0.00    0.00    0.00    0.00    3.16
03:43:39 AM   24    4.08    0.00   87.76    5.10    0.00    0.00    0.00    0.00    0.00    3.06
03:43:39 AM   25    2.00    0.00   92.00    3.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:39 AM   26    3.96    0.00   87.13    3.96    0.00    0.00    0.00    0.00    0.00    4.95
03:43:39 AM   27    0.00    0.00   92.78    4.12    0.00    0.00    0.00    0.00    0.00    3.09
03:43:39 AM   28    4.30    0.00   87.10    4.30    0.00    0.00    0.00    0.00    0.00    4.30
03:43:39 AM   29    2.02    0.00   89.90    4.04    0.00    0.00    0.00    0.00    0.00    4.04
03:43:39 AM   30    1.02    0.00   90.82    3.06    0.00    0.00    0.00    0.00    0.00    5.10
03:43:39 AM   31    2.02    0.00   90.91    3.03    0.00    0.00    0.00    0.00    0.00    4.04
03:43:39 AM   32    2.02    0.00   90.91    3.03    0.00    0.00    0.00    0.00    0.00    4.04
03:43:39 AM   33    0.00    0.00   94.85    2.06    0.00    0.00    0.00    0.00    0.00    3.09
03:43:39 AM   34    2.00    0.00   91.00    3.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:39 AM   35    2.97    0.00   90.10    2.97    0.00    0.00    0.00    0.00    0.00    3.96
03:43:39 AM   36    1.98    0.00   92.08    2.97    0.00    0.00    0.00    0.00    0.00    2.97
03:43:39 AM   37    2.02    0.00   88.89    3.03    0.00    0.00    0.00    0.00    0.00    6.06
03:43:39 AM   38    2.00    0.00   89.00    4.00    0.00    0.00    0.00    0.00    0.00    5.00
03:43:39 AM   39    1.98    0.00   90.10    2.97    0.00    0.00    0.00    0.00    0.00    4.95

03:43:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:43:40 AM  all    2.26    0.00   88.61    5.10    0.00    0.05    0.00    0.00    0.00    3.98
03:43:40 AM    0    4.12    0.00   86.60    4.12    0.00    1.03    0.00    0.00    0.00    4.12
03:43:40 AM    1    1.03    0.00   88.66    6.19    0.00    0.00    0.00    0.00    0.00    4.12
03:43:40 AM    2    3.03    0.00   86.87    5.05    0.00    1.01    0.00    0.00    0.00    4.04
03:43:40 AM    3    1.03    0.00   88.66    5.15    0.00    0.00    0.00    0.00    0.00    5.15
03:43:40 AM    4    2.11    0.00   87.37    7.37    0.00    0.00    0.00    0.00    0.00    3.16
03:43:40 AM    5    2.08    0.00   88.54    6.25    0.00    0.00    0.00    0.00    0.00    3.12
03:43:40 AM    6    2.04    0.00   87.76    6.12    0.00    0.00    0.00    0.00    0.00    4.08
03:43:40 AM    7    3.03    0.00   88.89    5.05    0.00    0.00    0.00    0.00    0.00    3.03
03:43:40 AM    8    2.97    0.00   88.12    4.95    0.00    0.00    0.00    0.00    0.00    3.96
03:43:40 AM    9    4.12    0.00   85.57    6.19    0.00    0.00    0.00    0.00    0.00    4.12
03:43:40 AM   10    3.03    0.00   88.89    4.04    0.00    0.00    0.00    0.00    0.00    4.04
03:43:40 AM   11    1.00    0.00   91.00    5.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:40 AM   12    4.04    0.00   87.88    5.05    0.00    0.00    0.00    0.00    0.00    3.03
03:43:40 AM   13    2.04    0.00   89.80    5.10    0.00    0.00    0.00    0.00    0.00    3.06
03:43:40 AM   14    1.00    0.00   89.00    6.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:40 AM   15    1.02    0.00   87.76    5.10    0.00    0.00    0.00    0.00    0.00    6.12
03:43:40 AM   16    2.00    0.00   88.00    5.00    0.00    0.00    0.00    0.00    0.00    5.00
03:43:40 AM   17    0.00    0.00   90.62    4.17    0.00    0.00    0.00    0.00    0.00    5.21
03:43:40 AM   18    2.02    0.00   88.89    5.05    0.00    0.00    0.00    0.00    0.00    4.04
03:43:40 AM   19    2.00    0.00   88.00    5.00    0.00    0.00    0.00    0.00    0.00    5.00
03:43:40 AM   20    2.00    0.00   91.00    4.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:40 AM   21    0.99    0.00   89.11    5.94    0.00    0.00    0.00    0.00    0.00    3.96
03:43:40 AM   22    2.02    0.00   89.90    5.05    0.00    0.00    0.00    0.00    0.00    3.03
03:43:40 AM   23    2.02    0.00   88.89    5.05    0.00    0.00    0.00    0.00    0.00    4.04
03:43:40 AM   24    3.06    0.00   88.78    5.10    0.00    0.00    0.00    0.00    0.00    3.06
03:43:40 AM   25    2.06    0.00   90.72    5.15    0.00    0.00    0.00    0.00    0.00    2.06
03:43:40 AM   26    2.08    0.00   89.58    5.21    0.00    0.00    0.00    0.00    0.00    3.12
03:43:40 AM   27    2.97    0.00   87.13    4.95    0.00    0.00    0.00    0.00    0.00    4.95
03:43:40 AM   28    4.00    0.00   88.00    5.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:40 AM   29    2.08    0.00   87.50    6.25    0.00    0.00    0.00    0.00    0.00    4.17
03:43:40 AM   30    0.99    0.00   92.08    4.95    0.00    0.00    0.00    0.00    0.00    1.98
03:43:40 AM   31    2.04    0.00   89.80    4.08    0.00    0.00    0.00    0.00    0.00    4.08
03:43:40 AM   32    2.02    0.00   88.89    4.04    0.00    0.00    0.00    0.00    0.00    5.05
03:43:40 AM   33    2.00    0.00   89.00    4.00    0.00    0.00    0.00    0.00    0.00    5.00
03:43:40 AM   34    1.03    0.00   91.75    4.12    0.00    0.00    0.00    0.00    0.00    3.09
03:43:40 AM   35    5.94    0.00   85.15    4.95    0.00    0.00    0.00    0.00    0.00    3.96
03:43:40 AM   36    2.02    0.00   87.88    5.05    0.00    0.00    0.00    0.00    0.00    5.05
03:43:40 AM   37    1.04    0.00   89.58    4.17    0.00    0.00    0.00    0.00    0.00    5.21
03:43:40 AM   38    3.03    0.00   86.87    5.05    0.00    0.00    0.00    0.00    0.00    5.05
03:43:40 AM   39    3.03    0.00   85.86    6.06    0.00    0.00    0.00    0.00    0.00    5.05

03:43:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:43:41 AM  all    2.40    0.00   91.13    2.42    0.00    0.00    0.00    0.00    0.00    4.04
03:43:41 AM    0    1.98    0.00   91.09    2.97    0.00    0.00    0.00    0.00    0.00    3.96
03:43:41 AM    1    3.03    0.00   90.91    3.03    0.00    0.00    0.00    0.00    0.00    3.03
03:43:41 AM    2    3.92    0.00   90.20    2.94    0.00    0.00    0.00    0.00    0.00    2.94
03:43:41 AM    3    3.06    0.00   90.82    3.06    0.00    0.00    0.00    0.00    0.00    3.06
03:43:41 AM    4    3.06    0.00   89.80    3.06    0.00    0.00    0.00    0.00    0.00    4.08
03:43:41 AM    5    3.00    0.00   92.00    2.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:41 AM    6    5.10    0.00   89.80    2.04    0.00    0.00    0.00    0.00    0.00    3.06
03:43:41 AM    7    2.00    0.00   92.00    2.00    0.00    0.00    0.00    0.00    0.00    4.00
03:43:41 AM    8    2.04    0.00   92.86    2.04    0.00    0.00    0.00    0.00    0.00    3.06
03:43:41 AM    9    6.06    0.00   87.88    3.03    0.00    0.00    0.00    0.00    0.00    3.03
03:43:41 AM   10    1.03    0.00   92.78    2.06    0.00    0.00    0.00    0.00    0.00    4.12
03:43:41 AM   11    1.02    0.00   93.88    2.04    0.00    0.00    0.00    0.00    0.00    3.06
03:43:41 AM   12    2.00    0.00   93.00    2.00    0.00    0.00    0.00    0.00    0.00    3.00
03:43:41 AM   13    1.01    0.00   92.93    2.02    0.00    0.00    0.00    0.00    0.00    4.04
03:43:41 AM   14    1.03    0.00   91.75    2.06    0.00    0.00    0.00    0.00    0.00    5.15
03:43:41 AM   15    1.03    0.00   93.81    2.06    0.00    0.00    0.00    0.00    0.00    3.09
03:43:41 AM   16    1.02    0.00   91.84    2.04    0.00    0.00    0.00    0.00    0.00    5.10
03:43:41 AM   17    4.00    0.00   88.00    3.00    0.00    0.00    0.00    0.00    0.00    5.00
03:43:41 AM   18    1.02    0.00   90.82    2.04    0.00    0.00    0.00    0.00    0.00    6.12
03:43:41 AM   19    1.02    0.00   91.84    3.06    0.00    0.00    0.00    0.00    0.00    4.08
03:43:41 AM   20    4.04    0.00   87.88    4.04    0.00    0.00    0.00    0.00    0.00    4.04
03:43:41 AM   21    1.96    0.00   92.16    1.96    0.00    0.00    0.00    0.00    0.00    3.92
03:43:41 AM   22    2.04    0.00   90.82    3.06    0.00    0.00    0.00    0.00    0.00    4.08
