procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 126464 63478068   3928 173960    0    0   225   740    0    2  1  1 98  0  0
 1  1 126464 63474732   4716 174904    0    0  2132     0  583  761  0  0 100  0  0
80  7 126464 61645036   7428 2007596    0    0 729168    48 17489 17559  3 32 63  2  0
66  4 126464 57214376   7436 6432612    0    0 2209924   244 44429 44639  3 91  3  2  0
59  9 126464 52535196   7436 11115912    0    0 2337152     0 45185 49657  2 90  4  4  0
61 17 126464 47708592   7436 15945504    0    0 2409856     0 46869 54673  2 89  4  5  0
75  8 126464 43038384   7436 20612460    0    0 2328704     0 44830 49106  2 91  4  2  0
54 32 126464 38039412   7444 25613664    0    0 2491516    20 49375 61514  2 86  4  8  0
57 19 126464 33300756   7452 30353472    0    0 2365568    20 46280 54711  2 89  4  5  0
50 32 126464 28367064   7456 35288080    0    0 2460292    40 48581 60189  2 87  4  6  0
53 34 126464 23337164   7456 40321644    0    0 2510976     0 49236 64807  2 79  3 16  0
38 45 126464 18371192   7456 45284668    0    0 2475008     0 49402 63362  3 85  4  9  0
58 29 126464 13075408   7464 50580228    0    0 2643712    20 51601 71603  3 66  2 28  0
54 27 126464 7822464   7464 55833568    0    0 2621056     0 51574 70610  3 70  2 24  0
78  1 126464 2000804   7464 61650992    0    0 2901504     0 53274 79576  1 48  3 48  0
82  3 126464 673780   7264 63012316    0    0 2136196    48 42772 46466  2 91  5  3  0
59  2 126464 472588   7256 63216044    0    0 2037892     0 42063 47703  3 88  5  4  0
51  2 126464 414724   7264 63271708    0    0 2140160    40 44116 52539  2 88  5  6  0
54 26 126464 634832   7264 63062924    0    0 2238720     0 45434 56417  2 85  6  7  0
64 17 126464 387980   7264 63306580    0    0 2151680     0 43666 52490  2 86  6  6  0
36 54 126464 377440   7264 63322180    0    0 2255616    48 46774 62129  2 81  5 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
49 33 126464 623828   7264 62966812    0    0 2195584     0 44899 57806  2 83  6  9  0
57 14 126464 663684   7272 63032940    0    0 2206592    20 46072 59858  2 84  5 10  0
62 30 126464 378176   7272 63317236    0    0 2327360     0 48537 64996  2 79  4 15  0
48 27 126464 539164   7272 63153868    0    0 2283528     0 48261 65514  1 80  4 14  0
19 70 126464 687184   7268 63012052    0    0 2332288     0 48139 67551  3 71  3 23  0
51 28 126464 609972   7272 63093264    0    0 2455028    36 50473 72789  2 66  3 29  0
16 70 126464 392324   7420 63304556    0    0 2465544    40 50796 72643  3 66  3 28  0
31 44 126464 656960   7336 63037536    0    0 2813568     0 53486 82059  1 50  4 45  0
76  1 126464 534936   7336 63156300    0    0 1976576     0 40684 45382  2 88  5  4  0
58  5 126464 388816   7336 63298556    0    0 2133120     0 43904 52188  2 87  5  6  0
66  8 126464 509648   7336 63185728    0    0 2095616    40 43103 52169  2 86  5  7  0
61  6 126464 469632   7348 63222936    0    0 2251268    32 46236 59978  2 82  4 11  0
50  4 126464 510192   7348 63182604    0    0 2164356     0 44338 53249  2 88  5  5  0
57 20 126464 810448   7344 62889672    0    0 2258940     0 46938 63433  1 79  4 15  0
72  5 126464 630664   7344 63066808    0    0 2177000     0 45018 56400  2 86  6  7  0
44 39 126464 415852   7348 63282444    0    0 2289180    36 47798 64453  1 80  4 14  0
55 28 126464 890888   7360 62809656    0    0 2228636    36 46984 62793  3 79  4 14  0
47 16 126464 568792   7360 63122384    0    0 2232932     0 46777 63397  2 78  3 17  0
41 45 126464 462460   7356 63235436    0    0 2414336     0 48978 70144  3 68  3 26  0
