procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 126464 63467992   6664 173300    0    0   236   740    0    2  1  1 98  0  0
 6  0 126464 63464268   6800 173716    0    0   184     0  537  692  0  0 100  0  0
62  1 126464 59767768   7716 3886508    0    0 16164   244 21476 45605  3 31 66  0  0
47  1 126464 48705272   7720 14945164    0    0     0 208420 60168 133084  1 88 11  0  0
49  7 126464 38499964   7720 25150416    0    0     0 2258084 59182 143550  1 80 15  3  0
15 19 126464 33007552   7720 30634676    0    0     0 2113584 32811 65957  1 35 42 22  0
22 18 126464 28196056   7720 35442764    0    0     0 2087004 28976 58519  0 26 42 31  0
10 22 126464 23415520   7736 40220736    0    0     4 2114188 29565 58672  0 32 37 31  0
 5 23 126464 18817088   7740 44814092    0    0     0 2044712 28138 56447  0 25 43 31  0
17 18 126464 14282988   7740 49339804    0    0     0 2507156 28914 55895  0 26 41 33  0
 3 26 126464 9601200   7740 54021360    0    0     0 2124688 28366 57240  0 25 43 31  0
14 21 126464 5135616   7740 58475828    0    0     0 2066016 27293 54839  0 25 42 33  0
24 19 126464 583508   7756 62999176    0    0   112 2217988 27977 56294  0 26 42 31  0
26 16 126464 398148   8076 63215456    0    0  1576 1978680 27950 55067  0 29 42 29  0
12 23 126464 433960   8084 63198888    0    0     8 2141788 27698 53492  0 29 42 29  0
12 16 126464 424632   8084 63213576    0    0     4 2127756 27888 54209  0 29 42 29  0
18 20 126464 355520   8084 63289316    0    0     0 2045044 26499 60123  0 28 40 32  0
 2 29 126464 482728   8100 63173340    0    0     0 2141232 27545 54332  0 34 36 30  0
 8 30 126464 467664   8100 63177540    0    0     4 2140816 27241 52604  0 28 38 34  0
 9 26 126464 414644   8100 63240460    0    0   560 2068512 27323 52047  0 27 38 35  0
16 24 126464 482752   8100 63171456    0    0     0 2091084 27112 52304  0 28 37 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23 21 126464 467460   8100 63188688    0    0     0 2250716 27055 53563  0 28 37 34  0
12 22 126464 438320   8116 63220876    0    0     0 2098396 27215 52053  0 31 36 33  0
10 26 126464 420908   8116 63236348    0    0     0 2103460 27145 52705  0 28 38 33  0
 7 21 126464 489740   8116 63170776    0    0     0 2189088 26405 51217  0 26 40 34  0
 8 25 126464 496484   8120 63160012    0    0     4 2032772 26823 56539  0 27 39 34  0
 6 26 126464 409976   8124 63246688    0    0     0 2119192 26692 52571  0 26 39 35  0
 4 26 126464 475900   8144 63179016    0    0     0 2192064 27746 57875  0 34 34 32  0
 5 25 126464 437988   8144 63209724    0    0     0 2059632 26909 51659  0 30 34 36  0
