procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  52480 63283460   4672 201880    0    0   220   735    1    2  1  1 98  0  0
 5  0  52480 63282668   5480 202700    0    0  1944   256  695  896  0  0 100  0  0
18 45  52480 62120532   8292 1448060    0    0 385944     0 273029 609328  5  8 67 19  0
17 49  52480 59603808   8292 3973336    0    0 1152220     0 841897 1901181  3 22 13 61  0
15 50  52480 57200792   8292 6372932    0    0 1140484     0 832950 1882521  3 22 14 61  0
19 42  52480 54853996   8292 8717744    0    0 1137308     0 833467 1875778  3 22 14 61  0
14 49  52480 52504472   8300 11068596    0    0 1154440   104 848704 1902290  3 22 13 61  0
11 50  52480 50304584   8300 13268008    0    0 1091020     0 793782 1792199  8 21 13 58  0
14 49  52480 48012608   8300 15561168    0    0 1141836     0 829861 1875031  3 22 14 61  0
13 49  52480 45731384   8300 17844664    0    0 1141320     0 826975 1865110  6 22 13 59  0
 9 55  52480 43463636   8300 20108004    0    0 1136284     0 821068 1851923  6 22 14 59  0
22 41  52480 41137276   8312 22438152    0    0 1169712    84 843842 1905691  3 22 14 61  0
11 54  52480 38787272   8312 24787028    0    0 1182440     0 853372 1928151  3 23 14 60  0
18 45  52480 36490304   8312 27083060    0    0 1158460     0 832551 1882269  5 22 14 60  0
25 39  52480 34172192   8312 29402268    0    0 1170524     0 837536 1887671  3 23 14 60  0
17 44  52480 31816016   8312 31755720    0    0 1192892     0 848743 1915342  3 22 14 61  0
15 47  52480 29500388   8324 34073560    0    0 1175072    64 833741 1880035  3 22 14 61  0
15 48  52480 27208712   8584 36364624    0    0 1165644     0 822350 1854342  3 22 14 61  0
18 43  52480 24898628   8584 38673092    0    0 1178532     0 828074 1867560  3 22 14 61  0
14 45  52480 22697180   8584 40875108    0    0 1126360     0 788245 1773808  7 21 14 59  0
18 46  52480 20407256   8584 43166316    0    0 1173704     0 815289 1834310  3 22 14 61  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15 47  52480 18090620   8592 45484204    0    0 1191856    20 823407 1852525  3 22 14 61  0
12 49  52480 15876896   8600 47696904    0    0 1141212    48 790243 1770643  7 21 14 58  0
19 46  52480 13587488   8600 49987304    0    0 1185504     0 813078 1832332  3 22 14 61  0
19 46  52480 11302100   8600 52271344    0    0 1185716     0 804287 1801632  6 21 13 60  0
15 49  52480 9009404   8600 54564000    0    0 1194492     0 804642 1804919  3 22 14 61  0
12 51  52480 6708152   8608 56865980    0    0 1203140    32 805618 1805110  3 21 14 61  0
13 49  52480 4423268   8608 59151876    0    0 1198808     0 796639 1784518  6 21 14 60  0
11 51  52480 2120492   8608 61454140    0    0 1213880    48 798861 1784343  3 21 14 61  0
13 45  52992 399912   8080 63190156    0  488 1122508   488 735902 1644428  3 20 17 60  0
13 42  53760 464780   8080 63135932    0  892 885540   892 579625 1307590  2 17 24 56  0
17 46  53760 423920   8088 63178552    0   36 866900    64 566799 1279477  4 17 24 55  0
17 46  54272 458080   8088 63152160    0  364 872124   364 566531 1272747  3 17 24 55  0
16 45  54272 409136   8088 63214036    0   56 901688    56 586475 1320830  2 18 24 56  0
20 42  54528 478872   8088 63145608    0  252 874312   292 565871 1275569  2 17 25 56  0
11 36  57344 417912   8088 63209752    0 2752 890972  2752 574639 1294648  2 18 24 56  0
21 41  60672 458500   8096 63171956    0 3136 878920  3164 567449 1278800  2 18 24 56  0
17 41  60672 508892   8096 63121700    0  132 884948   132 570189 1285868  2 18 25 55  0
 7 33  60672 422000   8096 63209524    0    4 911448     4 584681 1319902  2 19 24 55  0
18 41  60672 435300   8096 63198624    0  148 886908   148 567872 1280107  2 18 24 56  0
20 43  62720 472968   8084 63159408    0 2216 891192  2256 569440 1285579  2 18 25 56  0
 3 33  62720 493924   8092 63139396    0    8 893400    32 570791 1286529  2 19 24 55  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20 44  63744 405860   8092 63224924    0 1024 892692  1024 569611 1282379  2 18 24 55  0
 5 33  65536 498864   8092 63132712    0 1848 861328  1848 549029 1234685  2 17 24 56  0
19 43  67328 398132   8092 63242756    0 1596 900888  1596 568360 1274079  4 18 23 55  0
10 49  69632 478324   8092 63161300    0 1776 870332  1776 551977 1240824  2 18 25 55  0
 5 35  70912 416744   8104 63227332    0 1812 897936  1896 568517 1278862  2 18 24 55  0
15 43  75264 415268   8104 63231916    0 3948 899340  3948 568837 1281072  2 19 24 55  0
 3 38  79360 443212   8104 63207024    0 3976 871284  3976 547559 1223220  5 18 23 54  0
16 50  83200 426052   8104 63228936    0 3852 901624  3852 567103 1272477  2 18 24 55  0
18 46  87296 486548   8104 63172000    0 4280 895412  4280 564510 1271083  2 19 24 55  0
13 49  90368 425028   8112 63237488    0 3224 893060  3236 566105 1271407  2 18 24 55  0
 8 32  93440 474168   8112 63187736    0 3088 886000  3140 558839 1253829  2 18 25 55  0
22 43  96768 429332   8112 63238512    0 3472 909672  3472 572408 1287435  3 18 24 55  0
17 47 100864 445724   8112 63227208    0 3732 890616  3732 560488 1258555  2 18 24 55  0
10 52 104448 456560   8112 63221916    0 3784 900616  3784 568309 1280342  2 19 24 55  0
24 43 108288 411572   2740 63263952    0 3556 953260  3580 601897 1354605  8 22 20 50  0
20 43 109824 466520   2604 63212852    0 1808 837300  1808 527544 1178851  3 17 25 54  0
16 46 113408 459176   2604 63228128    0 3404 873148  3444 549565 1231808  2 18 25 55  0
15 40 116224 397728   2604 63292180    0 3448 899568  3448 566558 1273369  2 19 24 55  0
 5 36 120320 425236   2604 63267588    0 3576 861760  3576 546943 1229145  3 18 25 54  0
18 37 124160 486668   2612 63210280    0 3968 855732  4004 543080 1221860  2 18 26 54  0
