Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

03:42:05 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:42:06 AM  all    0.07    0.00    0.20    0.02    0.00    0.00    0.00    0.00    0.00   99.70
03:42:06 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM    1    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:42:06 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM    3    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:42:06 AM    4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:42:06 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM    8    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:42:06 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   15    0.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
03:42:06 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   22    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:42:06 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   27    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:42:06 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:42:06 AM   38    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:42:06 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:42:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:42:07 AM  all    4.38    0.00   27.35    0.13    0.00    0.00    0.00    0.00    0.00   68.14
03:42:07 AM    0    3.06    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   71.43
03:42:07 AM    1    6.12    0.00   24.49    1.02    0.00    0.00    0.00    0.00    0.00   68.37
03:42:07 AM    2    3.06    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   71.43
03:42:07 AM    3    3.12    0.00   19.79    0.00    0.00    0.00    0.00    0.00    0.00   77.08
03:42:07 AM    4    4.21    0.00   12.63    0.00    0.00    0.00    0.00    0.00    0.00   83.16
03:42:07 AM    5    5.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00   69.00
03:42:07 AM    6    3.09    0.00   24.74    0.00    0.00    0.00    0.00    0.00    0.00   72.16
03:42:07 AM    7    4.08    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   71.43
03:42:07 AM    8    5.21    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   82.29
03:42:07 AM    9    4.21    0.00   12.63    1.05    0.00    0.00    0.00    0.00    0.00   82.11
03:42:07 AM   10    1.00    0.00   34.00    0.00    0.00    0.00    0.00    0.00    0.00   65.00
03:42:07 AM   11    6.93    0.00   29.70    0.00    0.00    0.00    0.00    0.00    0.00   63.37
03:42:07 AM   12    4.95    0.00   31.68    0.00    0.00    0.00    0.00    0.00    0.00   63.37
03:42:07 AM   13    5.00    0.00   31.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   14    4.00    0.00   32.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   15   19.80    0.00   66.34    0.99    0.00    0.00    0.00    0.00    0.00   12.87
03:42:07 AM   16    1.01    0.00   34.34    0.00    0.00    0.00    0.00    0.00    0.00   64.65
03:42:07 AM   17    4.00    0.00   32.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   18    4.00    0.00   32.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   19    2.94    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   63.73
03:42:07 AM   20    3.96    0.00   23.76    0.00    0.00    0.00    0.00    0.00    0.00   72.28
03:42:07 AM   21    3.06    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   73.47
03:42:07 AM   22    6.93    0.00   24.75    0.00    0.00    0.00    0.00    0.00    0.00   68.32
03:42:07 AM   23    3.03    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   74.75
03:42:07 AM   24    5.00    0.00   18.00    0.00    0.00    0.00    0.00    0.00    0.00   77.00
03:42:07 AM   25    4.95    0.00   21.78    0.99    0.00    0.00    0.00    0.00    0.00   72.28
03:42:07 AM   26    4.00    0.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
03:42:07 AM   27    3.92    0.00   24.51    0.00    0.00    0.00    0.00    0.00    0.00   71.57
03:42:07 AM   28    5.05    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   82.83
03:42:07 AM   29    4.04    0.00   13.13    0.00    0.00    0.00    0.00    0.00    0.00   82.83
03:42:07 AM   30    4.08    0.00   30.61    1.02    0.00    0.00    0.00    0.00    0.00   64.29
03:42:07 AM   31    3.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   32    4.00    0.00   32.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   33    3.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   34    4.95    0.00   31.68    0.00    0.00    0.00    0.00    0.00    0.00   63.37
03:42:07 AM   35    3.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   36    4.00    0.00   31.00    0.00    0.00    0.00    0.00    0.00    0.00   65.00
03:42:07 AM   37    4.00    0.00   31.00    0.00    0.00    0.00    0.00    0.00    0.00   65.00
03:42:07 AM   38    3.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
03:42:07 AM   39    3.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00

03:42:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:42:08 AM  all    6.29    0.00   80.32    0.00    0.00    0.00    0.00    0.00    0.00   13.39
03:42:08 AM    0    8.51    0.00   71.28    0.00    0.00    0.00    0.00    0.00    0.00   20.21
03:42:08 AM    1    5.10    0.00   70.41    0.00    0.00    0.00    0.00    0.00    0.00   24.49
03:42:08 AM    2    6.19    0.00   76.29    0.00    0.00    0.00    0.00    0.00    0.00   17.53
03:42:08 AM    3    5.26    0.00   81.05    0.00    0.00    0.00    0.00    0.00    0.00   13.68
03:42:08 AM    4    6.06    0.00   70.71    0.00    0.00    0.00    0.00    0.00    0.00   23.23
03:42:08 AM    5    6.12    0.00   70.41    0.00    0.00    0.00    0.00    0.00    0.00   23.47
