procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 126464 63481692   3772 187036    0    0   225   735    1    3  1  1 98  0  0
 3  1 126464 63472132   5360 190276    0    0  5104   188  777 1001  0  0 100  0  0
54  2 126464 60654604   7456 2996672    0    0 18568    56 274039 885087  4 27 68  0  0
50  0 126464 53428252   7460 10224436    0    0     0     4 925880 2635463  6 80 13  0  0
47  0 126464 48110304   7460 15555404    0    0     0 481392 803071 2090540  5 77 18  0  0
45  0 126464 46656976   7460 17005564    0    0     0 1195996 407898 681214  0 70 30  0  0
43  0 126464 44525396   7460 19137168    0    0     0 1099904 501614 920442  1 70 29  0  0
 4  1 126464 42371504   7480 21298704    0    0     4 1058404 491144 972133  1 70 29  0  0
53  0 126464 40265660   7480 23398096    0    0     0 1160316 521422 977447  1 69 30  0  0
37  0 126464 38218472   7480 25443144    0    0     0 1148820 496421 1250886  1 69 30  0  0
37  0 126464 36950404   7480 26716588    0    0     0 1374064 428335 2814031  0 64 35  0  0
57  1 126464 35659576   7480 27997524    0    0     0 1352708 424396 3292384  0 60 40  0  0
50  0 126464 33942144   7496 29711196    0    0    44 1274956 477260 4202113  1 61 37  0  0
35  0 126464 29464156   7496 34193508    0    0     0 517780 749766 2965077  4 74 22  0  0
35  0 126464 27326968   7496 36336416    0    0     0 1109136 519706 3867423  2 62 36  0  0
10  0 126464 26064616   7496 37592616    0    0     0 1309932 426037 3863333  0 60 40  0  0
35  0 126464 24855268   7496 38805156    0    0     0 1339616 425436 3895208  0 59 41  0  0
35  0 126464 23692204   7512 39962920    0    0     0 1338752 420966 3836576  0 60 40  0  0
42  0 126464 22364848   7512 41292776    0    0     0 1299348 444179 5116882  0 60 40  0  0
49  0 126464 19777828   7512 43868272    0    0     0 940084 558414 4336503  2 62 36  0  0
35  0 126464 15676556   7512 47976948    0    0     0 542560 696680 4072612  4 63 33  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 126464 14468300   7512 49188080    0    0     0 1296216 419492 4268513  0 60 40  0  0
 3  0 126464 11541392   7528 52111180    0    0     0 831056 611206 3583132  3 63 34  0  0
46  0 126464 9756488   7528 53892320    0    0     0 1172404 500391 3315834  1 63 36  0  0
35  0 126464 7750448   7528 55883452    0    0     0 1089116 515914 4040822  1 63 35  0  0
47  0 126464 5928236   7532 57709016    0    0     0 1173296 508215 3713000  1 67 32  0  0
41  0 126464 4636244   7532 58998300    0    0     0 1355296 459282 3289229  0 70 30  0  0
37  0 126464 3254484   7552 60384752    0    0     0 1308404 461681 3860440  1 67 32  0  0
36  0 126464 1992700   7552 61635700    0    0     0 1329000 436940 4073243  0 66 34  0  0
37  0 126464 668664   7552 62940800    0    0     0 1282084 442300 4162724  0 65 35  0  0
58  0 126464 459480   7488 63175664    0    0     0 691108 414863 3508059  1 64 35  0  0
51  0 126464 448320   7488 63197044    0    0     0     0 426037 2952994  3 64 33  0  0
14  0 126464 414340   7508 63240820    0    0   584 838264 424425 3583935  1 65 34  0  0
 4  0 126464 430828   7508 63225372    0    0     0 881996 414367 4061803  1 61 38  0  0
35  0 126464 434656   7508 63221032    0    0     0 854640 404424 3407451  1 61 37  0  0
43  0 126464 461980   7508 63192464    0    0     0 907732 410614 3168858  1 61 38  0  0
38  0 126464 462416   7508 63190396    0    0     0 980572 415547 3335976  1 66 33  0  0
38  0 126464 461408   7528 63189604    0    0     0 1014252 416504 3359064  1 64 35  0  0
35  0 126464 415692   7528 63236316    0    0     0 1312708 412735 3116689  0 69 31  0  0
36  0 126464 417444   7528 63234460    0    0     0 1294328 391992 3683592  0 65 34  0  0
62  0 126464 438404   7528 63217792    0    0     0 1314500 442213 2818123  0 69 30  0  0
52  0 126464 428380   7528 63226352    0    0     4 1327728 417199 2882206  0 68 31  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 126464 419024   7548 63242388    0    0     0 351400 413390 3150881  2 63 35  0  0
45  0 126464 461132   7548 63198736    0    0     0     0 420699 3655210  3 60 37  0  0
38  0 126464 428176   7548 63229600    0    0     0 1069424 410229 3841539  1 60 40  0  0
40  0 126464 471324   7560 63190640    0    0     8 1329972 400512 4494091  0 59 41  0  0
52  0 126464 431828   7560 63229948    0    0     0 1262152 413988 4341192  0 61 39  0  0
35  0 126464 439464   7580 63218920    0    0     0 1325544 420289 4601328  0 57 42  0  0
36  0 126464 451900   7580 63206220    0    0     0 1251964 410157 5422681  0 58 41  0  0
58  0 126464 455016   7580 63203668    0    0     0     0 417708 3384723  3 60 37  0  0
35  0 126464 470204   7580 63189640    0    0     0    44 417659 3473937  3 59 38  0  0
42  0 126464 431876   7580 63225348    0    0     0 1254796 420790 2649728  0 67 32  0  0
39  0 126464 435040   7600 63219100    0    0     0 1355996 423249 2198844  0 71 28  0  0
35  0 126464 407200   7600 63248568    0    0     0 236680 418630 3174476  2 62 36  0  0
28  0 126464 417212   7600 63241412    0    0     0 917560 428286 3304463  1 62 37  0  0
13  0 126464 444084   7600 63215624    0    0     0 1007400 426809 4363767  1 62 37  0  0
34  0 126464 475524   7720 63183872    0    0   120 1205636 408415 2780146  0 66 33  0  0
 7  0 126464 408456   7740 63251944    0    0     0 1272848 405925 3255134  0 66 33  0  0
35  0 126464 448952   7740 63208788    0    0     0 1314716 410815 2986065  0 68 32  0  0
50  0 126464 481264   7740 63176812    0    0     0 1344908 407768 2739358  0 68 32  0  0
59  0 126464 444484   7740 63213620    0    0     0 1106416 418943 2830359  1 66 33  0  0
52  0 126464 476332   7740 63182864    0    0     0    40 419266 3248202  3 61 36  0  0
 1 31 126464 496556   7752 63168880    4    0     4 402280 448250 2312207  2 45 37 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 31 126464 496556   7760 63168884    0    0     0 1120448 515923 757851  0 16 39 45  0
 1 31 126464 496068   7760 63168888    0    0     0 1079116 497641 729949  0 21 36 43  0
 0 28 126464 495060   7760 63168892    0    0     0 1085992 498415 731282  0 17 43 40  0
 1 15 126464 493560   7760 63168900    0    0     0 1092964 499214 735423  0 12 57 32  0
