procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 178176 63187644   5372 369356    0    0   306   899    1    1  1  1 97  1  0
 7  0 178176 63173592   7584 376608    0    0  7980     0 2297 2435  0  0 99  0  0
40  0 178176 61545724   8644 2056156    0    0 15148    68 20264 451832  4 33 63  0  0
43  0 178176 58811448   8644 4796240    0    0     0     0 41888 998771  4 83 13  0  0
46  0 178176 56142528   8644 7465836    0    0     0     0 42885 1011018  4 83 13  0  0
43  0 178176 53541520   8644 10069224    0    0     0     0 43447 1013753  4 82 13  0  0
45  0 178176 51001040   8648 12608220    0    0     4 24628 42700 989758  4 82 14  0  0
48  0 178176 48387368   8672 15215560    0    0     8 834124 152932 1047945  4 83 12  1  0
61  0 178176 45741636   8676 17862336    0    0     4 1301036 272087 1068843  4 81 15  0  0
44  0 178176 43101568   8680 20504160    0    0     4 1437808 284905 1086475  4 80 16  0  0
47  0 178176 40615520   8680 22989876    0    0     0 1266020 239666 1032754  4 84 12  0  0
43  0 178176 38126328   8696 25477960    0    0    12 1512556 236821 1046946  4 83 11  1  0
47  0 178176 35680980   8712 27919760    0    0     0 1395716 277636 1042540  4 84 12  0  0
41  0 178176 33240352   8712 30356104    0    0     0 1225880 227291 1050560  4 82 14  0  0
42  0 178176 30886412   8712 32710336    0    0     0 1143628 201531 1023077  4 84 12  0  0
40  0 178176 28516644   8712 35080052    0    0     0 1293712 250872 1042956  4 84 12  0  0
42  0 178176 26166204   8720 37429712    0    0     8 1275176 158751 1051722  4 80 16  0  0
47  0 178176 23840100   9548 39749556    0    0  3228 1140608 162553 1046687  5 82 13  0  0
44  0 178176 21580668   9552 42007628    0    0     4 1095160 154112 1020325  5 83 13  0  0
42  0 178176 19363196   9552 44217800    0    0     0 1032396 142560 1013609  5 84 11  0  0
44  0 178176 17052424   9556 46527392    0    0     4 1102380 155328 1057910  5 81 15  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
44  0 178176 14776536   9556 48801672    0    0     0 1161128 165742 1059911  5 80 15  0  0
41  0 178176 12578984   9580 50997728    0    0     4 1208200 178312 1033659  5 82 14  0  0
47  0 178176 10422724   9584 53144756    0    0     4 1114912 154352 1027577  5 83 12  0  0
42  0 178176 8281180   9584 55285636    0    0     0 1123536 156294 1025462  5 84 11  0  0
42  0 178176 6124608   9588 57439400    0    0     4 1144216 167395 1040229  5 82 13  0  0
43  0 178176 3938468   9588 59621592    0    0     0 1160932 169741 1056322  5 81 14  0  0
45  0 178176 1869484   9608 61696224    0    0     4 1122732 163577 1034138  5 82 13  0  0
45  0 178176 478008   8740 63093548    0    0     0 1036612 119184 996724  4 84 11  0  0
41  0 178176 480976   8740 63120956    0    0     4 997792 119090 1053799  4 77 19  0  0
44  0 178176 446248   8744 63189932    0    0     4 1186348 159952 1309204  4 66 30  0  0
42  0 178176 476424   8748 63159672    0    0     4 1217196 171068 1430010  5 64 31  1  0
44  2 178176 390860   8764 63237668    0    0     0 1045872 119828 1129528  4 73 23  1  0
49  0 178176 409360   8768 63223704    0    0   596 1175316 166030 1340216  5 70 24  1  0
45  7 178176 586248   8768 63052852    0    0     0 1157856 157531 1414032  4 74 19  3  0
37 10 178176 476724   8992 63153012    0    0   156 1636864 327716 1341911  5 40 48  8  0
23 15 178176 489016   8996 63141264    0    0     4 1622888 334784 1233573  4 39 49  8  0
34 15 178176 416488   9004 63209428    0    0     0 1640672 353762 1375753  4 41 47  7  0
49  0 178176 448728   9008 63171196    0    0     4 1471972 277153 1276180  4 57 36  3  0
42  0 178176 399848   9008 63218720    0    0     0 1308696 204258 1002886  4 82 14  0  0
40  0 178176 718140   9024 62891244    0    0     4 1312880 197399 1055410  4 78 18  0  0
48  0 178176 398296   9024 63231848    0    0     0 1144260 136051 1014275  4 83 14  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
47  0 178176 416168   9036 63212388    0    0     4 1069344 118711 1024943  3 80 16  0  0
46  4 178176 371484   9036 63260584    0    0     0 1101424 129753 1189366  4 74 21  2  0
47  1 178176 416228   9040 63214096    0    0     4 1111256 125546 1158088  4 76 18  1  0
40  1 178176 413392   9052 63215628    0    0     0 1096284 129099 1161517  4 75 19  1  0
33 15 178176 424400   9056 63214232    0    0     4 1224440 163393 1458478  5 68 24  3  0
23 18 178176 475308   9068 63155276    0    0     4 1649372 369284 1206063  5 40 47  8  0
27 12 178176 485148   9072 63144196    0    0     4 1679372 351340 1280154  4 39 48  8  0
21 19 178176 457124   9160 63167312    0    0    16 1647696 352448 1203276  4 39 49  8  0
 9 18 178176 432244   9160 63198548    0    0     0 1542880 312769 1378916  5 43 45  6  0
33 13 178176 429424   9164 63199592    0    0     4 1709880 370390 1543062  5 42 46  7  0
47 10 178176 566436   9176 63061064    0    0     4 1582524 334147 1637961  5 42 47  6  0
50  0 178176 403448   9176 63220616    0    0     0 1201764 154672 1288773  4 68 26  1  0
43  0 178176 447512   9192 63182600    0    0    48 1125656 128895 1228445  4 69 25  2  0
41  0 178176 392752   9192 63224216    0    0    12 1119760 144451 1201171  4 74 20  2  0
45  1 178176 394056   9196 63235388    0    0     4 1139304 138541 1159108  4 76 18  2  0
47  5 178176 582668   9212 63050796    0    0     4 1194740 155747 1308375  5 73 19  3  0
32 16 178176 411148   9212 63215000    0    0     0 1377868 255316 1297654  5 53 35  7  0
 9 15 178176 484184   9224 63135948    0    0     4 1712176 344901 1006244  5 36 51  9  0
20 17 178176 450544   9304 63166052    0    0     8 1588596 318387 1236837  4 41 48  6  0
20 13 178176 459000   9308 63160028    0    0     4 1715644 342509 1182204  4 39 50  7  0
58  1 178176 465652   9468 63144084    0    0   648 1792644 447949 1301653  3 36 46 14  0
