procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 118784 63241392   4528 283348    0    0   240   777    3    2  1  1 98  0  0
 5  0 118784 63232660   6736 291060    0    0  8024     0 2253 2505  0  0 99  0  0
84  4 118784 61090268   7404 2445744    0    0 887640    88 19579 18704  3 40 56  1  0
76  5 118784 56701088   7408 6833740    0    0 2191996   272 42336 42100  3 93  3  1  0
73  3 118784 52096532   7408 11441436    0    0 2298872     0 44009 46422  2 92  4  2  0
67  4 118784 47411892   7408 16126020    0    0 2336512     0 44753 47925  2 92  4  2  0
74  3 118784 42679132   7408 20860168    0    0 2361852     0 45590 50749  2 91  4  2  0
70 12 118784 37921468   7424 25614076    0    0 2374272    40 45971 52362  2 90  4  3  0
62 13 118784 33219640   7424 30318196    0    0 2343420     0 45582 52462  4 89  4  3  0
32  0 118784 36950296   7428 26612232    0    0 2021372    36 42600 51804  2 86  7  5  0
73  1 118784 43635432   7428 20046388    0    0     0     0 26534 42128  1 90  9  0  0
71  2 118784 40672056   7428 22999236    0    0     0     0 28815 47582  2 93  4  0  0
77  5 118784 37597680   7436 26073004    0    0     0    20 29113 48693  1 94  5  0  0
65  1 118784 34573528   7436 29092352    0    0     0     0 29164 48620  2 94  4  0  0
70  0 118784 31513036   9056 32152264    0    0  2152     0 29442 49014  2 93  5  0  0
44  0 118784 43362716   9208 20229508    0    0   152    48 26520 42790  1 86 13  0  0
64  2 118784 42680156   9208 21001432    0    0     0     0 29986 50182  2 91  6  1  0
75  3 118784 39366700   9216 24307772    0    0     0    52 30323 51011  3 93  3  0  0
66  2 118784 36065292   9216 27606452    0    0     0     0 30472 51396  3 93  3  0  0
61  3 118784 32703972   9216 30946620    0    0     0     0 30758 52506  3 93  4  0  0
54  2 118784 35130460   9216 28484272    0    0     0     0 31242 52229  3 89  7  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
62  1 118784 42761920   9216 20833360    0    0     0    48 30366 51752  2 85 13  1  0
73  0 118784 39725796   9224 23954144    0    0     0    52 30466 51074  3 93  4  0  0
81  1 118784 36571992   9224 27095700    0    0     0     0 30930 52011  4 93  3  0  0
70  6 118784 37356088   9228 26302780    0    0     4     0 31419 53174  2 91  6  1  0
69  2 118784 35407056   9368 28246876    0    0  1244     0 31011 52564  3 92  5  1  0
43  0 118784 35742496  12240 27834648    0    0  7652    48 31553 52710  4 89  6  1  0
73  2 118784 40241132  14996 23392552    0    0  6608    76 30544 50865  3 87  9  1  0
73  0 118784 38832152  15404 24793784    0    0 10548    12 31708 52850  3 92  4  1  0
53  1 118784 37055556  15880 26559388    0    0 13200     0 31363 52652  4 91  4  1  0
76  2 118784 35352104  15880 28281420    0    0     0     0 31217 52760  4 91  5  1  0
66  3 118784 33734304  15880 29847168    0    0     0     0 31478 53307  3 92  5  1  0
77  2 118784 41798912  15892 21810708    0    0     0   108 30004 50245  2 84 12  1  0
62  0 118784 39220512  15892 24400928    0    0     0     0 30893 51784  4 91  4  1  0
74  0 118784 37311492  15892 26327812    0    0     0     0 30973 52306  3 92  5  0  0
66  2 118784 35692028  15892 27945040    0    0     0     0 31043 52719  3 91  5  1  0
69  1 118784 33587584  16012 30035552    0    0   120     0 31263 53255  2 92  5  1  0
71  4 118784 41752856  16024 21850620    0    0     4    76 29842 49977  1 85 12  1  0
69  4 118784 39539968  16024 24096992    0    0     0     0 30765 51548  3 93  4  0  0
75  1 118784 37722068  16024 25913312    0    0     0     0 31032 52400  2 92  5  0  0
63  1 118784 35792904  16576 27822252    0    0  3756     0 30938 52286  3 92  5  1  0
75  0 118784 33920288  16592 29729168    0    0    16   240 31546 53342  3 92  4  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
50  0 118784 40805900  16592 22832956    0    0     0     0 29642 50027  1 86 12  1  0
62  0 118784 39943032  16596 23724584    0    0     4    92 30877 51805  3 91  5  1  0
69  0 118784 38178868  16596 25471984    0    0     0     0 30778 51992  2 92  5  0  0
65  2 118784 36154732  16596 27493380    0    0     0     0 30885 52362  2 93  5  0  0
77  2 118784 34225512  16604 29436120    0    0     0    48 30952 52405  2 92  5  0  0
47  5 118784 40019136  16604 23573636    0    0     0     0 30264 50738  2 86 11  1  0
69  0 118784 40301300  16612 23371772    0    0     4    64 30377 51121  2 91  7  1  0
69  3 118784 38180780  16612 25458312    0    0     0     0 30794 51953  2 92  5  0  0
69  2 118784 36553768  16612 27098432    0    0     0     0 30938 52380  3 92  5  1  0
64  1 118784 34478504  16620 29164700    0    0     0    44 31027 52675  2 92  5  0  0
44  4 118784 39203420  16620 24336404    0    0     0     0 29660 49813  2 87 11  1  0
72  0 118784 40741260  16620 22922548    0    0    44     0 30626 51080  2 89  7  1  0
77  1 118784 38089612  16620 25537484    0    0     0    52 30277 51283  2 93  4  0  0
65  0 118784 36635524  16620 26993148    0    0     0     0 30804 52467  2 92  5  1  0
70  0 118784 34893168  16628 28761988    0    0     0    36 31116 52910  3 92  5  1  0
43  0 118784 37759060  16628 25845508    0    0     0     0 30341 51231  2 88  9  1  0
71  0 118784 41065540  16628 22587968    0    0     0     0 29618 49545  2 88  9  1  0
72  1 118784 38238204  16628 25416816    0    0     0   112 30501 51356  2 93  4  0  0
70  2 118784 36814148  16628 26830592    0    0     0     0 31144 52576  2 92  5  1  0
73  2 118784 35105796  16636 28549148    0    0     0    48 31165 52755  2 92  5  0  0
