procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 118784 63358316   4528 286732    0    0   241   777    3    2  1  1 98  0  0
 6  0 118784 63353804   5608 287900    0    0  2508     0  646  845  0  0 100  0  0
61  0 118784 59539196   8376 4105408    0    0 21812     0 23313 45254  3 32 65  0  0
58  1 118784 48641876   8376 15005368    0    0     0 235264 59060 131180  1 88 10  0  0
60  3 118784 38542960   8376 25094416    0    0     0 2354748 57783 120980  1 84 13  2  0
 2 25 118784 33046416   8388 30592316    0    0     0 2098092 32539 65300  0 34 41 25  0
37  2 118784 38958272   8388 24618960    0    0     0 2168576 36798 71214  0 43 37 19  0
15 15 118784 40028964   8400 23647044    0    0     4 2073608 55912 111848  1 71 22  6  0
41 15 118784 36899704   8400 26758400    0    0     0 2078348 52381 112164  1 51 32 16  0
 4 21 118784 35399672   8400 28272740    0    0     0 2187980 49376 103932  1 47 32 20  0
46 13 118784 35507104   8408 28170044    0    0     0 2035456 48494 102174  1 46 34 19  0
19 11 118784 38351856   8408 25315652    0    0     0 2025364 51838 107831  1 51 31 18  0
58  1 118784 36656744   8416 26996996    0    0     0 2094912 47064 100874  1 50 33 16  0
26 15 118784 36534052   8416 27132444    0    0     0 2565848 52433 118162  1 50 29 20  0
31 11 118784 39420280   8416 24252804    0    0     0 2037648 55185 137468  1 59 26 15  0
27 13 118784 36834160   8424 26833424    0    0     0 2439296 53957 171122  1 53 28 18  0
21 16 118784 36624112   8424 27042212    0    0     0 2022768 45460 113423  0 42 34 23  0
47  4 118784 36630968   8432 27025332    0    0     0 2314340 47293 127256  1 45 33 22  0
15 18 118784 40060432   8432 23595928    0    0     0 2095864 50831 127282  0 53 30 17  0
29 18 118784 37400428   8432 26265964    0    0     0 2140160 51624 115431  0 46 31 22  0
35 15 118784 37205268   8440 26464712    0    0     0 2098188 54255 134776  1 53 28 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27 13 118784 36774924   8440 26890352    0    0     0 2521612 52438 145222  1 50 30 19  0
34 19 118784 36561788   8448 27079264    0    0     0 1995988 51265 141849  1 53 28 18  0
24 22 118784 38214960   8448 25455000    0    0     0 2015512 55287 130578  1 55 27 17  0
28 14 118784 38756560   8448 24908808    0    0     0 2412756 51400 128706  1 50 31 18  0
15 15 118784 37811900   8456 25852836    0    0     0 2250908 50508 144300  1 49 32 19  0
26 13 118784 37486856   8460 26180604    0    0     4 2109628 51355 153169  1 49 29 21  0
13 15 118784 38529456   8468 25142208    0    0     0 2003604 52419 135292  1 52 30 17  0
25 17 118784 35471176   8472 28183660    0    0     0 2341776 53877 145527  1 50 30 19  0
42 11 118784 36845896   8472 26826640    0    0     0 2278364 49383 138638  0 47 31 21  0
51  6 118784 36601820   8484 27056228    0    0     0 2324448 52715 127146  1 53 31 16  0
28 14 118784 35172980   8484 28491192    0    0     0 2040288 52317 146061  1 51 31 17  0
30 19 118784 38786992   8492 24866284    0    0     0 2322532 47712 120819  1 49 32 18  0
23 15 118784 37444124   8492 26220948    0    0     0 2196324 50350 127156  1 46 31 22  0
35 16 118784 38090332   8492 25573648    0    0     0 2256340 51365 134488  1 50 30 19  0
45  4 118784 36741112   8500 26921716    0    0     0 2147132 53442 134503  1 53 28 18  0
14 20 118784 35570016   8500 28100292    0    0     0 2133484 52994 121118  1 51 29 20  0
27 20 118784 37043716   8508 26616084    0    0     0 2350996 48570 109055  1 48 30 21  0
34 17 118784 37334176   8508 26334192    0    0     0 2335360 53648 132140  1 53 28 18  0
30 15 118784 38107280   8508 25561784    0    0     0 2055040 50399 121042  0 48 30 22  0
23  9 118784 36937188   8516 26726200    0    0     0 1973632 51924 134211  1 51 30 18  0
23 16 118784 39733892   8516 23939640    0    0     0 2381708 52103 132416  1 54 28 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
47 11 118784 36982812   8524 26672016    0    0     0 1956436 48289 123373  1 48 31 20  0
23 13 118784 36107008   8524 27552936    0    0    44 2183040 56856 151902  1 57 28 14  0
36 14 118784 38895100   8524 24771220    0    0     0 2158816 53005 130053  1 54 29 17  0
21 13 118784 36511296   8532 27140436    0    0     0 2220616 54438 144855  1 52 28 20  0
38 13 118784 38204712   8536 25454340    0    0     0 1953848 50106 121704  1 49 30 20  0
29 11 118784 35746184   8544 27916376    0    0     0 2357744 56531 138987  1 58 28 13  0
14 17 118784 37174672   8544 26481308    0    0     0 1956932 52748 142122  1 50 29 21  0
35 16 118784 37212536   8544 26455220    0    0     0 2236004 54973 131369  1 57 26 16  0
31 16 118784 37263500   8552 26401380    0    0     0 2295868 53358 139507  1 52 30 17  0
44  7 118784 37427932   8552 26240492    0    0     0 1952872 56503 137573  1 60 26 13  0
41 12 118784 35660012   8560 27988456    0    0     0 2187048 51959 131196  1 55 27 17  0
34 18 118784 37834112   8560 25827092    0    0     0 2091520 54799 120138  1 57 26 16  0
26 20 118784 36730208   8560 26913132    0    0     0 2223488 53606 139573  1 53 28 19  0
45  9 118784 36526584   8568 27127244    0    0     0 2087120 53021 129713  1 52 30 16  0
33  5 118784 36696228   8568 26958032    0    0     0 2236520 54151 129151  1 56 28 15  0
40  4 118784 36710036   8576 26952316    0    0     0 2117752 51128 115154  1 53 28 18  0
27 17 118784 36493800   8576 27165160    0    0     0 1980864 55301 143934  1 55 27 17  0
31 18 118784 36850364   8576 26816136    0    0     0 2229536 58668 144073  1 63 25 11  0
22 23 118784 36208520   8584 27455712    0    0     0 2184036 53786 139220  1 52 27 20  0
22 17 118784 39271440   8584 24396704    0    0     0 2005916 54447 145287  1 58 26 14  0
