Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

04:19:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:19:01 AM  all    0.00    0.00    0.10    0.02    0.00    0.00    0.00    0.00    0.00   99.88
04:19:01 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM    3    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   97.03
04:19:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   24    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:19:01 AM   25    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:19:01 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:19:01 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:19:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:19:02 AM  all    3.84    0.00    9.18   24.19    0.00    0.00    0.00    0.00    0.00   62.79
04:19:02 AM    0    4.17    0.00    8.33   23.96    0.00    0.00    0.00    0.00    0.00   63.54
04:19:02 AM    1    3.09    0.00    8.25   23.71    0.00    0.00    0.00    0.00    0.00   64.95
04:19:02 AM    2    4.00    0.00   10.00   24.00    0.00    0.00    0.00    0.00    0.00   62.00
04:19:02 AM    3    3.06    0.00   10.20   23.47    0.00    0.00    0.00    0.00    0.00   63.27
04:19:02 AM    4   20.00    0.00   17.89   24.21    0.00    0.00    0.00    0.00    0.00   37.89
04:19:02 AM    5    3.12    0.00    7.29   25.00    0.00    0.00    0.00    0.00    0.00   64.58
04:19:02 AM    6    4.12    0.00    6.19   25.77    0.00    0.00    0.00    0.00    0.00   63.92
04:19:02 AM    7    4.08    0.00    7.14   24.49    0.00    0.00    0.00    0.00    0.00   64.29
04:19:02 AM    8    2.04    0.00    9.18   25.51    0.00    0.00    0.00    0.00    0.00   63.27
04:19:02 AM    9    4.17    0.00    7.29   25.00    0.00    0.00    0.00    0.00    0.00   63.54
04:19:02 AM   10    4.26    0.00    6.38   24.47    0.00    0.00    0.00    0.00    0.00   64.89
04:19:02 AM   11    4.04    0.00    9.09   24.24    0.00    0.00    0.00    0.00    0.00   62.63
04:19:02 AM   12    2.00    0.00   11.00   23.00    0.00    0.00    0.00    0.00    0.00   64.00
04:19:02 AM   13    4.95    0.00    8.91   23.76    0.00    0.00    0.00    0.00    0.00   62.38
04:19:02 AM   14    4.00    0.00    8.00   24.00    0.00    0.00    0.00    0.00    0.00   64.00
