procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 118784 63258184   7480 289976    0    0   239   771    2    3  1  1 98  0  0
 0  1 118784 63257704   7616 290348    0    0   380     0  490  644  0  0 100  0  0
16 49 118784 61971908   8656 1664960    0    0 468416     0 336215 763391  4  9 63 24  0
20 47 118784 59611820   8656 4031204    0    0 1178172     0 855581 1934872  3 22 14 61  0
11 55 118784 57282104   8664 6359852    0    0 1187384    80 835694 1883602  3 22 14 61  0
21 42 118784 54928676   8668 8714180    0    0 1231088    28 823695 1844758  4 21 14 61  0
17 49 118784 52524092   8668 11118936    0    0 1300564     0 814503 1804151  3 22 14 60  0
16 46 118784 50100368   8668 13540908    0    0 1360812     0 788213 1712175  4 21 15 60  0
17 44 118784 47557512   8680 16082724    0    0 1490116    20 795555 1680532  3 22 15 60  0
30 37 118784 44883300   8688 18756508    0    0 1620048    20 811253 1662798  3 22 16 59  0
22 45 118784 42073752   8688 21565692    0    0 1739892    80 829862 1620919  3 23 17 57  0
17 45 118784 39339300   8688 24301252    0    0 1686980     0 802141 1487294 12 22 17 49  0
67 30 118784 36624756   8688 27014312    0    0 1584740    12 824290 1500334 19 25 17 39  0
29 18 118784 34570960   8688 29068416    0    0 1024448     0 672680 1259031 39 24 15 23  0
37 13 118784 32109184   8696 31529692    0    0 774324    20 958422 2018732  8 52 23 18  0
40  9 118784 30624904   8696 33013924    0    0 135392     0 698327 1601549  9 58 23 10  0
39  5 118784 29837920   8696 33801192    0    0 14252    44 411218 936032  9 63 22  7  0
35  3 118784 29494948   8696 34143888    0    0  1860     0 194582 423885  8 68 21  3  0
33  1 118784 29353340   8696 34276112    0    0   476     0 84001 168313  9 70 19  2  0
32  0 118784 29313044   8704 34322344    0    0   124    20 37701 65674  8 71 20  1  0
32  0 118784 29299688   8704 34337172    0    0    24     0 20559 26447  9 71 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0 118784 29284080   8704 34341592    0    0    56     0 15534 13892  9 72 18  0  0
32  0 118784 29282316   8704 34342804    0    0     0    40 13108 9517 10 71 20  0  0
39  0 118784 29282316   8704 34343172    0    0     0     0 12587 8336  9 71 20  0  0
32  0 118784 29282336   8712 34343280    0    0     0    20 12533 8087  9 71 19  0  0
32  0 118784 29282856   8712 34343340    0    0     0     0 12445 7934  9 71 20  0  0
32  0 118784 29283380   8712 34343344    0    0     0     0 12316 7810  9 71 20  0  0
32  0 118784 29283380   8712 34343348    0    0     0     0 12412 7819 10 71 20  0  0
34  0 118784 29276604   8712 34343352    0    0     0    40 12974 8367  9 72 19  0  0
32  0 118784 29275596   8724 34343356    0    0     0    40 12393 7849 10 71 20  0  0
32  0 118784 29275356   8724 34343360    0    0     0     0 12412 7940 10 70 20  0  0
32  0 118784 29275356   8724 34343368    0    0     0     0 12359 7759 10 70 20  0  0
32  0 118784 29275356   8724 34343368    0    0     0     0 12425 7906  9 71 20  0  0
32  0 118784 29275116   8724 34343376    0    0     0    40 12530 7970  9 71 20  0  0
32  0 118784 29275116   8736 34343368    0    0     0    32 12392 7919 10 70 20  0  0
32  0 118784 29275116   8736 34343384    0    0     0     0 12439 7845  9 71 20  0  0
