procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 180992 63468688   6188 157476    0    0   314   882    2    2  1  1 97  1  0
 6  1 180992 63465008   6328 157568    0    0    88     0  741 1049  0  0 100  0  0
66  2 180992 59855704   7356 3777304    0    0 16372    48 15167 87525  3 33 64  0  0
58  1 180992 48454340   7360 15174548    0    0     0 250100 36180 371900  1 96  3  0  0
26 18 180992 38866220   7360 24760932    0    0     0 2141028 35434 512536  1 76 13 10  0
11 24 180992 33398052   7360 30226660    0    0     0 2083548 29580 59877  0 27 37 36  0
11 22 180992 28179500   7364 35440104    0    0     4 2030904 28231 57914  0 24 37 38  0
16 24 180992 23563944   7380 40052100    0    0     0 2302156 25340 49748  0 26 38 36  0
 4 27 180992 18691392   7380 44924460    0    0     0 2025468 26999 55757  0 23 39 38  0
 7 20 180992 14039052   7380 49569356    0    0     0 2046996 26677 52884  0 23 39 38  0
14 24 180992 9716696   7380 53880412    0    0     0 2243840 25091 49905  0 21 40 39  0
 8 26 180992 5263296   7380 58322516    0    0     0 2018652 25541 51060  0 21 41 38  0
12 26 180992 1197664   7396 62364340    0    0     0 2172712 23412 45622  0 21 40 39  0
17 22 180992 451600   7280 63126020    0    0     0 2130408 24136 46137  0 23 39 38  0
 4 26 180992 468788   7276 63122828    0    0     0 2010092 24073 44914  0 23 39 37  0
 6 24 180992 475632   7276 63121460    0    0     0 2083364 24020 45319  0 23 40 37  0
13 23 180992 425908   7280 63180660    0    0     4 2303736 26318 51421  0 25 38 37  0
15 22 180992 406784   7296 63209376    0    0     0 2055928 25619 47967  0 27 36 36  0
 7 26 180992 563996   7296 63054548    0    0     0 2091916 25668 50094  0 24 38 37  0
19 18 180992 392240   7296 63221948    0    0   604 2015492 27080 53822  0 24 38 37  0
 5 26 180992 421488   7296 63196624    0    0     0 2066096 25239 50692  0 23 40 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11 26 180992 396196   7296 63221940    0    0     0 2057284 25365 49328  0 23 39 38  0
21 22 180992 350012   7316 63268672    0    0     4 2204524 25765 53348  0 26 38 36  0
 5 28 180992 442380   7316 63177344    0    0     0 2246456 23539 43605  0 22 40 38  0
 1 27 180992 535660   7448 63083192    0    0   208 2021572 23108 43763  0 21 42 37  0
 7 26 180992 545864   7448 63074384    0    0     0 2066040 24563 47389  0 22 40 37  0
10 29 180992 420856   7448 63198684    0    0     0 2056892 24771 48055  0 22 40 38  0
20 16 180992 393596   7464 63223656    0    0     0 2122900 24608 48295  0 26 37 37  0
18 22 180992 466884   7472 63153540    0    0     4 2156312 25606 51497  0 24 39 37  0
12 25 180992 367852   7472 63248256    0    0    20 2262424 27140 52481  0 23 40 37  0
 8 25 180992 406648   7472 63215100    0    0     0 2062404 24053 46191  0 21 41 38  0
18 22 180992 433000   7472 63186932    0    0     0 2057652 24154 45439  0 22 40 38  0
 9 25 180992 415428   7492 63210428    0    0     0 1973844 24999 47101  0 25 37 38  0
25 22 180992 475560   7492 63151456    0    0     0 2099476 25796 50106  0 23 39 37  0
17 23 180992 432788   7492 63193724    0    0     0 2079824 25530 49135  0 24 40 36  0
16 24 180992 456900   7492 63167168    0    0     0 2325816 24940 47129  0 22 40 38  0
 8 23 180992 453312   7492 63174680    0    0     0 2013804 25783 50707  0 22 39 39  0
19 25 180992 538504   7512 63092356    0    0     0 2054280 25517 66814  0 25 38 37  0
11 25 180992 529276   7512 63102712    0    0     0 2121044 26173 50736  0 23 38 38  0
16 24 180992 430276   7512 63194396    0    0   592 2051532 25517 47922  0 21 39 39  0
10 24 180992 430324   7512 63194476    0    0     0 2255400 24857 47843  0 22 42 37  0
 8 28 180992 461016   7512 63162872    0    0     0 2051284 24960 48991  0 21 40 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18 22 180992 389436   7532 63236224    0    0     0 2124216 24384 77657  0 26 39 35  0
11 25 180992 444252   7532 63177440    0    0     0 2233684 25814 49851  0 24 39 37  0
15 25 180992 407852   7536 63213328    0    0     4 2128768 26051 49482  0 23 40 37  0
11 25 180992 402404   7536 63218920    0    0     0 1992764 23866 45522  0 21 40 39  0
