procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 168192 63296856   5388 292072    0    0   299   875    3    3  1  1 97  1  0
 5  0 168192 63293100   5660 293516    0    0  1064     0  800 1095  0  0 100  0  0
12 47 168192 61877368   8932 1753676    0    0 478096   256 341736 766523  4 11 61 24  0
23 47 168192 59562224   8932 4069824    0    0 1057188     0 773079 1746270  8 23 13 56  0
17 45 168192 57265876   8932 6366876    0    0 1084396     0 790590 1783201  6 23 13 58  0
12 53 168192 54938868   8932 8692744    0    0 1122280     0 817532 1843270  3 24 13 59  0
22 44 168192 52703692   8932 10926512    0    0 1093012     0 795825 1794588  4 24 14 58  0
20 43 168192 50459372   8944 13171400    0    0 1106120    36 805732 1818106  3 24 14 59  0
21 46 168192 48188856   8948 15440932    0    0 1125840    88 817631 1848140  3 25 13 59  0
15 47 168192 45961896   8948 17665916    0    0 1107716     0 803835 1816942  3 24 14 59  0
20 46 168192 43738452   8948 19890432    0    0 1109864     0 804003 1816353  3 24 14 59  0
21 44 168192 41554236   8948 22077100    0    0 1093664     0 789852 1780619  7 23 13 57  0
22 46 168192 39327260   8956 24300172    0    0 1114080    20 805290 1816104  3 24 14 59  0
18 50 168192 37105436   8956 26522576    0    0 1115652     0 802365 1811695  3 24 14 59  0
22 45 168192 34856864   8960 28771120    0    0 1130784    48 810501 1829155  3 24 14 59  0
14 46 168192 32632712   8960 30993052    0    0 1119596     0 799872 1804660  3 24 14 59  0
18 51 168192 30415400   8960 33209760    0    0 1119280     0 796468 1795986  3 24 14 59  0
26 44 168192 28166804   8968 35458536    0    0 1138084    20 805708 1816603  3 24 14 59  0
20 42 168192 25959032   8968 37667864    0    0 1122176     0 789674 1779621  3 24 14 59  0
14 43 168192 23905988   8968 39721416    0    0 1044484     0 733994 1647971 11 22 13 54  0
15 43 168192 21649832   8972 41975436    0    0 1149920    44 801103 1799662  3 24 14 59  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15 50 168192 19426688   8972 44200180    0    0 1138728     0 789585 1775332  3 24 14 59  0
11 53 168192 17204064   8980 46421556    0    0 1139568    32 789073 1773347  3 24 14 59  0
13 49 168192 14947164   8980 48677792    0    0 1160348     0 797154 1791312  3 25 14 59  0
69 22 168192 12728304   8980 50896580    0    0 1145640     0 780983 1753098  3 24 14 59  0
22 45 168192 10560348   8984 53066456    0    0 1124444     4 760711 1700104  8 23 13 56  0
25 41 168192 8316792   8984 55306620    0    0 1164376    36 782079 1749445  3 24 14 59  0
17 50 168192 6131700   8992 57493876    0    0 1140408    28 762710 1704413  6 23 14 57  0
25 41 168192 3881088   9116 59744092    0    0 1179892     0 779509 1738030  4 24 14 58  0
71 30 168192 1817228   9116 61815412    0    0 1087872     0 722898 1598001 12 22 13 53  0
13 44 168192 673748   8756 63009108    0    0 1000432     0 660767 1463063  4 20 19 57  0
 6 32 168448 446708   8756 63233576    0  248 907984   248 593582 1325196  2 19 24 54  0
23 41 171008 399284   8764 63273140    0 2688 820964  2752 534468 1200288  2 18 25 55  0
11 46 174080 460168   8764 63213196    0 2820 786688  2820 511181 1152170  2 18 26 54  0
10 50 175104 400996   8764 63279200    0 1040 777668  1040 503641 1127325 10 17 23 50  0
 8 37 175104 400732   8764 63279376    0  168 822516   168 528198 1183961  2 19 26 54  0
13 38 175872 409656   8764 63273044    0  364 819660   364 525364 1177073  3 18 25 54  0
16 41 177664 500184   8772 63182140    0 1464 822392  1476 526945 1180661  2 19 25 54  0
22 42 178944 469044   8784 63216076    0 1208 829464  1248 530203 1189636  2 19 25 54  0
24 46 179712 443776   8784 63242220    0 1240 823904  1240 526579 1185262  2 18 26 54  0
 6 33 179712 438256   8784 63249064    0   32 844384    32 539258 1211128  2 19 25 54  0
21 43 179712 464488   8784 63222840    0   24 833332    24 532240 1193702  2 19 24 55  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
