procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 180736 63351800   4620 169376    0    0   313   895    2    2  1  1 97  1  0
 6  1 180736 63342844   6508 177196    0    0  7552     0 2120 2536  0  0 99  0  0
77 10 180736 61156492   7168 2377184    0    0 914664     0 20276 20028  3 40 55  2  0
57 17 180736 56655652   7172 6876240    0    0 2241144   244 45033 46463  3 91  4  3  0
77  5 180736 51968672   7172 11564792    0    0 2339700     0 46083 54223  2 88  4  6  0
58 17 180736 47172392   7180 16356236    0    0 2391596    32 47442 57467  3 87  4  6  0
63 10 180736 42351896   7180 21182788    0    0 2406504     0 48163 58917  3 87  4  6  0
69  2 180736 37586672   7180 25945348    0    0 2375020     0 47380 59794  4 82  4 10  0
29 60 180736 32668676   7192 30865500    0    0 2449920    20 48783 62330  2 82  4 12  0
34  0 180736 42658484   7196 20884700    0    0 1697280    52 39657 50837  1 77  9 13  0
67  0 180736 43065844   7204 20598664    0    0     0    20 29570 49943  1 91  7  0  0
74  0 180736 39892504   7204 23770376    0    0     0     0 29424 49771  1 93  5  0  0
71  2 180736 36703240   7204 26960360    0    0     0     0 29567 50347  1 93  5  0  0
68  2 180736 33431308   7204 30228824    0    0     0     0 30026 51617  1 93  6  0  0
43  0 180736 31018528   7204 32544388    0    0     0     0 30476 52839  1 91  7  0  0
80  2 180736 44413912   7212 19239648    0    0     0    68 26839 43153  1 86 12  0  0
83  4 180736 41011972   7212 22641700    0    0     0     0 30624 52020  3 93  4  0  0
84  2 180736 37547092   7212 26103664    0    0     0     0 31070 53080  2 94  4  0  0
66  0 180736 34032748   7212 29617756    0    0     0     0 31345 53996  2 93  4  0  0
58  0 180736 33869860   7212 29707500    0    0     0     0 32042 55280  2 90  7  1  0
43  1 180736 42050580   7220 21517732    0    0     0    12 30565 53137  1 85 13  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
79  0 180736 40526020   7220 23139124    0    0     0    44 30867 52445  2 92  6  0  0
67  0 180736 37103544   7220 26543316    0    0     0     0 30902 53200  2 93  4  0  0
51  3 180736 37155000   7220 26444240    0    0     0     0 32210 55581  2 90  6  1  0
55  2 180736 35609992   7220 28039600    0    0     0     0 31530 54361  2 92  5  1  0
46  0 180736 34801736   7228 28759396    0    0     0    20 31915 54758  3 91  5  1  0
56  0 180736 40416980   7228 23238756    0    0     0     0 30703 52569  2 88 10  0  0
64  4 180736 41056136   7232 22552984    0    0     0    40 32038 54792  2 90  7  1  0
79  0 180736 37889716   7232 25775136    0    0     0     0 31071 53061  3 93  4  0  0
71  1 180736 34995544   7232 28661320    0    0     0     0 31479 54255  2 93  4  0  0
70  3 180736 32904728   7244 30733272    0    0     0    40 31967 55358  2 92  5  0  0
48  0 180736 42549656   7244 20990052    0    0     0     0 30477 52034  1 85 13  1  0
59  0 180736 40924712   7244 22739764    0    0     0    40 31196 53063  2 92  5  1  0
80  0 180736 37653120   7244 26002992    0    0     0    12 30807 52872  2 93  4  0  0
74  1 180736 34807716   7244 28834364    0    0     0     0 31378 54033  3 92  5  0  0
71  1 180736 33339020   7256 30261348    0    0     0    32 31948 55019  3 92  5  1  0
64  2 180736 43432280   7256 20181516    0    0     0     0 30063 51361  1 85 13  1  0
68  0 180736 40596980   7256 23068992    0    0     0    36 30782 52665  2 93  4  0  0
72  3 180736 37418268   7256 26242348    0    0     0     0 31227 53606  2 93  5  0  0
64  1 180736 34795248   7256 28837960    0    0     0     0 31423 54096  3 92  5  0  0
48  0 180736 34184328   7268 29426632    0    0     0    36 32094 55430  2 90  7  1  0
62  0 180736 43475492   7268 20125444    0    0     0     0 29750 50655  1 85 13  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
77  0 180736 40281276   7268 23383144    0    0     0    36 30632 52244  2 93  4  0  0
74  0 180736 36915684   7268 26731028    0    0     0     0 31015 53089  3 93  4  0  0
65  2 180736 34979220   7268 28666072    0    0     0     0 31512 54205  2 92  5  0  0
57  1 180736 34044208   7280 29555856    0    0     0    32 31909 54702  3 91  5  1  0
79  3 180736 43349724   7280 20291780    0    0     0     0 29694 50694  1 85 13  1  0
68  2 180736 39963592   7284 23699940    0    0     0    40 30623 51999  3 94  4  0  0
72  2 180736 36738804   7284 26913508    0    0     0     0 31131 53375  3 93  4  0  0
68  0 180736 35020304   7284 28631416    0    0     0     0 31669 54648  2 92  6  0  0
61  1 180736 34676248   7296 28914608    0    0     0    44 32057 55146  2 89  8  1  0
71  0 180736 43083320   7296 20582204    0    0     0     0 29683 50321  2 86 12  1  0
62  0 180736 39660320   7296 24003932    0    0     0    44 30674 52098  2 94  4  0  0
60  1 180736 36541540   7296 27102460    0    0     0     0 31338 53712  2 93  4  0  0
65  0 180736 34688380   7296 28958420    0    0     0     0 31662 54627  3 92  5  0  0
71  3 180736 34882428   7308 28735600    0    0     0    32 31886 54613  2 90  7  1  0
72  1 180736 42778068   7308 20887108    0    0     0     0 29675 50576  1 86 12  1  0
64  0 180736 39342084   7312 24323436    0    0     4    36 30819 52297  2 93  4  0  0
68  0 180736 36528676   7312 27117660    0    0     0     0 31055 53362  2 93  5  0  0
69  1 180736 34605824   7312 29018920    0    0     0     0 31612 54508  2 92  5  0  0
62  3 180736 34973728   7324 28598868    0    0     0    44 32128 55254  2 90  7  1  0
71  1 180736 42523912   7324 21142292    0    0     0     0 29288 49476  1 87 11  1  0
