procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   1792 63998664   8072 336012    0    0   637  1831   18   35  0  1 98  2  0
 3  0   1792 63996760   8076 336248    0    0     0     0 1244 1322  0  0 100  0  0
 1 34   1792 62483172   9140 1854532    0    0 1111788   100 9041 11070  3  4 79 15  0
 5 27   1792 59247628   9144 5091224    0    0 3233024   112 17403 23913  0  7 48 45  0
 2 30   1792 56024648   9144 8315612    0    0 3216896     0 16904 22830  0  6 49 45  0
 4 28   1792 52802444   9144 11536700    0    0 3214592     0 16970 22509  0  6 50 44  0
 2 30   1792 49577456   9144 14761860    0    0 3218176     0 17098 23342  0  6 48 45  0
32  1   1792 54962632   9152 9361784    0    0 2852864    28 17091 21350  0 18 44 38  0
 2 30   1792 60426348   9152 3989704    0    0 3170048     0 19723 24480  0 21 25 54  0
 2 30   1792 57216708   9152 7208124    0    0 3218432    40 16999 24001  0  5 27 68  0
 2 30   1792 53996196   9152 10435112    0    0 3219456     0 16912 23346  0  5 26 69  0
 3 29   1792 50768712   9152 13663160    0    0 3220224     0 16861 23136  0  5 30 65  0
 4 29   1792 50712248   9160 13717644    0    0 3215872    20 17324 23952  0  6 33 61  0
 1 31   1792 61113716   9160 3298876    0    0 3210752     0 19414 24817  0 19 26 54  0
 3 29   1792 57912776   9160 6514640    0    0 3216896     0 16991 24582  0  5 29 66  0
 2 30   1792 54697544   9160 9739592    0    0 3219456    40 16841 23583  0  5 31 64  0
 2 30   1792 52522280   9160 11919844    0    0 3221504     0 16730 23079  0  5 31 64  0
 3 29   1792 52108608   9168 12328820    0    0 3218176    20 16968 23614  0  5 34 60  0
12 20   1792 60493852   9168 3887584    0    0 3212544     0 18740 24834  0 11 38 51  0
 1 31   1792 58582912   9168 5834120    0    0 3222528     0 17058 24472  0  5 28 67  0
 2 30   1792 55372792   9168 9052072    0    0 3214848     0 16721 23684  0  4 29 67  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 30   1792 52584488   9168 11829756    0    0 3220992    44 16743 23052  0  4 26 69  0
 2 30   1792 52336444   9176 12079776    0    0 3219968    28 17054 23130  0  5 34 60  0
 3 29   1792 54202208   9176 10220168    0    0 3216640     0 17332 24140  0  6 42 52  0
 1 31   1792 59277624   9176 5151428    0    0 3222016     0 17557 24087  0  7 41 52  0
 3 29   1792 56061660   9176 8373388    0    0 3218944     0 16643 23983  0  4 42 54  0
 1 31   1792 52841868   9176 11595540    0    0 3216128     0 16639 22753  0  4 40 55  0
 2 30   1792 52762044   9196 11671820    0    0 3221764    80 17022 23230  0  5 39 55  0
 0 32   1792 53200556   9196 11220252    0    0 3217920     0 17826 24617  0  6 37 57  0
 2 30   1792 59946480   9320 4468728    0    0 3218088     0 18035 24561  0  8 37 55  0
 3 29   1792 56723760   9320 7690828    0    0 3222784     0 16863 24304  0  5 34 61  0
 2 30   1792 53506656   9320 10911892    0    0 3215616     0 16542 23005  0  4 37 59  0
 2 30   1792 53422564   9332 10988716    0    0 3219968    68 17265 23729  0  5 33 62  0
 2 30   1792 52311080   9332 12098392    0    0 3219968     0 17097 23813  0  5 38 57  0
 3 29   1792 60046964   9332 4364872    0    0 3219712     0 17728 23972  0  7 45 47  0
 1 31   1792 57405972   9332 7007836    0    0 3216896     0 16699 24164  0  4 40 56  0
 2 30   1792 54183240   9332 10232444    0    0 3222016     0 16486 22991  0  4 43 53  0
 3 29   1792 53638420   9344 10766464    0    0 3218944    72 16774 22842  0  5 45 50  0
 2 30   1792 52974036   9344 11431352    0    0 3217920     0 17723 23950  0  5 44 51  0
 5 27   1792 57976532   9344 6428604    0    0 3217920     0 17217 23837  0  7 42 51  0
 1 31   1792 58086496   9344 6329108    0    0 3220224     0 17041 23985  0  5 44 50  0
 4 28   1792 54867004   9344 9548688    0    0 3218944     0 16543 23274  0  4 45 51  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 30   1792 53659340   9356 10748400    0    0 3220224    68 16747 22417  0  5 45 50  0
 2 30   1792 53138164   9356 11273912    0    0 3220224     0 16928 23220  0  5 46 49  0
 3 29   1792 54152864   9356 10260916    0    0 3221248     0 17000 23450  0  5 43 52  0
 5 27   1792 58764348   9356 5650144    0    0 3218176     0 17457 24088  0  7 44 49  0
 2 30   1792 55543688   9356 8871956    0    0 3220736     0 16689 24017  0  4 42 54  0
 2 30   1792 53892060   9372 10522856    0    0 3218432    80 16704 23076  0  4 43 52  0
 2 30   1792 53292912   9372 11117976    0    0 3218944     0 17533 23584  0  5 45 50  0
 2 30   1792 53218568   9372 11193360    0    0 3218944     0 16930 23567  0  5 44 51  0
 2 30   1792 58920416   9372 5494048    0    0 3219712     0 17491 23796  0  7 45 49  0
 3 29   1792 56227832   9372 8188160    0    0 3217920     0 16581 23834  0  4 43 53  0
 4 28   1792 53336240   9384 11080256    0    0 3218944    72 16613 22739  0  4 41 55  0
 4 28   1792 53867060   9384 10551724    0    0 3221504     0 16943 23196  0  5 43 51  0
 1 31   1792 53381460   9384 11036444    0    0 3219200     0 16983 24183  0  5 40 55  0
 3 29   1792 58553168   9552 5864208    0    0 3219632     0 17723 24248  0  7 40 53  0
 1 31   1792 56905100   9552 7512480    0    0 3222016     0 16926 24270  0  5 41 54  0
 2 30   1792 53683928   9568 10733424    0    0 3217412    76 16443 22661  0  4 45 51  0
 3 29   1792 53903972   9568 10503932    0    0 3218944     0 17684 23557  0  5 46 49  0
