procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1   1792 64014156   6232 331688    0    0   834  1819   19   37  0  1 97  2  0
 3  2   1792 64007492   8568 338120    0    0  6820     0 1796 1983  0  0 100  0  0
32  0   1792 60354876   9504 4027776    0    0 16232   288 7357 5497  3 28 69  0  0
 0 33   1792 52187116   9504 12189172    0    0     0 1443164 11420 6783  0 59 20 21  0
12 21   1792 49231744   9504 15131896    0    0     0 2235616 6930 3901  0  1 28 71  0
 4 29   1792 47325888   9504 17031784    0    0     0 2199968 6551 3912  0  1 39 61  0
 1 35   1792 46732548   9508 17624324    0    0     0 2425880 10924 15802  0  1 40 59  0
 1 32   1792 46568100   9520 17779852    0    0     0 2180408 12039 16367  0  5 35 60  0
 3 31   1792 48409172   9524 15949308    0    0     4 1847292 11662 16003  0  5 35 60  0
 0 33   1792 47574548   9524 16790816    0    0     0 2314404 11889 16450  0  5 34 61  0
 1 32   1792 46613400   9524 17749340    0    0     0 2132600 10911 15374  0  2 35 63  0
 3 31   1792 47305656   9532 17060652    0    0     0 1905160 10850 14958  0  2 35 62  0
 0 33   1792 46363592   9540 17998428    0    0     0 2033808 12141 17240  0  4 39 56  0
 7 26   1792 48448056   9540 15915584    0    0     0 1868160 12592 17234  0  8 38 54  0
 0 33   1792 46597220   9544 17768448    0    0     4 2359328 12533 18188  0  5 34 61  0
 1 33   1792 46366616   9544 17999116    0    0     0 2207800 11557 16041  0  4 35 61  0
 0 34   1792 46370508   9552 17998660    0    0     0 2412840 12881 17858  0  4 35 61  0
 5 28   1792 47669288   9560 16686428    0    0     0 1955868 13535 18674  0  6 39 56  0
 0 33   1792 46363012   9560 17999064    0    0     0 2173728 12341 17889  0  5 36 59  0
 1 32   1792 46901228   9560 17464560    0    0     0 1973456 11898 16298  0  5 35 60  0
 1 32   1792 46838572   9560 17534144    0    0     0 2167920 12396 17878  0  3 40 58  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 32   1792 46748892   9568 17620200    0    0     0 2059588 11829 16974  0  4 40 56  0
 0 33   1792 46377400   9576 17999184    0    0     0 2015900 12672 17676  0  7 37 55  0
 1 32   1792 46546560   9576 17829652    0    0     0 2150456 12552 17813  0  4 38 58  0
 3 30   1792 46947748   9576 17432600    0    0     0 2124688 11831 17140  0  3 39 58  0
 3 30   1792 47104992   9576 17255300    0    0     0 2009272 12652 17908  0  5 39 56  0
 1 32   1792 46666376   9596 17699340    0    0     4 2379044 12821 18673  0  4 37 59  0
 1 32   1792 46862088   9604 17498868    0    0     0 1917504 12338 16337  0  6 34 59  0
 0 33   1792 46363016   9604 17999416    0    0     0 2130316 12023 17460  0  3 39 58  0
 6 27   1792 48036560   9604 16331884    0    0     0 2103680 12967 18611  0  4 39 56  0
 1 32   1792 46818392   9604 17556448    0    0     0 2029704 12082 16907  0  6 37 56  0
 2 31   1792 46884416   9612 17485352    0    0     0 2125108 11892 16438  0  6 36 58  0
 2 31   1792 47206480   9620 17161760    0    0     0 2200240 12030 17130  0  3 39 58  0
 2 31   1792 47096712   9620 17273964    0    0     0 2093560 12953 18331  0  8 39 54  0
 7 26   1792 47358060   9620 17019040    0    0     0 2159896 12264 17657  0  3 35 62  0
 2 31   1792 46724596   9620 17657792    0    0     0 2211004 12520 17039  0  7 34 59  0
 1 32   1792 46589708   9632 17801024    0    0     0 2259464 12446 16990  0  4 35 61  0
 2 31   1792 46575992   9644 17807980    0    0     4 2150148 12983 17618  0  6 39 55  0
 2 31   1792 46990028   9644 17394700    0    0     0 2071164 11498 16260  0  3 37 60  0
 3 30   1792 46961564   9644 17421392    0    0     0 2118916 12246 17323  0  5 37 58  0
 1 32   1792 46843256   9644 17532864    0    0     0 2206928 12822 18424  0  4 39 57  0
 1 32   1792 46887772   9656 17485232    0    0     0 2053992 12465 17350  0  6 39 55  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 30   1792 47401788   9664 16973932    0    0     0 2001912 12012 17358  0  3 38 59  0
 1 32   1792 46885968   9664 17492348    0    0     0 2206704 12397 17062  0  6 36 58  0
 0 33   1792 46370132   9664 18000316    0    0     0 2073012 11786 16168  0  5 35 59  0
 1 32   1792 46483196   9664 17891640    0    0     0 2318908 13573 19310  0  5 37 59  0
 4 29   1792 47719996   9676 16644140    0    0     0 2210876 12367 17931  0  3 38 59  0
 2 32   1792 46425460   9684 17923904    0    0     0 2079780 13359 18253  0  6 37 57  0
 1 32   1792 46714988   9692 17631156    0    0     4 2047132 12671 17983  0  5 38 57  0
 1 32   1792 46369016   9692 17984388    0    0     0 2204692 13053 18345  0  6 38 56  0
 3 30   1792 47553428   9692 16807208    0    0     0 2057436 12441 17643  0  5 38 57  0
 2 31   1792 46982064   9704 17395512    0    0     0 2236476 13128 18803  0  6 36 58  0
 0 34   1792 46905600   9708 17473404    0    0     0 2131144 12288 17710  0  2 36 62  0
 0 33   1792 46390124   9712 17998688    0    0     0 2025612 11754 16294  0  3 36 61  0
 4 29   1792 47319560   9712 17067636    0    0     0 2068320 12641 17840  0  5 38 57  0
 0 33   1792 46388692   9712 17998736    0    0     0 2178244 12407 17935  0  3 38 59  0
 3 30   1792 47508084   9724 16873916    0    0     0 2050840 12699 17761  0  6 37 57  0
 0 33   1792 46350428   9848 17999740    0    0   168 2141564 13872 19240  0  4 39 56  0
 3 30   1792 46688468   9856 17674136    0    0     0 2128824 13302 18472  0  7 37 56  0
 5 28   1792 47079088   9856 17278132    0    0     0 2195128 13110 19230  0  5 38 57  0
15 18   1792 46504044   9856 17859628    0    0     0 2340696 13436 19119  0  5 35 60  0
 3 30   1792 46561456   9868 17801132    0    0     0 2175660 12870 18249  0  3 36 61  0
 1 33   1792 46725376  10384 17645328    0    0   988 2059296 12802 18022  0  5 38 57  0
