procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 177920 63690764   4660 166048    0    0   298   880    1    0  1  1 97  1  0
 6  1 177920 63678368   6732 173296    0    0  7732     0 2139 2481  0  0 99  0  0
32  0 177920 59719100   7632 4126788    0    0 15068     0 7315 5516  3 29 68  0  0
 0 33 177920 51833040   7632 12019040    0    0     0 1575600 11051 6285  0 55 20 25  0
 1 32 177920 49297616   7644 14553736    0    0     4 2068140 7158 4456  0  1 38 61  0
 0 33 177920 46986284   7644 16866532    0    0     0 2174656 6536 3650  0  1 49 50  0
 0 33 177920 44846148   7644 19006924    0    0     0 2256304 6074 3269  0  1 53 46  0
 7 28 177920 42641148   7652 21211536    0    0     0 1886452 6204 3402  0  1 51 48  0
 5 29 177920 40482852   7652 23370396    0    0     0 2312108 6459 3515  0  1 40 59  0
 7 27 177920 38336276   7664 25514812    0    0     4 2021364 6090 3415  0  1 47 53  0
 0 33 177920 36128388   7664 27714412    0    0     0 2150048 6182 3446  0  1 48 51  0
 3 30 177920 33942676   7664 29890360    0    0     0 2294312 6289 3397  0  1 49 50  0
 3 31 177920 31774516   7672 32054184    0    0     0 1903816 6023 3290  0  1 48 50  0
 8 25 177920 29596496   7672 34225864    0    0     0 2231740 6155 3583  0  1 48 51  0
 2 31 177920 27424100   7680 36389880    0    0     0 2082664 6854 4113  0  1 45 54  0
 0 33 177920 25260124   7680 38543024    0    0     0 2126908 6056 3388  0  1 42 57  0
 1 34 177920 23087152   7684 40708992    0    0     4 2073884 6105 3513  0  1 43 56  0
 0 34 177920 20893084   8096 42900904    0    0  1636 2133700 6815 3818  0  4 41 55  0
 0 33 177920 18729712   8096 45054000    0    0     0 2188536 5950 3309  0  1 37 63  0
 9 25 177920 16591096   8104 47187660    0    0     0 1965808 6109 3466  0  1 44 55  0
 1 33 177920 14393236   8104 49377724    0    0     0 2226196 6233 3379  0  1 50 50  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5 28 177920 12229900   8104 51531320    0    0     0 2116500 6034 3412  0  1 42 57  0
 5 29 177920 10041304   8116 53716760    0    0     0 2036364 6200 3221  0  3 40 57  0
 0 33 177920 7864600   8116 55886212    0    0     0 2265784 5958 2985  0  1 32 67  0
 0 34 177920 5723000   8124 58018344    0    0     0 1902632 6447 3766  0  1 52 47  0
 2 31 177920 3534932   8124 60198712    0    0     0 2250272 5900 3218  0  1 55 45  0
 1 32 177920 1370116   8124 62351376    0    0     0 2070288 5853 2960  0  1 54 46  0
 0 33 177920 445368   8080 63277880    0    0     0 2167876 5969 3247  0  2 47 51  0
 1 32 177920 413056   8084 63311864    0    0     4 1946728 6182 3449  0  2 48 50  0
 0 33 177920 422020   8092 63302396    0    0     0 2199396 6277 3405  0  2 50 48  0
 1 33 177920 435216   8092 63291788    0    0     0 2220288 6187 3458  0  2 48 50  0
 1 33 177920 447772   8092 63278720    0    0     0 1969756 6237 3438  0  2 43 55  0
 5 29 177920 395524   8100 63344692    0    0     0 2249276 6422 3357  0  3 45 52  0
