procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 177920 63641068   4668 170612    0    0   300   890    2    1  1  1 97  1  0
 7  0 177920 63636408   5792 171772    0    0  2588   264  950 1262  0  0 100  0  0
32  0 177920 59737792   8184 4087756    0    0 21416     0 8186 6489  4 29 67  0  0
33  0 177920 53141832   8184 10681720    0    0     0 269960 20986 11976  7 76 17  0  0
 7 26 177920 50627244   8184 13196028    0    0     0 1927108 120665 4924  2 21 35 41  0
19 17 177920 48814764   8188 14997380    0    0     0 2163516 93093 4984  3 22 42 33  0
23 10 177920 47795408   8192 16015264    0    0     0 1561044 39062 6334  4 47 29 20  0
16 17 177920 47280332   8200 16533204    0    0     0 1722164 25554 6421  4 46 33 17  0
14 19 177920 46903592   8200 16911312    0    0     0 1886864 13101 5987  4 40 29 27  0
15 18 177920 46556896   8200 17256992    0    0     0 2158400 12097 5466  3 34 33 29  0
10 24 177920 46257884   8208 17552716    0    0     0 2405480 11342 5150  3 25 40 31  0
16 17 177920 46072188   8208 17735980    0    0     0 1761816 11587 5483  4 29 39 28  0
23 11 177920 45995256   8216 17808272    0    0     0 2042252 12138 5611  4 36 34 26  0
16 17 177920 45958548   8220 17830480    0    0    72 1927328 13605 6653  4 37 32 27  0
15 18 177920 45947768   8220 17832052    0    0     0 2242880 11855 5524  3 34 37 26  0
18 15 177920 45946256   8232 17833176    0    0     4 1813188 11877 5749  3 33 38 26  0
23 10 177920 45945248   8232 17833528    0    0     0 2104176 12323 5620  4 34 36 26  0
19 14 177920 45944996   8240 17833828    0    0     0 1875352 11824 5557  4 35 34 26  0
13 20 177920 45943764   8240 17834016    0    0     0 2063676 12391 5740  4 36 33 26  0
12 21 177920 45939896   8240 17834212    0    0     0 2246092 12141 5450  4 31 33 32  0
17 16 177920 45940128   8248 17834292    0    0     0 1703252 11109 5352  4 32 33 30  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18 18 177920 45940208   8248 17834324    0    0     0 2062584 12257 5608  4 35 36 25  0
18 17 177920 45940208   8256 17834344    0    0     0 2061588 11757 5672  4 34 33 29  0
10 23 177920 45928176   8256 17834080    0    0     0 1897592 12462 6392  4 36 33 27  0
18 15 177920 45927488   8256 17834084    0    0     0 1975112 12594 5756  3 37 33 26  0
12 21 177920 45927488   8276 17834096    0    0     4 1995440 12722 5933  4 38 35 24  0
16 17 177920 45927488   8276 17834100    0    0     0 2020764 12528 5718  4 38 33 25  0
17 16 177920 45927488   8284 17834096    0    0     0 1929152 11870 5685  4 33 36 27  0
17 16 177920 45927076   8284 17834108    0    0     0 2004092 11638 5423  4 31 35 30  0
13 20 177920 45927076   8284 17834112    0    0     0 2059176 11998 5502  4 35 35 27  0
19 14 177920 45926660   8296 17834116    0    0     0 2069316 11938 5580  4 34 36 27  0
15 18 177920 45926660   8296 17834124    0    0     0 1710484 11961 5860  3 39 32 26  0
17 20 177920 45923396   8304 17834132    0    0     0 2134900 12896 5795  3 38 35 24  0
20 14 177920 45919712   8304 17834132    0    0     0 1819916 13343 6566  4 39 34 23  0
13 20 177920 45913532   8304 17834216    0    0    44 2171312 13200 6556  4 37 32 27  0
13 20 177920 45912936   8316 17834220    0    0     0 1768260 12018 5714  4 34 36 27  0
14 19 177920 45910524   8316 17834228    0    0     0 2086316 12088 5753  4 35 34 27  0
22 16 177920 45910700   8324 17834228    0    0     0 2144692 11558 5461  4 34 33 29  0
15 18 177920 45910028   8328 17834236    0    0     4 1972948 11723 5681  4 35 32 29  0
18 15 177920 45910028   8328 17834240    0    0     0 1906404 12625 6023  3 40 32 25  0
16 17 177920 45910028   8340 17834240    0    0     0 1640504 11756 5746  4 38 35 24  0
14 19 177920 45910028   8340 17834248    0    0     0 1957344 12368 5748  4 37 30 30  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24 13 177920 45909020   8348 17834248    0    0     0 1979756 12507 5870  4 36 33 27  0
18 16 177920 45904488   8348 17834256    0    0     0 2019980 12478 6100  4 35 35 26  0
16 17 177920 45904488   8348 17834268    0    0     0 1978940 12206 5692  4 36 34 26  0
