procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 128512 63561068   3544 173940    0    0   262   833    2    3  1  1 97  0  0
 0  2 128512 63556604   4120 175296    0    0  1920     0  816 1141  0  0 100  0  0
14 17 128512 61580016   7316 2167376    0    0 808016    48 21571 29992  3  9 78 11  0
 4 22 128512 56638728   7324 7106540    0    0 2464388   232 54832 82855  0 14 50 35  0
 4 23 128512 51688744   7324 12061060    0    0 2470784     0 55728 83927  0 13 51 35  0
 6 20 128512 46736752   7324 17011524    0    0 2470912     0 54511 83149  0 12 52 36  0
 3 22 128512 41804080   7324 21946236    0    0 2461056     0 54321 82501  0 12 53 36  0
 5 22 128512 36911644   7344 26839324    0    0 2440324    48 53792 82023  0 11 52 36  0
 5 21 128512 32001172   7344 31749404    0    0 2451584     0 54063 82416  0 11 52 36  0
 9 19 128512 26619508   7344 37133136    0    0 2685696    48 58865 89930  0 13 51 36  0
 6 21 128512 20730864   7344 43023072    0    0 2937472     0 64387 97979  0 15 51 34  0
 6 20 128512 14769712   7344 48983020    0    0 2974336     0 64692 98931  0 14 51 35  0
 7 21 128512 8840192   7352 54914652    0    0 2958208    20 64647 98334  0 14 51 35  0
 5 20 128512 2887364   7352 60867560    0    0 2970112     0 64599 98942  0 13 52 35  0
 8 20 128512 479136   7320 63331400    0    0 2832000     0 64163 96119  0 22 45 33  0
 3 22 128512 451972   7320 63363296    0    0 2822272    40 63084 94719  0 21 45 33  0
10 19 128512 439636   7320 63372420    0    0 2856320     0 63640 96020  0 22 45 33  0
 8 21 128512 393412   7328 63420652    0    0 2870016    20 63506 96191  0 19 46 34  0
11 19 128512 447732   7328 63361916    0    0 2871936    12 63579 96309  0 17 47 35  0
10 18 128512 427504   7328 63383668    0    0 2891008     0 63778 96759  0 18 47 35  0
 2 22 128512 425216   7328 63390976    0    0 2899712     0 63904 97078  0 18 47 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7 20 128512 486368   7328 63327452    0    0 2945924    44 65175 98743  0 18 47 35  0
 7 20 128512 452372   7336 63361780    0    0 2969344    20 65075 99258  0 16 48 36  0
 6 21 128512 427568   7336 63385732    4    0 2970244     0 64965 99078  0 16 48 36  0
 4 22 128512 338492   7336 63455812    0    0 2989132     0 67238 101585  0 16 48 36  0
 9 19 128512 399704   7336 63397292    0    0 2778752     0 62588 93623  0 23 44 32  0
17 17 128512 396900   7336 63409832    0    0 2846336     0 63312 95502  0 20 45 34  0
 3 22 128512 515056   7360 63291344    0    0 2875400    76 63811 96365  0 20 46 34  0
13 16 128512 470896   7360 63336620    0    0 2823296     0 62892 94924  0 21 45 33  0
14 17 128512 403832   7360 63406860    0    0 2930304     0 64920 98050  0 19 46 35  0
 5 20 128512 416788   7360 63391820    0    0 2923776     0 64572 97781  0 19 46 34  0
 5 22 128512 445816   7360 63365416    0    0 2941696     0 64833 98507  0 18 47 35  0
 8 19 128512 402484   7372 63409660    0    0 2969600    68 65551 99157  0 18 47 35  0
 8 19 128512 420616   7372 63388224    0    0 2970112     0 65249 99286  0 17 47 36  0
 5 21 128512 421904   7372 63377024    0    0 2966784     0 65965 99521  0 17 47 36  0
 9 19 128512 402140   7372 63395000    0    0 2918784     0 64434 97623  0 18 47 35  0
 8 21 128512 374624   7372 63421332    0    0 2803072     0 62628 94316  0 22 44 33  0
 9 19 128512 582092   7500 63212680    0    0 2808456    72 62713 94394  0 23 44 33  0
10 19 128512 385712   7500 63409424    0    0 2899200     0 64527 97144  0 20 45 34  0
 8 21 128512 403864   7500 63403920    0    0 2905344     0 64488 97474  0 21 45 34  0
 6 20 128512 404752   7500 63395348    0    0 2929792     0 64681 97947  0 20 46 34  0
 5 21 128512 439208   7500 63360340    0    0 2914304     0 64552 97497  0 19 46 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 22 128512 463508   7508 63335304    0    0 2966528    68 65539 99210  0 20 45 35  0
 9 20 128512 420184   7508 63378264    0    0 2998272     0 65752 100032  0 18 46 36  0
