Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

04:52:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:52:04 AM  all    0.05    0.00    0.13    0.03    0.00    0.00    0.00    0.00    0.00   99.80
04:52:04 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM    3    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:52:04 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM    8    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:52:04 AM    9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:52:04 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   25    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:52:04 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   30    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
04:52:04 AM   31    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:52:04 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:52:04 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:52:04 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:52:05 AM  all    3.14    0.00   21.11    0.33    0.00    0.00    0.00    0.00    0.00   75.43
04:52:05 AM    0    5.00    0.00   26.00    1.00    0.00    0.00    0.00    0.00    0.00   68.00
04:52:05 AM    1    3.03    0.00   22.22    1.01    0.00    0.00    0.00    0.00    0.00   73.74
04:52:05 AM    2    3.92    0.00   27.45    0.98    0.00    0.00    0.00    0.00    0.00   67.65
04:52:05 AM    3    3.00    0.00   24.00    1.00    0.00    0.00    0.00    0.00    0.00   72.00
04:52:05 AM    4    4.08    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   71.43
04:52:05 AM    5    3.03    0.00   26.26    0.00    0.00    0.00    0.00    0.00    0.00   70.71
04:52:05 AM    6    3.06    0.00   23.47    1.02    0.00    0.00    0.00    0.00    0.00   72.45
04:52:05 AM    7    3.09    0.00   24.74    0.00    0.00    0.00    0.00    0.00    0.00   72.16
04:52:05 AM    8    3.03    0.00   21.21    0.00    0.00    0.00    0.00    0.00    0.00   75.76
04:52:05 AM    9    3.96    0.00   26.73    0.00    0.00    0.00    0.00    0.00    0.00   69.31
04:52:05 AM   10   19.39    0.00   46.94    0.00    0.00    0.00    0.00    0.00    0.00   33.67
04:52:05 AM   11    2.00    0.00   17.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
04:52:05 AM   12    2.97    0.00   14.85    0.99    0.00    0.00    0.00    0.00    0.00   81.19
04:52:05 AM   13    1.98    0.00   18.81    0.00    0.00    0.00    0.00    0.00    0.00   79.21
04:52:05 AM   14    1.96    0.00   17.65    0.98    0.00    0.00    0.00    0.00    0.00   79.41
04:52:05 AM   15    2.02    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   81.82
04:52:05 AM   16    1.98    0.00   17.82    0.00    0.00    0.00    0.00    0.00    0.00   80.20
04:52:05 AM   17    3.03    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   80.81
04:52:05 AM   18    2.00    0.00   18.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
04:52:05 AM   19    2.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
04:52:05 AM   20    3.06    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   72.45
