procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 128512 63511408   5444 176820    0    0   275   843    2    0  1  1 97  1  0
 2  1 128512 63512276   6208 177576    0    0  1992     0  702  991  0  0 100  0  0
 3 24 128512 62772036   9084 989484    0    0 201004    44 175788 344156  3  6 79 13  0
 6 21 128512 61666772   9092 2098032    0    0 540068   236 516914 1023959  1 12 50 37  0
 1 23 128512 60587464   9092 3181920    0    0 539860     0 515159 1018692  1 12 50 37  0
 3 24 128512 59507184   9092 4261132    0    0 543620     0 513676 1015522  1 12 50 37  0
11 17 128512 58428384   9092 5340004    0    0 548404     0 510482 1009010  1 12 49 37  0
 2 26 128512 57341576   9100 6426412    0    0 558620    20 509619 1005883  2 12 49 37  0
 3 20 128512 56248496   9108 7517560    0    0 567980    20 505948 997994  1 12 50 37  0
 8 19 128512 55145240   9108 8623488    0    0 581404    32 505565 990453  1 13 49 37  0
 7 20 128512 54025396   9108 9742548    0    0 599788     0 504293 986781  2 12 50 37  0
10 17 128512 52889452   9108 10877732    0    0 619180     0 501668 978217  1 12 50 37  0
 5 21 128512 51729748   9116 12039152    0    0 643284    32 502450 976052  1 12 50 37  0
 3 23 128512 50539300   9116 13229908    0    0 673788     0 503455 969942  1 12 49 37  0
 8 20 128512 49311052   9120 14457848    0    0 711892     0 506937 967357  1 12 49 37  0
 4 21 128512 48050552   9120 15715296    0    0 742096    48 510417 959231  1 13 49 36  0
 4 22 128512 46741160   9120 17024952    0    0 783756     0 519226 962811  2 12 49 37  0
 2 24 128512 45376832   9128 18391084    0    0 831608    20 530271 968683  2 13 49 37  0
15 14 128512 43954808   9128 19813560    0    0 875484     0 543017 975352  1 14 48 36  0
 9 20 128512 42455408   9128 21309968    0    0 931084     0 563072 990690  2 15 47 36  0
16 16 128512 40884188   9128 22883244    0    0 976900     0 588258 1008490  2 17 46 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
