procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 63826232   8428 275804    0    0     5  2022   86   84  0  1 98  1  0
 6  0    512 63823976   8564 275920    0    0   184     0  887 1258  0  0 100  0  0
77  0    512 59612892   9504 4533116    0    0 16156  6496 15775 73211  4 34 61  0  0
69  1    512 49777388   9504 14355572    0    0     0 135040 33217 164672  4 81 15  0  0
68  0    512 40411204   9508 23708820    0    0     4 1919648 112627 150804  4 84 13  0  0
14 24    512 34364176  10344 29749420    0    0  3064 2422596 59790 86617  1 33 40 25  0
12 22    512 29272876  10344 34829192    0    0     0 2279008 29772 71255  1 24 46 29  0
11 22    512 24364200  10364 39726368    0    0     4 2282392 30459 70935  1 26 43 30  0
26 22    512 19489740  10372 44588868    0    0     4 1978284 32068 69435  1 23 48 29  0
 3 24    512 14706544  10372 49364308    0    0     0 2276316 29191 66757  1 23 45 31  0
12 21    512 10170804  10388 53891020    0    0     4 2273152 29622 64950  1 22 46 31  0
24 20    512 5676760  10388 58372244    0    0     0 1980780 31972 64356  1 21 45 33  0
 6 24    512 1245992  10396 62779328    0    0     0 2200140 28716 63163  0 22 43 35  0
19 22    512 503448   8592 63588736    0    0     0 2408972 35328 62912  1 26 44 30  0
33 18    512 464656   8596 63627784    0    0    72 1992364 32854 63679  1 24 44 31  0
22 18    512 416544   8696 63675816    0    0    28 2306968 29846 61529  1 24 43 33  0
12 22    512 411052   8696 63683420    0    0     0 2115432 28766 62356  0 24 47 28  0
13 28    512 391008   8704 63705424    0    0     0 2166988 30524 69171  1 29 43 28  0
14 25    512 399036   8704 63694836    0    0     0 2003824 28701 60845  0 23 46 30  0
 9 25    512 521436   8704 63574684    0    0     0 2308436 30184 60380  1 23 45 31  0
16 23    512 392140   8720 63703476    0    0   608 1956380 33299 62830  1 23 47 29  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9 27    512 401456   8720 63696136    0    0     0 2392696 39554 62647  1 23 48 28  0
23 20    512 492212   8728 63604608    0    0     0 2097232 31031 60555  0 24 43 32  0
22 19    512 494656   8728 63600936    0    0     0 2178216 36849 60984  1 23 51 25  0
21 23    512 348140   8728 63749172    0    0     0 2041288 38221 60022  0 23 49 28  0
17 22    512 479060   9072 63620108    0    0   272 2315148 36577 60184  0 24 46 30  0
14 20    512 402820   9072 63698964    0    0     0 2062432 26608 61364  0 22 50 28  0
15 21    512 441848   9080 63649816    0    0     0 2143348 27150 63308  0 25 47 28  0
10 24    512 465432   9080 63626368    0    0     0 2256500 27910 76090  0 24 46 30  0
24 19    512 389528   9080 63703096    0    0    68 2055072 32012 61650  0 24 48 28  0
20 19    512 429400   9092 63661776    0    0     0 2046284 32045 61285  0 24 48 28  0
21 24    512 402348   9092 63688188    0    0     0 2338204 33925 61221  1 25 51 24  0
17 20    512 444688   9100 63647296    0    0     0 2041928 31664 65183  1 25 45 30  0
17 18    512 387444   9100 63706116    0    0     0 2243836 31456 60818  0 24 50 26  0
