procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 118784 63327048   4436 284400    0    0   240   771    3    2  1  1 98  0  0
 6  0 118784 63322548   4864 286280    0    0  1960     0  581  757  0  0 100  0  0
69  0 118784 60120876   7344 3492684    0    0 20932     0 373132 1077123  5 34 61  0  0
65  0 118784 54338244   7344 9276140    0    0     0     0 907761 2650465  6 79 15  0  0
57  0 118784 49556572   7356 14063764    0    0   124 113052 948382 2595461  6 82 12  0  0
40  0 118784 47672872   7356 15946172    0    0     0 1222372 551970 1376182  2 74 24  0  0
42  0 118784 45955780   7356 17663836    0    0     0 1169628 539351 1344699  2 72 26  0  0
50  0 118784 44152524   7364 19457220    0    0     0 1120428 598917 1490844  3 74 23  0  0
38  0 118784 42677540   7364 20931540    0    0     0 1188492 548499 1550183  2 72 27  0  0
 4  3 118784 41157392   7368 22440956    0    0    44 1064112 592548 2130112  3 71 25  0  0
56  0 118784 40634296   7372 22960280    0    0     0 2048096 328789 1953831  0 67 33  0  0
65  0 118784 39409184   7372 24167692    0    0     0 1281840 564903 2905567  3 69 28  0  0
35  0 118784 37731368   7384 25853616    0    0     4 564772 793390 3209378  5 69 26  0  0
40  0 118784 36765480   7384 26818196    0    0     0 1226448 598013 3281768  3 68 29  0  0
35  1 118784 35891096   7392 27689404    0    0     0 1235540 594423 3432456  3 67 30  0  0
40  0 118784 35426092   7392 28148648    0    0     0 1758148 425622 4925090  1 57 41  0  0
 4  0 118784 35119856   7392 28450788    0    0     0 1875528 365322 4156840  1 61 39  0  0
37  0 118784 34889920   7400 28681104    0    0     0 1854796 337283 5077322  0 57 42  0  0
65  0 118784 33900820   7400 29662592    0    0     0 483244 805506 3227866  5 68 27  0  0
 4  1 118784 32999164   7408 30572084    0    0     0 335932 855556 3514306  6 68 27  0  0
35  0 118784 32746828   7408 30821908    0    0     0 1667396 413609 4532207  1 60 39  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  0 118784 32588068   7408 30979492    0    0     0 1777448 352930 3638686  0 59 41  0  0
 5  0 118784 32417016   7416 31150036    0    0     0 1735068 375036 4446043  1 58 41  0  0
61  0 118784 32117164   7416 31448116    0    0     0 1350756 509264 3951128  2 61 36  0  0
54  1 118784 31431724   7424 32129716    0    0     0    64 995480 3121950  7 72 21  0  0
55  0 118784 31077552   7424 32483236    0    0     0 931028 679747 3975371  4 63 32  0  0
62  0 118784 30844008   7424 32714416    0    0     0 1243500 584784 3222482  3 67 31  0  0
38  0 118784 30617460   7432 32950036    0    0     0 1123680 616284 3992290  3 65 32  0  0
37  0 118784 30423452   7432 33142060    0    0     0 1264744 585011 3776565  3 64 33  0  0
11  0 118784 30236132   7440 33326696    0    0     0 1219424 621330 3562649  3 69 28  0  0
39  0 118784 30111728   7440 33445252    0    0     0 1590016 475223 4823853  2 59 40  0  0
 4  0 118784 30055632   7440 33503244    0    0     0 2117456 325440 4726775  0 56 43  0  0
53  0 118784 29885840   7448 33670840    0    0     0 844528 698260 3661821  4 65 31  0  0
47  0 118784 29702636   7448 33856880    0    0     0 595768 820643 3349011  5 69 26  0  0
35  0 118784 29595788   7456 33962096    0    0     0 1289636 584343 4014691  3 63 34  0  0
40  0 118784 29530212   7456 34026544    0    0     0 1629112 474405 3766729  2 65 34  0  0
