procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 180992 63447480   4940 157176    0    0   303   882    2    1  1  1 97  1  0
 6  0 180992 63438308   7020 164952    0    0  7776     0 2013 2229  0  0 99  0  0
71  7 180992 61575028   7808 2030204    0    0 741368    44 17618 19601  3 30 64  3  0
84 10 180992 56915440   7816 6688156    0    0 2326660   176 45374 49753  2 90  4  4  0
77  8 180992 52044836   7816 11563532    0    0 2432892     0 47492 56362  2 87  4  6  0
63  8 180992 47015392   7816 16589340    0    0 2508156     0 50630 64349  3 85  4  8  0
44 32 180992 42181444   7816 21425384    0    0 2409644     0 47746 58186  2 88  4  5  0
58 28 180992 37041124   7824 26568236    0    0 2565000    24 50930 70870  2 66  2 29  0
60 25 180992 32230804   7836 31376560    0    0 2399100    20 48099 62385  3 82  3 12  0
15 73 180992 26947108   7840 36663984    0    0 2634744    40 50707 71941  3 62  2 34  0
47 38 180992 21800224   7840 41814488    0    0 2572800     0 50266 69961  2 64  2 32  0
17 74 180992 16358644   7840 47255300    0    0 2711552     0 51785 74761  2 57  2 39  0
27 61 180992 10569664   7848 53042720    0    0 2886656    24 52307 81033  1 39  2 57  0
14 75 180992 4507748   7848 59105860    0    0 3023872     0 52712 85166  1 28  2 69  0
53  3 180992 631824   7768 63027604    0    0 2630784     0 49856 68019  1 63  3 33  0
63  7 180992 465332   7772 63195856    0    0 2121368    48 45785 55477  2 88  4  6  0
49 23 180992 355596   7772 63311280    0    0 2225540     0 46837 60737  2 82  4 12  0
28 55 180992 453824   7780 63215964    0    0 2188288    24 46487 61744  2 83  5 11  0
47 34 180992 598432   7768 63071156    0    0 2309120    12 47089 66876  3 68  3 26  0
20 67 180992 503472   7768 63097052    0    0 2351232     0 48331 68943  3 68  3 25  0
44 40 180992 386272   7764 63283012    0    0 2415744     0 49244 71713  1 64  3 31  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
