procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 180992 63505600   3848 165008    0    0   303   875    2    3  1  1 97  1  0
 1  2 180992 63502592   4656 165644    0    0  2148     0  726 1007  0  0 100  0  0
56  3 180992 59787316   7440 3871260    0    0 21452    48 200892 789425  5 32 63  0  0
61  0 180992 51831476   7448 11829920    0    0     4    64 452464 2065051  6 80 15  0  0
67  0 180992 44260440   7448 19398468    0    0     0 806260 528093 1867319  7 88  5  0  0
55  7 180992 37200856   7448 26460392   20    0    20 1195596 551021 1792780  6 86  7  1  0
37 10 180992 31897684   7448 31759120    0    0     0 1272040 602426 1380798  4 73 15  7  0
14 23 180992 28880528   7468 34778176    0    0     4 1443920 519117 889379  2 42 33 23  0
 6 23 180992 26198896   7468 37458884    0    0   568 1418080 495050 837603  2 39 33 26  0
30 18 180992 23515108   7472 40142148    0    0    64 1455856 490612 837765  2 40 34 25  0
24 18 180992 20896488   7592 42756788    0    0   120 1444200 483295 773501  2 40 35 24  0
20 16 180992 18200340   7592 45453584    0    0     0 1555432 508873 876130  2 42 32 24  0
13 22 180992 15447128   7608 48200744    0    0     0 1468828 474674 843483  2 44 30 24  0
28 17 180992 12816392   7608 50826812    0    0     0 1509752 499632 848019  2 42 31 25  0
20 17 180992 10164852   7608 53472656    0    0     0 1497648 503338 852208  2 45 31 23  0
36 14 180992 7518872   7612 56114132    0    0     4 1561904 528509 891507  2 45 31 22  0
17 18 180992 4902916   7612 58719664    0    0     0 1448236 505899 882723  2 44 31 23  0
21 20 180992 2401492   7628 61217568    0    0     0 1503896 528160 836513  2 42 32 24  0
38 13 180992 470440   7388 63149240    0    0     0 1576492 500121 831562  2 44 31 23  0
19 19 180992 453188   7384 63173184    0    0     0 1524180 493075 869563  2 49 28 20  0
34 18 180992 379560   7384 63245840    0    0     0 1526760 521045 846774  2 47 30 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25 15 180992 457408   7388 63171988    0    0     8 1494364 499109 851593  2 49 29 20  0
40 15 180992 396472   7404 63233780    0    0     0 1484520 499657 871077  2 48 29 21  0
25 17 180992 390144   7404 63239376    0    0     0 1484312 493033 894020  2 48 29 21  0
28 20 180992 467184   7404 63171292    0    0   648 1508948 515077 864063  2 48 29 21  0
37 13 180992 456124   7404 63186136    0    0     0 1506672 495952 869795  2 45 32 22  0
36 15 180992 458972   7404 63184948    0    0     0 1464192 487046 777557  2 47 30 22  0
24 20 180992 440676   7440 63202340    0    0     8 1376800 490141 836055  2 45 31 22  0
37 15 180992 451028   7440 63194252    0    0     0 1627428 449454 807954  2 47 30 21  0
38 14 180992 417652   7440 63224792    0    0     0 1534820 486000 873610  2 49 29 21  0
33 16 180992 384008   7440 63261576    0    0     0 1530100 468888 833845  2 47 30 22  0
21 18 180992 499888   7440 63146748    0    0     0 1484796 452009 820627  2 48 29 21  0
33 14 180992 411188   7460 63232844    0    0     0 1455324 489257 859971  2 47 29 22  0
27 17 180992 433648   7460 63212608    0    0     0 1410064 470464 826461  2 47 29 22  0
27 16 180992 412016   7460 63233468    0    0    60 1477744 512966 857066  2 47 30 21  0
33 18 180992 397840   7460 63251476    0    0     0 1478484 506697 829043  2 46 31 21  0
22 17 180992 429196   7460 63217416    0    0     0 1434488 500199 856780  2 48 29 21  0
20 15 180992 464076   7480 63185260    0    0     0 1511316 537477 874563  2 48 29 21  0
35 15 180992 453416   7484 63193820    0    0     4 1406900 493368 885410  2 48 30 21  0
29 15 180992 418164   7484 63226636    0    0     0 1445744 514631 888422  2 47 30 21  0
24 20 180992 396704   7484 63249844    0    0     0 1412912 500596 867735  2 46 30 22  0
39 13 180992 439848   7484 63203676    0    0     0 1598788 457367 876421  2 49 28 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
37 15 180992 562764   7500 63083144    0    0     0 1538932 466708 912253  2 50 28 20  0
23 20 180992 431784   7500 63219896    0    0     0 1601600 463674 877522  2 51 27 20  0
30 18 180992 477640   7500 63175164    0    0     0 1446328 476646 891900  2 49 28 21  0
22 16 180992 451760   7500 63199864    0    0     0 1434188 495013 831093  2 47 30 21  0
11 24 180992 489648   7500 63163968    0    0     0 1390828 497105 893809  2 47 30 22  0
27 17 180992 496872   7516 63154952    0    0     0 1427276 487954 775966  2 47 30 21  0
31 18 180992 439860   7520 63209096    0    0     4 1436148 512558 813566  2 46 31 21  0
30 15 180992 459208   7520 63191112    0    0     0 1433700 503120 825419  2 46 31 22  0
28 17 180992 458340   7520 63193000    0    0     0 1405268 501060 826259  2 47 29 22  0
