procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 180736 63469604   3864 168856    0    0   315   895    2    2  1  1 97  1  0
 6  1 180736 63464620   4576 170136    0    0  2072   340  810 1129  0  0 100  0  0
59  0 180736 58680868   7584 4946616    0    0 21628     0 17984 183056  3 41 56  0  0
61  0 180736 47358356   7584 16266784    0    0     0 399488 34883 478016  1 97  3  0  0
 9 27 180736 38260748   7584 25369320    0    0     0 2195700 34797 401620  1 69 16 14  0
29 18 180736 34831736   7584 28790648    0    0     0 2120484 34570 70816  0 32 36 31  0
23 15 180736 36030508   7592 27578416    0    0     0 2152836 47938 102486  0 50 29 20  0
46  9 180736 39043356   7608 24591024    0    0     8 2302856 50688 104609  1 58 25 16  0
25 17 180736 38490236   7608 25161268    0    0     0 1922944 45699 94772  1 48 28 23  0
14 19 180736 37470636   7608 26178704    0    0     0 2360336 40622 85644  0 33 35 31  0
31 17 180736 35996420   7608 27645576    0    0     0 2126160 41800 87994  0 35 34 31  0
22 21 180736 37398596   7616 26237812    0    0     0 2092664 41371 88888  0 34 35 31  0
16 22 180736 37947824   7800 25702768    0    0   184 2044080 36847 75614  0 32 35 33  0
24 18 180736 36383044   7800 27250816    0    0     0 2226552 46516 100216  1 46 29 24  0
30 16 180736 36954156   7800 26692088    0    0     0 2212908 52521 122930  1 48 29 22  0
15 21 180736 37061880   7800 26580048    0    0     0 2137108 52099 116895  1 41 34 24  0
 6 21 180736 37357556   7808 26293824    0    0     0 2043660 43286 96295  0 35 36 29  0
20 18 180736 38994436   7816 24652040    0    0     0 2111752 39575 83816  0 39 32 28  0
17 20 180736 38454128   7816 25190904    0    0     0 2161560 46963 102431  0 40 35 25  0
12 23 180736 36945540   7816 26709448    0    0     0 2496744 40937 85807  0 36 34 30  0
26 19 180736 36836236   7816 26811808    0    0     0 2147528 40910 85939  0 34 35 31  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20 18 180736 38030568   7824 25626296    0    0     0 2063760 43982 98605  0 37 34 29  0
27 17 180736 37554416   7832 26091748    0    0     0 2079032 52559 130066  0 43 33 23  0
