Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

10:35:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:57 AM  all    0.25    0.00    0.45    0.10    0.00    0.00    0.00    0.00    0.00   99.20
10:35:57 AM    0    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
10:35:57 AM    1    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
10:35:57 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM    3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
10:35:57 AM    4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:35:57 AM    5    1.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   95.00
10:35:57 AM    6    0.00    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
10:35:57 AM    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:35:57 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM    9    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
10:35:57 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:57 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
