procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 180736 63371716   4840 168360    0    0   312   886    2    2  1  1 97  1  0
 6  1 180736 63355460   7952 175008    0    0  9008     0 1982 2346  0  0 99  0  0
21 44 180736 62052256   8732 1570192    0    0 473788    44 340352 768193  5  9 62 24  0
12 50 180736 59810696   8740 3810460    0    0 1118776   248 816034 1830361  7 21 13 59  0
14 49 180736 57498356   8740 6122892    0    0 1177432     0 835331 1864654  5 21 13 60  0
19 45 180736 55209704   8740 8410992    0    0 1194592     0 809316 1792569  5 21 14 60  0
10 53 180736 52849484   8872 10770412    0    0 1272356     0 802538 1773659  3 22 15 60  0
15 47 180736 50505380   8880 13113324    0    0 1311452    24 765583 1664643  8 20 14 58  0
18 46 180736 48149432   8888 15470892    0    0 1372924    20 739176 1562276  9 19 15 57  0
16 47 180736 45719648   8888 17901684    0    0 1462368    44 736727 1504180 11 19 15 55  0
24 37 180736 43113968   8888 20506732    0    0 1605504     0 772478 1521085  9 20 16 55  0
21 44 180736 40241196   8888 23376632    0    0 1774312     0 842738 1583047  5 23 18 54  0
24 34 180736 37924824   8896 25693116    0    0 1376924    32 695812 1268716 29 20 14 37  0
29 27 180736 35716308   8896 27901616    0    0 1196488     0 699143 1287219 34 23 15 28  0
35 13 180736 33142632   8896 30475680    0    0 1064896     0 923350 1835134 13 43 21 23  0
40 12 180736 31297740   8900 32319660    0    0 345632    48 802345 1785472  7 57 23 12  0
38  6 180736 30226248   8900 33391372    0    0 44556     0 537473 1233629  8 62 23  8  0
36  2 180736 29709396   8908 33907396    0    0  4836    24 280460 628179  9 66 21  5  0
32  0 180736 29504772   8908 34113112    0    0   916     0 122796 258229  8 69 20  2  0
33  1 180736 29426652   8908 34191364    0    0   212     0 54803 104663  9 70 20  1  0
32  0 180736 29400948   8908 34216548    0    0    36    48 26355 40157 10 70 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0 180736 29382808   8908 34224456    0    0    20     0 17410 18286 11 70 19  0  0
32  0 180736 29382052   8916 34226180    0    0     4    20 13518 10486 10 70 20  0  0
32  0 180736 29381800   8916 34226772    0    0     0     0 12919 8845 10 70 19  0  0
32  0 180736 29381584   8916 34226940    0    0     0     0 12598 8274 10 71 20  0  0
32  0 180736 29381600   8916 34227028    0    0     0     0 12541 8132  9 71 19  0  0
33  0 180736 29381856   8924 34227080    0    0     4    36 12599 8094  9 71 19  0  0
32  0 180736 29381868   8936 34227072    0    0     0    40 12511 8035 10 70 20  0  0
32  0 180736 29382120   8936 34227088    0    0     0     0 12535 8090 10 70 20  0  0
32  0 180736 29382120   8936 34227092    0    0     0     0 12418 7924 10 70 20  0  0
32  0 180736 29382132   8936 34227096    0    0     0     0 12604 8099 11 70 19  0  0
32  0 180736 29374068   8936 34227152    0    0    44    40 13305 8766 10 72 18  0  0
32  0 180736 29373592   8948 34227176    0    0     0    32 12587 8097 10 70 20  0  0
32  0 180736 29373592   8948 34227192    0    0     0     0 12706 8251 10 70 19  0  0
32  0 180736 29373592   8948 34227200    0    0     0     0 12619 8275 10 71 19  0  0
32  0 180736 29373592   8948 34227204    0    0     0     0 12478 7975 11 70 20  0  0
32  0 180736 29373592   8948 34227208    0    0     0    36 12637 8194 10 70 20  0  0
33  0 180736 29373848   8956 34227204    0    0     0    36 12717 8232 11 70 19  0  0
32  0 180736 29373848   8956 34227216    0    0     0     0 12541 8069 10 70 20  0  0
32  0 180736 29373848   8956 34227220    0    0     0     0 12589 8123 11 70 20  0  0
34  0 180736 29373608   8956 34227224    0    0     0     0 12582 8127 10 70 20  0  0
32  0 180736 29367336   8956 34227260    0    0     0    44 13234 8709 10 71 19  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0 180736 29367336   8964 34227256    0    0     0    24 12604 8204 10 71 19  0  0
32  0 180736 29367084   8964 34227272    0    0     0     0 12452 7974 10 70 20  0  0
33  0 180736 29367084   8964 34227272    0    0     0     0 12626 8215 11 70 19  0  0
32  0 180736 29367084   8964 34227284    0    0     0     0 12585 8104 10 70 20  0  0
32  0 180736 29367084   8964 34227288    0    0     0     0 12552 8129 10 70 20  0  0
33  0 180736 29367084   8980 34227284    0    0     4    84 12547 8127 10 71 20  0  0
32  0 180736 29367084   8980 34227300    0    0     0     0 12701 8171 11 70 19  0  0
32  0 180736 29367084   8980 34227300    0    0     0     0 12516 8035 10 70 20  0  0
32  0 180736 29367084   8980 34227304    0    0     0     0 12633 8285 11 70 20  0  0
32  0 180736 29361292   8980 34227312    0    0     0     0 13151 8683 11 71 19  0  0
32  0 180736 29361052   8988 34227304    0    0     0    64 12549 8035 10 70 20  0  0
32  0 180736 29361052   8988 34227316    0    0     0     0 12608 8116 10 70 20  0  0
32  0 180736 29361052   8988 34227320    0    0     0     0 12548 8123 10 70 20  0  0
32  0 180736 29361052   8988 34227320    0    0     0     0 12611 8212 10 70 19  0  0
32  0 180736 29361052   8988 34227332    0    0     0     0 12631 8198 10 70 19  0  0
32  0 180736 29361052   8996 34227328    0    0     0    24 12441 7977 11 69 20  0  0
32  0 180736 29360812   8996 34227344    0    0     0    36 12605 8193 11 70 20  0  0
32  0 180736 29360812   8996 34227344    0    0     0     0 12611 8159 10 70 19  0  0
32  0 180736 29360812   8996 34227352    0    0     0     0 12459 7907 10 71 20  0  0
32  0 180736 29355552   8996 34227352    0    0     0     0 13117 8669 10 71 19  0  0
