procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 180736 63413764   6500 172348    0    0   313   886    3    1  1  1 97  1  0
 6  1 180736 63409996   6584 172692    0    0   204     0 1248 1474  0  0 99  0  0
60  0 180736 59982360   7256 3627300    0    0 15872     0 188640 700876  5 37 58  0  0
54  0 180736 53607528   7256 10003688    0    0     0     0 480170 1757164  6 89  5  0  0
64  0 180736 48521916   7256 15090764    0    0     0 449132 503083 1780706  6 88  5  0  0
62  3 180736 44456400   7260 19157376    0    0     0 1787644 598791 1741894  7 89  5  0  0
63  0 180736 41175640   7264 22433888    0    0     0 1849796 606408 1724879  7 89  4  0  0
66  0 180736 38621928   7272 24988500    0    0     0 1980932 596830 1625582  6 90  4  0  0
60  0 180736 36583248   7272 27026484    0    0     0 2123860 591821 1670804  6 90  4  0  0
65  0 180736 34970568   7272 28633444    0    0     0 2069268 530305 1582608  6 89  5  0  0
64  1 180736 33721544   7280 29880984    0    0     0 2024400 522443 1621411  6 89  5  0  0
55  0 180736 32736264   7284 30863984    0    0     4 1916332 575292 1651493  6 90  4  0  0
62  0 180736 31972800   7292 31622572    0    0     0 2053856 560518 1617654  6 89  5  0  0
61  0 180736 31391716   7292 32201036    0    0     0 2090280 565192 1731646  6 89  5  0  0
62  0 180736 30927168   7292 32660080    0    0     0 1883868 569997 1644465  6 89  5  0  0
64  1 180736 30569580   7300 33015016    0    0     0 2049008 573151 1737905  6 89  5  0  0
63  0 180736 30296692   7300 33287996    0    0     0 2124276 567867 1809162  6 89  5  0  0
61  0 180736 30075408   7308 33508360    0    0     0 1993656 538996 1788983  6 88  6  0  0
61  0 180736 29904508   7308 33676376    0    0     0 1823304 558627 1805382  6 87  6  0  0
62  0 180736 29769572   7308 33806472    0    0    44 2044060 546787 1776924  6 89  5  0  0
62  0 180736 29668552   7316 33908128    0    0     0 2057596 564933 1832256  6 88  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
63  0 180736 29585896   7316 33992976    0    0     0 2092948 598997 1865397  6 88  6  0  0
60  0 180736 29520376   7324 34056560    0    0     0 2038456 571732 1715049  6 89  5  0  0
52  0 180736 29467992   7324 34107292    0    0     0 2079656 521812 1576357  6 89  5  0  0
63  0 180736 29427924   7324 34145692    0    0     0 1917852 595973 1731755  6 88  5  0  0
60  0 180736 29391464   7332 34179452    0    0     0 2055040 616130 1883539  6 89  5  0  0
60  0 180736 29358964   7332 34209044    0    0     0 2039772 589208 1761206  6 88  5  0  0
60  0 180736 29316488   7340 34246508    0    0     0 2037004 610585 1714069  6 90  4  0  0
56  0 180736 29281880   7344 34279556    0    0     0 1963388 608529 1626775  6 90  4  0  0
53  0 180736 29244332   7344 34305168    0    0     0 2040184 578101 1650802  6 89  4  0  0
61  0 180736 29228016   7356 34325776    0    0     0 1954724 605323 1604588  6 90  4  0  0
62  0 180736 29212516   7356 34340040    0    0     0 2033612 588023 1727719  6 88  6  0  0
59  0 180736 29204984   7364 34346568    0    0     0 1957792 595450 1683377  6 89  5  0  0
65  0 180736 29195660   7364 34351684    0    0     0 1984140 546794 1726933  6 89  5  0  0
55  0 180736 29191120   7364 34356280    0    0     0 1972164 558065 1600317  6 90  4  0  0
60  0 180736 29182900   7372 34360180    0    0     0 2134240 575981 1764507  6 89  5  0  0
59  0 180736 29179204   7372 34363348    0    0     0 2005812 598287 1798447  6 89  5  0  0
62  0 180736 29175088   7380 34365888    0    0     0 1860228 520741 1538416  6 90  4  0  0
59  0 180736 29171840   7380 34368624    0    0     0 1958940 529281 1554298  6 90  4  0  0
58  0 180736 29162844   7380 34370940    0    0     0 2011336 506913 1545134  6 89  5  0  0
55  1 180736 29158864   7388 34379164    0    0     0 2067648 608803 1763659  6 88  5  0  0
62  0 180736 29152312   7388 34385684    0    0     0 2071384 564131 1692684  7 89  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
54  0 180736 29149036   7396 34390064    0    0     0 1960120 593230 1708453  6 89  4  0  0
63  0 180736 29146612   7396 34391160    0    0     0 1972356 576568 1746042  6 89  5  0  0
61  0 180736 29146552   7396 34392144    0    0     0 1975572 509871 1581760  6 88  5  0  0
64  0 180736 29143024   7408 34392996    0    0     0 2003456 556107 1769747  6 88  5  0  0
67  0 180736 29142280   7408 34393712    0    0     0 2109252 604730 1823632  6 88  6  0  0
58  0 180736 29140432   7416 34394460    0    0     0 1996144 605249 1860606  6 89  5  0  0
61  0 180736 29138808   7416 34395108    0    0     0 2085556 572540 1821542  6 88  5  0  0
60  0 180736 29130548   7416 34395844    0    0     0 2033916 577247 1657971  6 89  5  0  0
64  0 180736 29127976   7424 34396460    0    0     0 2001116 571710 1647289  6 90  4  0  0
59  1 180736 29127080   7424 34396988    0    0     0 1981496 526593 1671907  6 90  4  0  0
65  0 180736 29125968   7432 34397652    0    0     0 2049200 562284 1707033  6 90  4  0  0
57  0 180736 29125740   7432 34398312    0    0     0 1946416 569355 1820057  6 90  4  0  0
67  0 180736 29125292   7436 34398832    0    0     4 2192668 572059 1750959  7 89  4  0  0
66  0 180736 29125040   7444 34399348    0    0     0 1924484 544540 1788636  6 88  5  0  0
61  0 180736 29123344   7448 34399804    0    0     4 2134476 548049 1915452  6 89  5  0  0
65  0 180736 29123120   7456 34400376    0    0     0 2021152 602602 1929957  6 88  6  0  0
60  0 180736 29122348   7456 34400960    0    0     0 2092236 521595 1734102  6 89  4  0  0
61  0 180736 29114084   7456 34401344    0    0     0 2039644 530021 1786135  7 89  4  0  0
59  0 180736 29113452   7464 34401688    0    0     0 1870132 512867 1808623  7 89  4  0  0
57  0 180736 29112828   7464 34402148    0    0     0 2098460 527396 1818326  6 89  5  0  0
