Script started on 2025-11-17 02:46:36+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   66796   195351    42623   25.48%           18       6332
       0    69661    61359    0.00%           18       6721
       0    77136    62333    0.00%           18       6879
       0    81629    67681    0.00%           18       7385
       0    79518    65237    0.00%           18       7505
       0    81355    67964    0.00%           19       7967
       0    83644    67778    0.00%           19       8180
       0    82220    68351    0.00%           19       8647
       0    84607    66192    0.00%           19       8847
       0    81297    67747    0.00%           19       9309
   10925   102185    66778    9.66%           19       9508
       0    81100    67469    0.00%           19       9968
       0    83427    68527    0.00%           19      10191
       0    81433    68140    0.00%           19      10656
       0    81134    67593    0.00%           19      10859
       0    77919    66175    0.00%           19      11300
       0    76260    65309    0.00%           19      11476
       0    73158    63900    0.00%           19      11954
       0    74118    64125    0.00%           19      12056
       0    95713    69381    0.00%           19      12024
   12949   446446   229276    2.82%           19       9417
       0   213703   123508    0.00%           19       9072
       0   401180   220700    0.00%           19      11450
       0   219712   129590    0.00%           20      11466
       0   259953   154488    0.00%           20      12970
       0   123878    85808    0.00%           20      13119
       0    72722    58643    0.00%           20      11375
       0     6733    23331    0.00%           20       6304
       0   279127   157445    0.00%           20       7750
       0   253597   142893    0.00%           20       8389
    9678   392930   206027    2.40%           20      10653
       0   273249   148603    0.00%           20      11093
       0   275775   159618    0.00%           20      12614
       0    67702    56806    0.00%           20      12456
       0    32885    39494    0.00%           20       9354
       0    37924    40348    0.00%           21       6409
       0    78312    64698    0.00%           21       6594
       0    77401    65088    0.00%           21       7101
       0    66337    57337    0.00%           21       6172
    4367    28322    18805   13.36%           21       6211

Script done on 2025-11-17 02:47:18+00:00 [COMMAND_EXIT_CODE="143"]
