Script started on 2025-11-17 02:54:31+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  205812   322663    51279   38.94%           21      10260
  884338   227604    51398   79.53%           21      11214
 1073773   213670    42445   83.40%           21      11942
 1259540   185590    34659   87.16%           21      12692
 1394254   175567    31286   88.82%           21      13365
 1518925   158846    22327   90.53%           21      13894
 1577738   171030    22835   90.22%           21      14581
 1631059   151540    24436   91.50%           21      15196
 1755931   126325    23932   93.29%           21      15711
 1834403   116251    22829   94.04%           21      16118
 1863077   107499    24465   94.54%           21      16561
 1914538    86151    24259   95.69%           22      16896
 1941774    78018    24682   96.14%           22      17225
 1940577    82062    23942   95.94%           22      17502
 1948402    81432    25000   95.99%           22      17845
 1973920    77572    25904   96.22%           22      18177
 1978497    72095    25182   96.48%           22      18420
 2027195    68664    26067   96.72%           22      18717
 2018542    62934    25198   96.98%           22      18989
 2023603    59808    23826   97.13%           22      19179
 2005677    58098    25198   97.18%           22      19432
 1995259    56551    25854   97.24%           22      19636
 1998061    54570    26881   97.34%           22      19881
 1983481    57498    25714   97.18%           22      20069
 1991506    56364    27281   97.25%           22      20323
 2038288    51382    26217   97.54%           22      20489
 2008903    50992    27630   97.52%           22      20724
 1999780    49469    26291   97.59%           22      20882
 1980622    49252    27427   97.57%           22      21109
 1963262    42654    26588   97.87%           23      21242
 1996500    46123    26670   97.74%           23      21453
 1971008    45598    26104   97.74%           23      21620
 1989254    44770    27569   97.80%           23      21831
 1906972    40440    25317   97.92%           23      21950
 1856481    39270    26745   97.93%           23      22135
 1236176   228085     5819   84.42%           23      20633
 1249191   169606    11223   88.05%           23      19246
 1333602   117644    10325   91.89%           23      17688
 1395227    84124    10725   94.31%           23      17449
 1404018    64916    11610   95.58%           23      17739
 1436733    64280    10040   95.72%           23      17569
 1486144    55629    11333   96.39%           23      17821
 1447144    43983    11165   97.05%           23      17962
 1512288    38982    11727   97.49%           23      18150
 1479029    43238    11177   97.16%           23      17855
 1542715    40305    11382   97.45%           23      18047
 1510897    33433    10657   97.84%           23      18145
 1526294    31486    12419   97.98%           23      18307
 1503839    36087    10863   97.66%           23      18031
 1543749    31735    11389   97.99%           23      18190
 1529265    26843    11231   98.27%           23      18264
 1566128    26168    11871   98.36%           23      18403
 1520395    32203    11543   97.93%           23      18113
 1532439    30941    11520   98.02%           23      18269
 1522322    24958    10959   98.39%           23      18334
 1554828    24016    12246   98.48%           23      18467
 1499659    29604    11482   98.06%           23      18167
 1494636    27170    11686   98.21%           23      18309
 1488310    22125    10560   98.54%           23      18363
 1480100    25927    11351   98.28%           23      18114
 1495513    28037    11502   98.16%           23      18258
 1517632    21906    10916   98.58%           23      18312
 1493878    21745    12503   98.57%           23      18435
 1488123    28283    11042   98.13%           23      18171
 1513135    25710    11460   98.33%           23      18307
 1540016    21903    11355   98.60%           23      18362
 1517926    20368    12507   98.68%           23      18481
 1490174    28173    10859   98.14%           23      18167
 1514977    25985    11752   98.31%           23      18305
 1506336    21293    10808   98.61%           23      18355
 1530514    20599    12220   98.67%           23      18474
 1506295    26678    11287   98.26%           23      18163
 1521530    24799    12256   98.40%           23      18297
 1528624    20462    11696   98.68%           23      18348
 1503018    22412    13750   98.53%           23      18171
 1403914    51146    37642   96.48%           23      18509
 1419824    38549    30101   97.36%           23      18518
 1562890    56470    10778   96.51%           23      18399
 1607707    21290    11129   98.69%           23      18452
 1507914    22877    11679   98.51%           23      18147
 1524246    23869    12064   98.46%           23      18277
 1530374    18204    10705   98.82%           23      18315
 1524957    16210    12008   98.95%           23      18415
 1508157    21425    11357   98.60%           23      18084
 1511042    22666    11939   98.52%           23      18209
 1535273    17955    10759   98.84%           23      18247
 1540145    16103    11950   98.97%           23      18346
 1540650    14558    11756   99.06%           23      18375
 1543190    14830    11888   99.05%           23      18327
 1494380    29844    12509   98.04%           23      18088
 1525793    20858    11476   98.65%           23      18140
 1549392    18370    12013   98.83%           23      18248
 1551520    15430    10991   99.02%           23      18277
 1556873    15090    12261   99.04%           23      18374
 1545361    17453    11361   98.88%           23      18008
 1543238    29052    11899   98.15%           23      18048
 1576605    20653    10732   98.71%           23      18097
 1545196    16004    11742   98.97%           23      18195
 1535298    17898    11532   98.85%           23      17851
 1525468    25327    12030   98.37%           23      17986
 1501332    18017    11096   98.81%           23      18026
 1502505    16228    12018   98.93%           23      18125
 1516358    13743    11729   99.10%           23      18151
 1457803    23130    11841   98.44%           23      17833
 1492796    21216    12004   98.60%           23      17952
 1499800    17573    12533   98.84%           23      17995
 1439857    15750    13408   98.92%           23      18034
  925418    17363    16442   98.16%           23      18159
  123550    12143     9644   91.05%           23      17610
   10160        0      114  100.00%           23      17603

Script done on 2025-11-17 02:56:23+00:00 [COMMAND_EXIT_CODE="143"]
