Script started on 2025-11-17 02:57:58+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  482358   531835    39413   47.56%           20      11910
 1304750   494324    40938   72.52%           20      13854
 1612333   220653    53482   87.96%           20      14777
 1680176   138999    58005   92.36%           20      15396
 1516030   162171    83797   90.34%           20      15749
 1720841   124865    54769   93.23%           20      16299
 1636528   124828    75580   92.91%           20      16934
 1678604   126533    64016   92.99%           20      17049
 1817871    96301    59767   94.97%           20      17508
 1647575   132038    81964   92.58%           20      17802
 1830249    92751    57435   95.18%           20      18175
 1757278    96567    69809   94.79%           20      18674
 1648449   135442    89977   92.41%           20      18988
 1771215   111098    88771   94.10%           20      19620
 1565878   129949   111866   92.34%           21      20416
 1586753   157104    55874   90.99%           21      20319
 1722086   102786    59791   94.37%           21      20803
 1457225   121621    81411   92.30%           21      21031
 1817014    80643    59279   95.75%           21      21408
 1623914    91808    79358   94.65%           21      21927
 1785735    99372    62167   94.73%           21      21926
 1855477    72532    61441   96.24%           21      22299
 1620617   131207    97022   92.51%           21      22622
 1748064   100337    91049   94.57%           21      23221
 1585558   107116   101029   93.67%           21      23887
 1550125   159271    75360   90.68%           21      23817
 1672290    99680    62914   94.37%           21      24302
 1528438   116591    86244   92.91%           21      24529
 1808419    75853    60562   95.97%           21      24887
 1632222    83965    77270   95.11%           21      25368
 1742085    93858    64191   94.89%           21      25352
  617411   417690   201303   59.65%           21      24070
  290932   599475   258212   32.67%           21      24338
  192218   293742   125796   39.55%           22      21513
  331606   513928   236362   39.22%           22      23195
  247370   453146   256017   35.31%           22      25141
  314882   451793   221814   41.07%           22      26310
  373807   508474   250048   42.37%           22      28573
  500624   401414   196538   55.50%           23      29098
  465695   398278   174134   53.90%           23      30648
  377137   249381    91649   60.20%           23      28313
  498093   220055    93192   69.36%           23      25079
  651874   204309    75150   76.14%           23      19939
  678250   201099    94531   77.13%           23      15675
  753800   219796   105041   77.42%           23      13892
  902287   185476    90319   82.95%           23      14789
  823742   215704   110909   79.25%           23      15512
  977717   180807    93190   84.39%           23      16495
  932913   164969   100538   84.97%           23      17390
  886252   156784    31656   84.97%           24      15321
  746057   248425    61189   75.02%           24      14928
  711764   168567    72740   80.85%           24      12948
  217528    45851    37596   82.59%           24      12724

Script done on 2025-11-17 02:58:53+00:00 [COMMAND_EXIT_CODE="143"]
