Script started on 2025-11-17 02:31:56+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   44978   175030    43985   20.44%           19       6710
       0    57449    63164    0.00%           19       7103
       0    64119    68918    0.00%           19       7228
       0    66834    69175    0.00%           19       7697
       0    67796    69641    0.00%           19       7852
       0    62645    68398    0.00%           19       8303
       0    63743    70132    0.00%           20       8382
       0    62718    67756    0.00%           20       8828
    4976    92820    72425    5.09%           20       8982
   52419    91990    66924   36.30%           20       9127
       0    68904    68766    0.00%           20       9598
       0    67032    67633    0.00%           20       9747
       0    70142    70698    0.00%           20      10235
       0    67720    68263    0.00%           20      10317
       0    65430    68105    0.00%           20      10777
       0    65820    67309    0.00%           20      10915
       0    67030    68955    0.00%           20      11384
       0    70394    69329    0.00%           20      11548
       0    71995    70131    0.00%           20      11715
    6170    90779    67944    6.36%           20      12172
       0    62349    66579    0.00%           20      12296
       0    63268    69824    0.00%           20      12686
       0    69622    71903    0.00%           21      12860
       0    66664    70024    0.00%           21      13331
       0    57503    63695    0.00%           21      12563
    6211    30907    40079   16.73%           21       6799
       0    23654    45325    0.00%           21       6942
       0    26637    46216    0.00%           21       6968
       0    23691    44749    0.00%           21       7233
   13594   190107   110718    6.67%           21       7992
       0   413163   233729    0.00%           21      10592
       0   178411    99654    0.00%           21      10352
       0   377669   217779    0.00%           21      12729
       0   215943   135745    0.00%           21      12692
       0   144797    93102    0.00%           21      10223
   11343       11      272   99.90%           21       8823

Script done on 2025-11-17 02:32:35+00:00 [COMMAND_EXIT_CODE="143"]
