Script started on 2025-11-17 02:35:36+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  821499   182075    28671   81.86%           20      13504
 3520820    42628    21933   98.80%           20      13691
 3730731    42527    22377   98.87%           20      13814
 3821433    55631    25813   98.57%           20      14064
 3811186    51577    23397   98.66%           20      14253
 3786536    55642    22167   98.55%           20      14465
 3821593    55910    24239   98.56%           20      14710
 3867699    52546    24958   98.66%           20      14882
 3801622    50681    20109   98.68%           20      15093
 3766420    47117    19918   98.76%           20      15288
 3845261    53182    24610   98.64%           21      15526
 3841710    55289    24266   98.58%           21      15705
 3802236    50347    21405   98.69%           21      15919
 3807906    48406    18193   98.74%           21      16113
 3824691    44477    21787   98.85%           21      16241
 3806948    47559    20780   98.77%           21      16441
 3805130    48231    20713   98.75%           21      16645
 3799606    48516    20892   98.74%           21      16849
 3839860    44844    18927   98.85%           21      17038
 3838197    44841    19615   98.85%           21      17158
 3778696    47056    20789   98.77%           21      17357
 3801026    48200    18576   98.75%           21      17552
 3782076    47716    22167   98.75%           21      17758
 3821772    48460    21104   98.75%           21      17964
 3801569    45001    20748   98.83%           21      18090
 3772941    48300    19200   98.74%           21      18288
 3820184    54648    24113   98.59%           21      18528
 3785476    49744    22536   98.70%           21      18745
 3780271    44385    19402   98.84%           21      18863
 3817096    48091    20964   98.76%           21      19067
 3773939    48005    21301   98.74%           21      19271
 3794091    49605    18851   98.71%           21      19472
 3782063    46905    21895   98.77%           21      19674
 3782306    45632    21564   98.81%           21      19806
 1332580    34667    15400   97.46%           21      17400
   10037        0      426  100.00%           21      17141

Script done on 2025-11-17 02:36:14+00:00 [COMMAND_EXIT_CODE="143"]
