Script started on 2025-11-17 02:39:51+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   71657   237203    27986   23.20%           21      14354
 1115522   296954    24398   78.98%           21      15540
 1410116   213439    23560   86.85%           21      16390
 1666193   212510    23117   88.69%           21      17169
 1748069   218958    26012   88.87%           21      18051
 1846963   202375    23430   90.12%           21      18857
 1936194   190305    23335   91.05%           21      19605
 1991541   207922    20539   90.55%           21      20421
 2030368   201819    19649   90.96%           21      21211
 2078904   173715    21599   92.29%           21      21897
 2148662   148229    20077   93.55%           21      22478
 2206265   133346    23577   94.30%           21      23016
 2228773   133075    20222   94.37%           21      23538
 2285065   103564    23851   95.66%           21      23895
 2309577    92178    20579   96.16%           21      24258
 2364189    85315    24780   96.52%           21      24612
 2320702    86787    22446   96.40%           21      24962
 2341310    94060    23154   96.14%           21      25342
 2346768    82363    25823   96.61%           21      25688
 2347564    85611    20344   96.48%           21      26025
 2371356    80015    25920   96.74%           21      26297
 2416033    73553    27238   97.05%           21      26612
 2445582    69933    25855   97.22%           21      26910
 2426709    62918    30562   97.47%           21      27140
 2459899    63964    25314   97.47%           21      27412
 2400301    59932    27235   97.56%           21      27611
 2411483    59653    23474   97.59%           21      27858
 2429729    57983    28762   97.67%           21      28120
 2412016    54619    21908   97.79%           22      28278
 2436985    53911    24287   97.84%           22      28506
 2412699    54519    26606   97.79%           22      28744
 2373252    56218    28628   97.69%           22      28935
 2405167    54746    32741   97.77%           22      29199
 2444632    49568    22928   98.01%           22      29386
 2435928    49153    28077   98.02%           22      29565
 2389483    45348    25444   98.14%           22      29764
 2356021    42314    26720   98.24%           22      29891
 2415384    40057    24284   98.37%           22      30065
 2392445    42798    27160   98.24%           22      30261
 2429810    43329    27924   98.25%           22      30399
 2452981    44918    26712   98.20%           22      30600
 2404741    42163    26453   98.28%           22      30792
 2369120    39395    27614   98.36%           22      30911
 2293989    37130    26422   98.41%           22      31082
 2292469    37274    26676   98.40%           22      31265
 2289084    33690    22772   98.55%           22      31342
 2308346    35404    27087   98.49%           22      31509
 2308577    36414    23223   98.45%           22      31663
 2269782    34934    24176   98.48%           22      31816
 2344095    34550    25322   98.55%           22      31907
 2355584    34342    23058   98.56%           22      32054
 2325044    37271    28351   98.42%           22      32232
 2399424    35673    24996   98.54%           22      32392
 2371254    34698    28814   98.56%           22      32498
 2380396    32897    25970   98.64%           22      32651
 2386720    33181    26335   98.63%           22      32806
 2396009    32092    26776   98.68%           22      32894
 2384984    35851    30850   98.52%           22      33076
 2404898    31484    25578   98.71%           22      33221
 2310768    34172    30018   98.54%           22      33330
 2391447    33694    28470   98.61%           22      33495
 2395813    28440    24166   98.83%           22      33559
 2406232    31701    27607   98.70%           22      33700
 2397585    30916    27072   98.73%           22      33848
 2425440    34554    32776   98.60%           22      33969
 2418592    33576    32761   98.63%           22      34086
 2437840    36305    35042   98.53%           22      34284
