Script started on 2025-11-17 02:43:40+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  311150   433165    32347   41.80%           21      12104
 1431269   514125    43325   73.57%           21      14184
 1764319   229277    54485   88.50%           21      15125
 1847094   138425    58649   93.03%           21      15727
 1682639   166323    86301   91.00%           21      16096
 1899782   124887    64037   93.83%           21      16663
 1780662   122606    78260   93.56%           21      17277
 1864058   123952    64044   93.77%           21      17422
 1901659    92889    59771   95.34%           21      17911
 1764814   127788    84396   93.25%           22      18152
 1976946    85227    61519   95.87%           22      18555
 1880862    92750    78657   95.30%           22      19070
 1861166   126663    88268   93.63%           22      19325
 1893206   103393    91058   94.82%           22      19919
 1737373   128468   114933   93.11%           22      20508
 1840930   150045    60189   92.46%           22      20628
 1813089    98264    65455   94.86%           22      21097
 1767043   118680    81272   93.71%           22      21291
 1893386    71716    62076   96.35%           22      21643
 1687400    96428    82111   94.59%           22      21757
 1958309    80294    60710   96.06%           22      22137
 1891165    74746    72031   96.20%           22      22541
 1801395   121292    95059   93.69%           22      22850
 1900392    95250    94307   95.23%           22      23419
 1735824   115205   114612   93.78%           22      24049
 1784887   148734    59486   92.31%           22      24019
 1756096    83825    73408   95.44%           22      24464
 1771662   104523    80991   94.43%           22      24601
 1853733    61354    63978   96.80%           22      24922
 1739394   101348    89639   94.49%           23      25079
 1971752    67078    73358   96.71%           23      25449
 1818130    87301    90555   95.42%           23      25975
 1885752   116292    94614   94.19%           23      26214
 1929032    99286   103680   95.11%           23      26817
 1738911   123736   103667   93.36%           23      26762
 1287547   276916   140706   82.30%           23      26982
  279038   576574   317164   32.61%           23      29261
  348449   449793   220306   43.65%           23      31729
  370618   409263   195072   47.52%           23      32126
  349488   568786   304953   38.06%           23      34915
  509338   311359   167626   62.06%           24      35096
  367006   521981   278016   41.28%           24      38103
  397216   504544   244217   44.05%           24      40252
  379221   439014   192642   46.35%           24      40335
  328312   535540   229390   38.01%           24      38481
  424781   447496   190224   48.70%           25      35244
  522348   335190   151392   60.91%           25      31986
  595080   181234    69131   76.65%           25      27776
  776308   230214    93445   77.13%           25      22399
  774675   205470   103550   79.04%           25      17866
  407292   138926    79209   74.57%           25      12666
   10176        0      185  100.00%           25      12658

Script done on 2025-11-17 02:44:35+00:00 [COMMAND_EXIT_CODE="143"]
