Script started on 2025-11-17 02:02:21+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   22794   179957    40624   11.24%           27       6484
       0    66257    58055    0.00%           27       6906
       0    67275    58208    0.00%           27       7332
       0    74549    62201    0.00%           27       7402
   11337    97881    63425   10.38%           27       7887
       0    72906    62038    0.00%           27       8039
       0    74740    58929    0.00%           27       8410
       0    75387    62698    0.00%           27       8568
       0    73241    61696    0.00%           27       9033
       0    78246    61473    0.00%           27       9185
       0    77414    61379    0.00%           27       9587
       0    76240    63109    0.00%           27       9754
       0    73413    62174    0.00%           27      10224
       0    74784    62825    0.00%           27      10321
   10396    97040    63204    9.68%           27      10802
       0    79004    62811    0.00%           28      10962
       0    69803    58791    0.00%           28      11330
       0    76100    63439    0.00%           28      11499
       0    76593    63794    0.00%           28      11987
       0    13043    29791    0.00%           28       6531
       0    27600    38568    0.00%           28       6685
       0   325131   181279    0.00%           28       8344
       0   201507   120721    0.00%           28       8640
       0   342403   192180    0.00%           28      10486
   15528   220535   119849    6.58%           28      10778
       0   297135   172193    0.00%           28      12690
       0   188968   117972    0.00%           28      12747
       0   204072   128884    0.00%           28      14000
       0    80719    61689    0.00%           28      13846
       0   268560   157496    0.00%           29      12813
       0   181818   107063    0.00%           29       9297
    7757   245005   136274    3.07%           29      10457
       0   213008   128617    0.00%           29      11152
       0   154874   101238    0.00%           29      11441
    9124   125993    77544    6.75%           29      11981
       0    25721    33868    0.00%           29       7406
       0    72425    60818    0.00%           29       6751
       0    71162    60441    0.00%           29       6889
       0    70089    58888    0.00%           29       7325
   10543      131      134   98.77%           29       6803

Script done on 2025-11-17 02:03:03+00:00 [COMMAND_EXIT_CODE="143"]
