Script started on 2025-11-17 02:06:29+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  428926   199650    40590   68.24%           21       9612
 2508084   134921    57393   94.90%           21      10299
 2773293   130392    55004   95.51%           21      10635
 2833665   134459    56802   95.47%           21      11287
 3094805    89045    44169   97.20%           21      11499
 3269801    62596    32034   98.12%           21      11747
 3393887    50153    25841   98.54%           21      11914
 3371278    52634    26848   98.46%           21      12159
 3405294    48140    24636   98.61%           21      12313
 3430963    49318    25313   98.58%           21      12540
 3401226    49705    25398   98.56%           21      12703
 3399861    47463    24158   98.62%           21      12884
 3405955    49780    25823   98.56%           21      13114
 3380447    49103    24893   98.57%           21      13273
 3424549    48233    25070   98.61%           21      13460
 3411736    51237    26164   98.52%           21      13666
 3379205    47196    24300   98.62%           21      13815
 3378167    50121    25645   98.54%           21      14046
 3395092    48003    24562   98.61%           21      14200
 3421590    50983    25904   98.53%           21      14435
 3370212    47395    24662   98.61%           21      14605
 3393350    52330    27105   98.48%           21      14850
 3387319    56261    28729   98.37%           22      15052
  510049    22771    11835   95.73%           22      11944
   10364        3      122   99.97%           22      11416

Script done on 2025-11-17 02:06:56+00:00 [COMMAND_EXIT_CODE="143"]
