Script started on 2025-11-17 02:10:33+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   49691   232448    37471   17.61%           21      10028
  713271   276826    60096   72.04%           21      11273
  989590   213046    47367   82.29%           21      11964
 1043319   217056    48880   82.78%           21      12933
 1102886   206588    48532   84.22%           21      13795
 1322648   180445    26417   88.00%           21      14275
 1398949   160162    30831   89.73%           21      14951
 1433151   158423    21540   90.05%           22      15518
 1521903   141266    22002   91.51%           22      16084
 1583096   122115    23601   92.84%           22      16582
 1666867   107865    22435   93.92%           22      16955
 1709821   105582    23865   94.18%           22      17388
 1772505    82521    23333   95.55%           22      17692
 1801728    73982    23870   96.06%           22      18001
 1813910    76239    24581   95.97%           22      18323
 1791702    73534    23690   96.06%           22      18631
 1832088    75192    24335   96.06%           22      18884
 1833315    75176    25019   96.06%           22      19203
 1827987    65770    24053   96.53%           22      19416
 1890667    64440    25062   96.70%           22      19695
 1901504    59082    25069   96.99%           22      19951
 1872600    55918    23773   97.10%           22      20126
 1913621    57270    25404   97.09%           22      20376
 1865995    58094    25371   96.98%           22      20631
 1854208    51716    24076   97.29%           22      20791
 1896503    52487    26381   97.31%           22      21027
 1845382    50898    26101   97.32%           22      21255
 1851669    52743    24504   97.23%           22      21420
 1889411    49209    26075   97.46%           22      21641
 1873500    45197    24573   97.64%           22      21777
 1872450    46309    27025   97.59%           22      21991
 1830461    44023    25463   97.65%           22      22190
 1872981    41069    25116   97.85%           22      22336
 1849156    40262    24938   97.87%           22      22454
 1896584    42130    25632   97.83%           22      22647
 1868243    39689    26210   97.92%           22      22832
 1385245   146294    13092   90.45%           22      21876
 1092865   182124     3112   85.72%           22      19750
 1188462   130380    10857   90.11%           22      18367
 1243162    91190    10686   93.17%           22      17223
 1314601    72252    10741   94.79%           22      17475
 1348036    61001    10665   95.67%           22      17745
 1388831    48842    10979   96.60%           22      17906
 1359979    45271    10843   96.78%           22      17738
 1375120    54007    11716   96.22%           22      17817
 1381725    43386    10611   96.96%           22      17954
 1392582    37054    11432   97.41%           22      18135
 1435239    32592    10582   97.78%           22      18153
 1392244    43954    11833   96.94%           22      18053
 1419742    33404    10639   97.70%           22      18152
 1425196    31923    10989   97.81%           22      18310
 1439181    28611    11063   98.05%           22      18455
 1457877    24335    11353   98.36%           22      18521
 1420542    29819    11686   97.94%           22      18129
 1440404    35842    11278   97.57%           22      18303
 1466385    26797    10395   98.21%           22      18374
 1417184    25864    11930   98.21%           22      18513
 1419237    31187    11475   97.85%           22      18282
 1431604    27343    11600   98.13%           22      18425
 1464140    22664    11062   98.48%           22      18483
 1468685    21920    11596   98.53%           22      18604
 1421481    19320    11195   98.66%           22      18649
 1434103    18760    11572   98.71%           22      18699
 1389287    34530    12019   97.57%           22      18353
 1400171    25936    10726   98.18%           22      18422
 1439822    23245    11225   98.41%           22      18547
 1414642    25525    10962   98.23%           22      18274
 1404030    29196    12255   97.96%           22      18426
 1430298    23624    10812   98.38%           22      18487
 1434050    21436    11331   98.53%           22      18606
 1424880    19268    11015   98.67%           22      18641
 1421695    33600    11271   97.69%           22      18390
 1448919    25645    10920   98.26%           22      18525
 1446187    21088    11136   98.56%           22      18577
 1446764    18968    11981   98.71%           22      18688
 1413222    29302    11464   97.97%           22      18388
 1423156    22763    11241   98.43%           22      18447
 1473299    18822    11656   98.74%           22      18556
 1447761    17629    11017   98.80%           22      18595
 1458239    16713    11552   98.87%           22      18696
 1432815    22460    11243   98.46%           23      18271
 1421142    26675    11215   98.16%           23      18411
 1440268    21445    10779   98.53%           23      18463
 1357811    40347    33918   97.11%           23      18744
 1251050    41387    38321   96.80%           23      18982
 1326045    49872    11636   96.38%           23      18631
 1361872    39170    11629   97.20%           23      18304
 1410620    23514    11282   98.36%           23      18366
 1455169    18710    11371   98.73%           23      18474
 1443164    14808    11153   98.98%           23      18536
 1425007    25247    11228   98.26%           23      18248
 1457682    20506    11395   98.61%           23      18363
 1461270    16262    10844   98.90%           23      18396
 1432075    15457    11907   98.93%           23      18494
 1431918    26080    11616   98.21%           23      18181
 1425699    19528    11171   98.65%           23      18260
 1438184    16334    10913   98.88%           23      18324
 1459321    15441    11732   98.95%           23      18421
 1447652    14648    11914   99.00%           23      18451
 1434478    22369    11668   98.46%           23      18039
 1439458    26192    12392   98.21%           23      18179
 1432948    18665    11129   98.71%           23      18222
 1481211    16901    11617   98.87%           23      18324
 1464160    14131    10927   99.04%           23      18348
 1452842    15139    12638   98.97%           23      18447
 1407858    24848    10931   98.27%           23      17999
 1447693    23984    11695   98.37%           23      18129
 1431693    18154    11171   98.75%           23      18170
 1389253    16418    11976   98.83%           23      18272
 1426382    14066    11346   99.02%           23      18297
 1402026    14126    12841   99.00%           23      18393
 1351972    29428    11414   97.87%           23      17965
 1419059    21059    11531   98.54%           23      18018
 1385564    18156    12452   98.71%           23      18128
 1331383    15798    13303   98.83%           23      18167
  726319    17181    15575   97.69%           23      18290
   55056     7018     6692   88.69%           23      17693

Script done on 2025-11-17 02:12:33+00:00 [COMMAND_EXIT_CODE="143"]
