Script started on 2025-11-17 02:14:10+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  131610   265480    27110   33.14%           20      10394
 1111607   569848    32742   66.11%           20      12670
 1491433   271456    43817   84.60%           20      13755
 1632842   146354    50554   91.77%           20      14378
 1616742   127803    53600   92.67%           20      14939
 1475477   153360    74807   90.58%           20      15228
 1702633   112212    53511   93.82%           20      15727
 1553784   107202    58746   93.55%           20      16229
 1535969   129502    65522   92.22%           20      16489
 1731101    91714    52185   94.97%           20      16904
 1618942    95893    63411   94.41%           20      17379
 1641667   115010    62692   93.45%           20      17486
 1806458    81906    52597   95.66%           20      17864
 1635434    96047    71164   94.45%           21      18369
 1572893   125402    80396   92.62%           21      18610
 1705045   105296    86730   94.18%           21      19214
 1624005   106455    89524   93.85%           21      19481
 1435754   167341    62530   89.56%           21      19851
 1633628    91578    53184   94.69%           21      20240
 1511184    94856    74118   94.09%           21      20797
 1625812    97596    56397   94.34%           21      20835
 1726141    68229    52587   96.20%           21      21113
 1518921    99744    75707   93.84%           21      21233
 1777501    78501    52792   95.77%           21      21598
 1749271    62810    52151   96.53%           21      21899
 1575026   122853    88886   92.76%           21      22194
 1746510    97218    88445   94.73%           21      22804
 1644850    95484    88166   94.51%           21      23375
 1387633   154005    77421   90.01%           21      23360
 1615559    94514    54344   94.47%           21      23793
 1560176    79799    66137   95.13%           21      24226
 1554609    97026    64915   94.13%           22      24293
 1372138   137754    81882   90.88%           22      23861
  225342   510622   234770   30.62%           22      19966
  251910   490174   216086   33.95%           22      20983
  209641   257377   118122   44.89%           22      20161
  372971   476973   239927   43.88%           22      22900
  369095   237156   131334   60.88%           22      23771
  454593   405035   186219   52.88%           22      24930
  522387   420849   172782   55.38%           22      26896
  535286   247776   100738   68.36%           23      25993
  509890   344163   174986   59.70%           23      27321
  545381   329596   164310   62.33%           23      25807
  669367   277059   134183   70.73%           23      26527
  622814   271648   119360   69.63%           23      23549
  397019   237536   100535   62.57%           23      20267
  642635   284823   132192   69.29%           23      21774
  601035   180111    90459   76.94%           23      19663
  545087   193558   111647   73.80%           24      16226
  749602   203320    89409   78.66%           24      17165
  768436   198612    93572   79.46%           24      18035
  729475   210413   109110   77.61%           24      18831
  850588   123611    55980   87.31%           24      19254
  590067   132785    24237   81.63%           24      14859
  625181   248578    66178   71.55%           24      12746
  815672   152472    56578   84.25%           24      13116
  677920   127001    80224   84.22%           25      13593
  451658    76344    32255   85.54%           25      13181

Script done on 2025-11-17 02:15:11+00:00 [COMMAND_EXIT_CODE="143"]
