Script started on 2025-11-17 02:17:02+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   31527   197296    44638   13.78%           28       6448
       0    65184    58149    0.00%           28       6806
       0    70321    59551    0.00%           28       7246
   22356    96539    63136   18.80%           28       7387
       0    76038    63206    0.00%           28       7870
       0    71270    60439    0.00%           28       7941
       0    81749    63421    0.00%           28       8427
       0    73731    61267    0.00%           28       8569
       0    68866    59676    0.00%           28       9007
       0    76381    62932    0.00%           29       9106
       0    76142    62944    0.00%           29       9587
       0    73296    62584    0.00%           29       9740
       0    78182    62670    0.00%           29      10154
   15469    96155    62845   13.86%           29      10320
       0    72817    60975    0.00%           29      10777
       0    74030    61879    0.00%           29      10861
       0    76621    62881    0.00%           29      11341
       0    75167    63464    0.00%           29      11507
       0    74860    62511    0.00%           29      11917
       0    74498    62722    0.00%           29      12075
       0    66673    59466    0.00%           29      12507
       0   319191   175053    0.00%           29       9887
       0   304080   168816    0.00%           29       9916
   19407   296349   152662    6.15%           30      10502
       0   324062   183793    0.00%           30      12051
   13132   223291   122524    5.55%           30      12358
       0   168662   109774    0.00%           30      12781
       0    82001    66451    0.00%           30      13115
       0    13375    26630    0.00%           30       8636
       0   216332   124324    0.00%           30       7420
       0   308507   179320    0.00%           30       9343
       0   266607   150484    0.00%           30      10058
       0   267125   151029    0.00%           30      10998
   13625   360436   189690    3.64%           30      12472
       0   170303   107392    0.00%           31      12663
   10384   101198    65532    9.31%           31      12981
       0     2874    22121    0.00%           31       7716
       0    63945    55452    0.00%           31       6532
       0    67533    58617    0.00%           31       6900
       0    71527    60252    0.00%           31       7029
    5782    25506    16224   18.48%           31       6689

Script done on 2025-11-17 02:17:45+00:00 [COMMAND_EXIT_CODE="143"]
