Script started on 2025-11-17 02:21:12+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  628369   191258    39250   76.67%           72       9677
 2787110   103015    49371   96.44%           72      10208
 3050558   110455    47292   96.51%           72      10500
 3007834   124888    50669   96.01%           72      11121
 3053311    94789    41675   96.99%           72      11330
 3225076    67086    34092   97.96%           72      11660
 3266724    58799    29812   98.23%           72      11812
 3350505    51923    27102   98.47%           72      12055
 3348864    51592    26170   98.48%           72      12229
 3349436    49830    25545   98.53%           72      12399
 3345325    53989    27695   98.41%           72      12653
 3382484    50974    26178   98.52%           72      12824
 3367404    50763    26258   98.51%           72      13018
 3349572    53517    27183   98.43%           72      13246
 3335220    50489    25840   98.51%           72      13413
 3338342    56272    28492   98.34%           72      13680
 3629752    53956    27855   98.54%           72      13869
 3624159    55542    28584   98.49%           72      14091
 3623210    54655    27886   98.51%           72      14284
 3638441    55525    28399   98.50%           72      14481
 3622975    58921    29998   98.40%           72      14764
 3651927    49543    25584   98.66%           72      14927
 2175976    48027    24367   97.84%           72      14001
   42606        0      136  100.00%           72      11511

Script done on 2025-11-17 02:21:39+00:00 [COMMAND_EXIT_CODE="143"]
