Script started on 2025-11-17 02:25:05+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  108304   228964    28094   32.11%           62      12567
  997274   263470    21015   79.10%           62      13610
 1302975   204670    17439   86.42%           62      14408
 1468279   190048    19291   88.54%           62      15154
 1568999   202892    20658   88.55%           62      15958
 1688691   191533    19912   89.81%           62      16713
 1819840   177502    18147   91.11%           62      17406
 1782667   186166    21385   90.54%           62      18082
 1870883   174918    23098   91.45%           62      18785
 1952681   153544    23450   92.71%           62      19406
 1987254   140904    23228   93.38%           62      19976
 2042003   126029    23288   94.19%           62      20424
 2091035   118286    24448   94.65%           62      20910
 2157183    93752    26607   95.83%           62      21309
 2187996    81511    23950   96.41%           62      21586
 2235730    80196    22040   96.54%           62      21913
 2227219    86546    24534   96.26%           62      22276
 2199959    82167    24728   96.40%           62      22557
 2247107    79851    26080   96.57%           62      22901
 2260728    75914    24756   96.75%           62      23158
 2274763    71698    27043   96.94%           62      23473
 2289652    63108    25962   97.32%           62      23703
 2308548    60313    26611   97.45%           62      23971
 2296353    56241    25819   97.61%           62      24156
 2336810    62390    28940   97.40%           62      24442
 2290527    55352    25634   97.64%           62      24622
 2303427    55639    27020   97.64%           62      24873
 2301998    54773    25987   97.68%           62      25051
 2296210    53505    26620   97.72%           62      25294
 2300637    50606    26370   97.85%           62      25458
 2322971    51846    26196   97.82%           62      25692
 2277875    51999    26656   97.77%           62      25927
 2309317    50631    28567   97.85%           62      26100
 2294515    47720    26693   97.96%           62      26255
 2330562    46240    29232   98.05%           62      26477
 2318530    43073    27743   98.18%           62      26619
 2329611    44511    28075   98.13%           62      26829
 2314173    44619    27640   98.11%           63      26975
 2301379    43484    27161   98.15%           63      27152
 2320189    42816    28512   98.19%           63      27343
 2272668    41208    27217   98.22%           63      27492
 2163234    39553    27007   98.20%           63      27616
 2214722    39186    26330   98.26%           63      27799
 2215929    37111    24564   98.35%           63      27968
 2207083    36992    24706   98.35%           63      28072
 2218184    38221    24780   98.31%           63      28248
 2233855    38948    27769   98.29%           63      28370
 2178069    37964    29374   98.29%           63      28563
