Script started on 2025-11-17 02:29:02+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  227851   348595    30775   39.53%           21      11224
 1077611   543023    33484   66.49%           21      13397
 1377316   284598    42207   82.88%           21      14526
 1569604   146566    52520   91.46%           21      15157
 1408432   136160    74853   91.18%           21      15835
 1562441   133124    55111   92.15%           21      15992
 1591340   106119    54825   93.75%           21      16473
 1361014   118446    78082   91.99%           21      16872
 1629553   113695    54933   93.48%           22      17187
 1666426    91171    56168   94.81%           22      17614
 1446724   123518    76974   92.13%           22      17834
 1727746    88724    53721   95.12%           22      18244
 1694026    81358    55474   95.42%           22      18563
 1496324   137176    92004   91.60%           22      18897
 1701702   108536    89140   94.00%           22      19518
 1564097   111071    94156   93.37%           22      20177
 1399446   164816    74403   89.46%           22      20185
 1573807   103405    54959   93.83%           22      20659
 1464595    97998    75484   93.73%           22      21187
 1530368   102934    61372   93.70%           22      21272
 1739598    74297    58529   95.90%           22      21638
 1460696   106781    79565   93.19%           23      21800
 1738994    76971    55098   95.76%           23      22104
 1699941    77239    66586   95.65%           23      22521
 1570648   120037    86442   92.90%           23      22759
 1717104   100427    92501   94.47%           23      23365
 1570384   113699   106236   93.25%           23      24082
 1446830   151173    58604   90.54%           23      23979
 1532904    87145    57385   94.62%           23      24390
 1384003   105589    81144   92.91%           23      24551
 1654783    78540    57744   95.47%           23      24941
 1633455    71499    64390   95.81%           23      25259
  351417   461147   241320   43.25%           23      25096
  353077   518022   236566   40.53%           23      24791
  318896   196117    78161   61.92%           23      20438
  381107   485256   244134   43.99%           23      22657
  311747   343934   187565   47.55%           23      24407
  375334   372557   178800   50.19%           24      25086
  450981   400101   182309   52.99%           24      26817
  497698   282242   135636   63.81%           24      27172
  448503   441486   211267   50.39%           24      28453
  578939   349816   177173   62.33%           24      29262
  579669   325097   158943   64.07%           24      27817
  438134   207322    67355   67.88%           25      23362
  518916   229081    87316   69.37%           25      21273
  575867   205340    99011   73.72%           25      18493
  529813   161741    88903   76.61%           25      14151
  609855   206673   116813   74.69%           25      14234
  833519   179832    94312   82.25%           25      15290
  708474   195529   110871   78.37%           25      16269
  836747   230775   107526   78.38%           25      17030
  793175   150497    56950   84.05%           25      15966
  526313   231288    66915   69.47%           25      15593
  782987   260272    65919   75.05%           25      16586
  681762   128488    60754   84.14%           25      13227
  780784   146708    72305   84.18%           25      13460
  127609    19326    14043   86.85%           25      12591

Script done on 2025-11-17 02:30:01+00:00 [COMMAND_EXIT_CODE="143"]
